material_id,formula,spacegroup,diel_total_exp,diel_total_us,diel_total_petousis,diel_total_mp,n_sites,n_elems
mp-1986,ZnO,216,9.0834,11.06,11.35,11.34922475283124,2,2
mp-672,CdS,186,8.8833,9.85,9.9667,9.982347543312725,4,2
mp-22914,CuCl,160,8.75,8.04,8.91,7.481689559406114,2,2
mp-2507,GaS,194,8.6351,7.25,7.57,7.570495000018091,8,2
mp-10695,ZnS,216,8.6,9.23,9.27,9.36428100666666,2,2
mp-22896,LaCl3,176,8.5647,10.63,10.22,10.216100116501137,8,2
mp-2758,SrSe,225,8.5041,14.1,11.89,11.88709855667446,2,2
mp-560588,ZnS,186,8.3246,9.25,9.1,9.096665783591947,4,2
mp-560902,MnF2,136,8.1532,5.9,7.12,7.118791866666666,6,2
mp-2133,ZnO,186,8.1167,10.78,10.83,10.835297913347347,4,2
mp-3953,CaCO3,167,8.0,7.54,7.9167,9.196357543319936,10,3
mp-1572,GaSe,187,7.9067,8.58,6.6,10.30412466318188,8,2
mp-22913,CuBr,119,7.9,8.45,9.18,9.086986823333328,2,2
mp-1415,CaSe,225,7.8041,14.09,12.47,12.470253043107169,2,2
mp-4979,AlCuS2,122,7.7859,8.56,8.68,8.676691023322114,8,3
mp-981,SrF2,225,7.69,7.94,7.59,6.456894239916895,3,2
mp-22691,InSe,160,7.5354,10.9,9.68,9.678291260048427,4,2
mp-1873,ZnF2,136,7.4039,8.55,8.14,8.135304316666668,6,2
mp-2741,CaF2,225,7.4,8.32,8.39,7.051257756683625,3,2
mp-1029,BaF2,225,7.33,8.02,8.31,7.1194683367151095,3,2
mp-22958,KBrO3,160,7.3034,7.55,7.12,6.993970993235352,5,3
mp-361,Cu2O,224,7.3,9.64,9.63,11.544253740000011,6,2
mp-5854,LiGaO2,33,7.24,6.52,7.02,7.134175616666666,16,3
mp-8016,AlCuSe2,122,7.2067,10.46,10.4067,10.121075888980732,8,3
mp-573697,CsCl,225,7.2,5.21,6.42,5.440607809991967,2,2
mp-1639,BN,216,7.1,6.96,6.95,6.978857930000021,2,2
mp-2542,BeO,186,7.0867,7.12,7.2833,7.348809943363006,4,2
mp-22925,AgI,216,7.0033,8.47,7.32,7.198472990525133,2,2
mp-22894,AgI,186,7.0033,8.74,7.16,7.188643623338159,4,2
mp-2895,Mg2SiO4,62,7.0,7.31,7.3733,6.840693216666668,28,3
mp-684580,AgI,119,7.0,8.35,7.3033,7.415498753333334,2,2
