material_id,formula,spacegroup,eps_total_petousis,eps_elec_petousis,n_petousis,eps_total_exp,diel_ref,n_exp,n_ref,polycrystalline,n_sites,n_elems,bandgap_mp,eps_electronic_mp,eps_total_mp,n_mp,diel_elec_mp,diel_total_mp,diel_total_petousis,diel_elec_petousis,diel_total_exp,series,doi,wyckoff
mp-1249,MgF2,"['P4_2/mnm', 136]","2.05, 5.72","2.01, 2.03",1.42,"4.87, 5.85",[2],1.38,[2],False,6,2,6.832,"[[2.0147, 0.0, 0.0], [0.0, 1.9771, 0.0], [0.0, 0.0, 1.9782]]","[[4.8658, 0.0, 0.0], [0.0, 5.6621, 0.0], [0.0, 0.0, 5.6654]]",1.4107,1.99,5.3978,3.2733,2.0167,5.1967,Petousis 2017,10.1038/sdata.2016.134,A2B_tP6_136_f_a:F-Mg
mp-634,HgS,"['P3_121', 152]","10.84, 14.64","5.82, 7.91",2.55,"14.50, 25.50",[2],2.6,[2],False,6,2,1.7241,"[[5.8114, -2.6049e-07, 0.0], [-2.6049e-07, 5.8114, 0.0], [0.0, 0.0, 7.9025]]","[[10.7089, -4.8002e-07, -7.8245e-21], [-4.8002e-07, 10.7089, 4.5175e-21], [-7.8245e-21, 4.5175e-21, 14.4715]]",2.5512,6.5085,11.9631,12.1067,6.5167,18.1667,Petousis 2017,10.1038/sdata.2016.134,AB_hP6_152_a_b:Hg-S
mp-3666,LiTaO3,"['R3c', 161]","37.24, 43.23","5.03, 5.07",2.25,"43.10, 48.10",[2],2.14,[2],False,10,3,3.7746,"[[5.0366, -5.3160e-07, -6.7758e-23], [-5.3160e-07, 5.0366, -9.5327e-18], [-6.7758e-23, -9.5327e-18, 5.1114]]","[[43.6558, -4.6077e-06, -5.8730e-22], [-4.6077e-06, 43.6558, 8.1528e-16], [-5.8730e-22, 8.1528e-16, 37.2593]]",2.2498,5.0616,41.5237,39.2367,5.0433,44.7667,Petousis 2017,10.1038/sdata.2016.134,AB3C_hR30_161_a_b_a:Li-O-Ta
mp-22895,CuI,"['F-43m', 216]",7.81,6.37,2.52,6.50,[2],2.38,[2],False,2,2,1.1763,"[[6.3521, 0.0, 0.0], [0.0, 6.3521, 0.0], [0.0, 0.0, 6.3521]]","[[7.7918, 0.0, 0.0], [0.0, 7.7918, 0.0], [0.0, 0.0, 7.7918]]",2.5203,6.3521,7.7919,7.81,6.37,6.5,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_216_a_c:Cu-I
mp-573697,CsCl,"['Fm-3m', 225]",6.42,2.37,1.54,7.20,[3],1.64,[19],True,2,2,5.0172,"[[2.3611, 1.9090e-07, 1.9090e-07], [1.9090e-07, 2.3611, 5.0483e-07], [1.9090e-07, 5.0483e-07, 2.3611]]","[[6.1815, 4.9979e-07, 4.9979e-07], [4.9979e-07, 6.1815, 1.3216e-06], [4.9979e-07, 1.3216e-06, 6.1815]]",1.5366,2.3611,6.1816,6.42,2.37,7.2,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:Cl-Cs
mp-661,AlN,"['P6_3mc', 186]","8.24, 9.75","4.47, 4.69",2.13,9.14,[48],1.96,[49],True,4,2,4.0536,"[[4.4686, 7.4056e-18, 0.0], [7.4056e-18, 4.4686, 0.0], [0.0, 0.0, 4.6902]]","[[8.2265, 1.3633e-17, 1.4117e-22], [1.3633e-17, 8.2265, 0.0], [1.4117e-22, 0.0, 9.7426]]",2.1313,4.5425,8.7319,8.7433,4.5433,9.14,Petousis 2017,10.1038/sdata.2016.134,AB_hP4_186_b_b:Al-N
mp-19,Te,"['P3_121', 152]","50.86, 71.96","35.09, 57.92",6.53,"33.00, 53.00",[2],5.47,[50],False,3,1,0.5752,"[[36.1917, -3.8869e-06, 0.0], [-3.8869e-06, 36.1917, 0.0], [0.0, 0.0, 58.4899]]","[[51.9602, -5.5804e-06, 0.0], [-5.5804e-06, 51.9602, 0.0], [0.0, 0.0, 72.8921]]",6.6049,43.6245,58.9375,57.8933,42.7,39.6667,Petousis 2017,10.1038/sdata.2016.134,A_hP3_152_a:Te
mp-1367,Mg2Si,"['Fm-3m', 225]",23.72,15.80,3.98,19.40,[51],4.9,[51],True,3,2,0.2935,,,,,,23.72,15.8,19.4,Petousis 2017,10.1038/sdata.2016.134,A2B_cF12_225_c_a:Mg-Si
mp-856,SnO2,"['P4_2/mnm', 136]","10.50, 13.51","4.70, 4.80",2.18,"9.58, 13.5",[?],2.1,[?],False,6,2,1.4068,"[[4.8988, 0.0, 0.0], [0.0, 4.6462, 0.0], [0.0, 0.0, 4.6485]]","[[10.4976, 0.0, 0.0], [0.0, 13.6362, 0.0], [0.0, 0.0, 13.6428]]",2.1751,4.7312,12.5922,11.5033,4.7333,10.8867,Petousis 2017,10.1038/sdata.2016.134,A2B_tP6_136_f_a:O-Sn
mp-2542,BeO,"['P6_3mc', 186]","7.00, 7.85","3.08, 3.14",1.76,"6.82, 7.62",[2],1.72,[40],False,4,2,7.4631,"[[3.0807, -3.4590e-17, 0.0], [-3.4590e-17, 3.0807, 0.0], [0.0, 0.0, 3.1455]]","[[7.0579, -5.7706e-17, -5.6468e-22], [-5.7706e-17, 7.0579, -5.6468e-22], [-5.6468e-22, -5.6468e-22, 7.9304]]",1.7613,3.1023,7.3488,7.2833,3.1,7.0867,Petousis 2017,10.1038/sdata.2016.134,AB_hP4_186_b_b:Be-O
mp-406,CdTe,"['F-43m', 216]",13.04,9.53,3.09,11.00,[2],3.12,[2],False,2,2,1.2285,"[[9.3092, 0.0, 0.0], [0.0, 9.3092, 0.0], [0.0, 0.0, 9.3092]]","[[12.8201, 0.0, 0.0], [0.0, 12.8201, 0.0], [0.0, 0.0, 12.8201]]",3.0511,9.3093,12.8202,13.04,9.53,11.0,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_216_a_c:Cd-Te
mp-2176,ZnTe,"['F-43m', 216]",11.98,9.07,3.01,10.10,[2],3.0,[41],False,2,2,1.0782,"[[9.0172, 0.0, 0.0], [0.0, 9.0172, 0.0], [0.0, 0.0, 9.0172]]","[[11.9755, 0.0, 0.0], [0.0, 11.9755, 0.0], [0.0, 0.0, 11.9755]]",3.0029,9.0172,11.9756,11.98,9.07,10.1,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_216_a_c:Te-Zn
mp-3792,YAlO3,"['Pnma', 62]","17.24, 17.83, 18.98","4.07, 4.15, 4.22",2.04,18.00,[2],1.94,[52],True,20,3,5.54,,,,,,18.0167,4.1467,18.0,Petousis 2017,10.1038/sdata.2016.134,AB3C_mP20_62_a_cd_c:Al-O-Y
mp-5854,LiGaO2,"['Pna2_1', 33]","6.46, 7.06, 7.54","3.20, 3.33, 3.34",1.81,"6.09, 7.09, 8.54",[2],1.77,[2],False,16,3,3.2018,"[[3.3391, 0.0, 0.0], [0.0, 3.2073, 0.0], [0.0, 0.0, 3.3321]]","[[7.1680, 0.0, 0.0], [0.0, 6.5531, 0.0], [0.0, 0.0, 7.6812]]",1.8146,3.2929,7.1342,7.02,3.29,7.24,Petousis 2017,10.1038/sdata.2016.134,ABC2_mP16_33_a_a_2a:Ga-Li-O
mp-2624,AlSb,"['F-43m', 216]",13.44,12.12,3.48,12.04,[53],4.01,[53],True,2,2,1.2605,"[[12.0099, 0.0, 0.0], [0.0, 12.0099, 0.0], [0.0, 0.0, 12.0099]]","[[13.3256, 0.0, 0.0], [0.0, 13.3256, 0.0], [0.0, 0.0, 13.3256]]",3.4655,12.0099,13.3256,13.44,12.12,12.04,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_216_a_c:Al-Sb
mp-1143,Al2O3,"['R-3c', 167]","10.00, 12.29","3.25, 3.27",1.8,"9.34, 11.54",[3],1.76,[40],False,10,2,6.0436,,,,,,10.7633,3.2567,10.0733,Petousis 2017,10.1038/sdata.2016.134,A2B3_hR30_167_c_e:Al-O
mp-2490,GaP,"['F-43m', 216]",12.92,10.64,3.26,11.11,[2],3.26,[2],False,2,2,1.6843,"[[10.5871, 0.0, 0.0], [0.0, 10.5871, 0.0], [0.0, 0.0, 10.5871]]","[[12.8730, 0.0, 0.0], [0.0, 12.8730, 0.0], [0.0, 0.0, 12.8730]]",3.2538,10.5872,12.8731,12.92,10.64,11.11,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_216_a_c:Ga-P
mp-7631,SiC,"['P6_3mc', 186]","10.35, 10.82","7.04, 7.26",2.67,"9.66, 10.03",[54],2.67,[55],False,12,2,2.1121,"[[7.0424, -1.1536e-16, 0.0], [-1.1536e-16, 7.0424, 0.0], [0.0, 0.0, 7.2678]]","[[10.3399, -1.3707e-16, -5.6468e-22], [-1.3707e-16, 10.3399, -1.1293e-21], [-5.6468e-22, -1.1293e-21, 10.8138]]",2.6679,7.1176,10.4979,10.5067,7.1133,9.7833,Petousis 2017,10.1038/sdata.2016.134,AB_hP12_186_a2b_a2b:C-Si
mp-2201,PbSe,"['Fm-3m', 225]",364.75,19.76,4.45,210.00,[56],4.9,[56],True,2,2,0.9081,"[[19.7143, 0.0, 0.0], [0.0, 19.7143, 0.0], [0.0, 0.0, 19.7143]]","[[356.2772, 0.0, 0.0], [0.0, 356.2772, 0.0], [0.0, 0.0, 356.2772]]",4.4401,19.7143,356.2772,364.75,19.76,210.0,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:Pb-Se
mp-1070,CdSe,"['P6_3mc', 186]","12.08, 12.54","8.41, 8.49",2.9,"9.62, 10.43",[2],2.55,[40],False,4,2,0.5589,"[[8.7750, 5.0970e-16, 0.0], [5.0970e-16, 8.7750, 0.0], [0.0, 0.0, 8.7301]]","[[12.4136, 6.1723e-16, 0.0], [6.1723e-16, 12.4136, 1.6940e-21], [0.0, 1.6940e-21, 13.0122]]",2.9597,8.7601,12.6132,12.2333,8.4367,9.89,Petousis 2017,10.1038/sdata.2016.134,AB_hP4_186_b_b:Cd-Se
mp-2741,CaF2,"['Fm-3m', 225]",8.39,2.25,1.5,7.40,[2],1.43,[2],False,3,2,7.2479,"[[2.2540, -3.5937e-07, -2.1892e-07], [-3.5937e-07, 2.2540, 3.7347e-07], [-2.1892e-07, 3.7347e-07, 2.2540]]","[[8.3879, -1.3373e-06, -8.1466e-07], [-1.3373e-06, 8.3879, 1.3897e-06], [-8.1466e-07, 1.3897e-06, 8.3879]]",1.5014,2.2541,8.3879,8.39,2.25,7.4,Petousis 2017,10.1038/sdata.2016.134,AB2_cF12_225_a_c:Ca-F
mp-1639,BN,"['F-43m', 216]",6.95,4.60,2.15,7.10,[57],2.12,[57],False,2,2,4.6482,"[[4.6166, 0.0, 0.0], [0.0, 4.6166, 0.0], [0.0, 0.0, 4.6166]]","[[6.9788, 0.0, 0.0], [0.0, 6.9788, 0.0], [0.0, 0.0, 6.9788]]",2.1486,4.6166,6.9789,6.95,4.6,7.1,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_216_a_c:B-N
mp-23231,AgBr,"['Fm-3m', 225]",16.31,5.79,2.41,12.50,[58],2.26,[58],False,2,2,0.7946,,,,,,16.31,5.79,12.5,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:Ag-Br
mp-21276,PbS,"['Fm-3m', 225]",284.25,15.78,3.97,169.00,[59],4.25,[59],True,2,2,0.9926,"[[16.3913, 2.8598e-06, 6.0650e-07], [2.8598e-06, 16.3913, -1.4297e-06], [6.0650e-07, -1.4297e-06, 16.4032]]","[[323.6779, 5.6472e-05, 1.1976e-05], [5.6472e-05, 323.6780, -2.8232e-05], [1.1976e-05, -2.8232e-05, 323.9128]]",4.0491,16.3953,323.7563,284.25,15.78,169.0,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:Pb-S
mp-568662,BaCl2,"['Fm-3m', 225]",8.06,2.87,1.69,9.81,[3],1.69,[60],True,3,2,5.6116,"[[2.8685, -3.7566e-07, -9.2278e-07], [-3.7566e-07, 2.8685, -2.1452e-07], [-9.2278e-07, -2.1452e-07, 2.8685]]","[[8.0806, -1.0582e-06, -2.5994e-06], [-1.0582e-06, 8.0806, -6.0433e-07], [-2.5994e-06, -6.0433e-07, 8.0806]]",1.6937,2.8685,8.0806,8.06,2.87,9.81,Petousis 2017,10.1038/sdata.2016.134,AB2_cF12_225_a_c:Ba-Cl
mp-1170,SnS2,"['P-3m1', 164]","3.43, 16.03","3.27, 7.04",2.4,"6.19, 17.70",[1],2.5,[1],False,3,2,1.5615,"[[7.0269, -1.8336e-16, 0.0], [-1.8336e-16, 7.0269, 0.0], [0.0, 0.0, 3.2636]]","[[16.1436, -3.7722e-16, 0.0], [-3.7722e-16, 16.1436, 0.0], [0.0, 0.0, 3.4316]]",2.4026,5.7725,11.9063,7.63,4.5267,10.0267,Petousis 2017,10.1038/sdata.2016.134,A2B_hP3_164_d_a:S-Sn
mp-2231,SnS,"['Pnma', 62]","26.36, 27.43, 38.75","12.93, 13.40, 14.49",3.69,"32.00, 48.00",[1],4.1,[1],False,8,2,1.1111,"[[12.6197, 0.0, 0.0], [0.0, 12.6433, 0.0], [0.0, 0.0, 14.1713]]","[[26.6964, 0.0, 0.0], [0.0, 24.4509, 0.0], [0.0, 0.0, 37.6478]]",3.6256,13.1448,29.5984,30.8467,13.6067,37.3333,Petousis 2017,10.1038/sdata.2016.134,AB_mP8_62_c_c:S-Sn
mp-2472,SrO,"['Fm-3m', 225]",20.48,3.80,1.95,14.50,[61],1.87,[61],True,2,2,3.4487,"[[3.8044, 1.6174e-07, 1.6174e-07], [1.6174e-07, 3.8044, -5.0422e-07], [1.6174e-07, -5.0422e-07, 3.8044]]","[[20.3737, 8.6616e-07, 8.6616e-07], [8.6616e-07, 20.3737, -2.7002e-06], [8.6616e-07, -2.7002e-06, 20.3737]]",1.9505,3.8045,20.3738,20.48,3.8,14.5,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:O-Sr
mp-463,KF,"['Fm-3m', 225]",6.37,1.95,1.4,5.46,[3],1.36,[19],True,2,2,6.0694,"[[1.9551, 2.5779e-07, -2.5259e-07], [2.5779e-07, 1.9551, 2.3257e-07], [-2.5259e-07, 2.3257e-07, 1.9551]]","[[6.2907, 8.2944e-07, -8.1272e-07], [8.2944e-07, 6.2907, 7.4830e-07], [-8.1272e-07, 7.4830e-07, 6.2907]]",1.3983,1.9552,6.2907,6.37,1.95,5.46,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:F-K
mp-3834,BaZrO3,"['Pm-3m', 221]",73.02,4.95,2.23,43.00,[3],2.13,[62],True,5,3,3.4102,"[[4.9534, 0.0, 0.0], [0.0, 4.9534, 0.0], [0.0, 0.0, 4.9534]]","[[73.1955, 0.0, 0.0], [0.0, 73.1955, 0.0], [0.0, 0.0, 73.1955]]",2.2256,4.9535,73.1956,73.02,4.95,43.0,Petousis 2017,10.1038/sdata.2016.134,AB3C_cP5_221_a_c_b:Ba-O-Zr
mp-23167,TlCl,"['Pm-3m', 221]",356.49,5.07,2.25,32.70,[63],2.15,[64],True,2,2,2.5887,,,,,,356.49,5.07,32.7,Petousis 2017,10.1038/sdata.2016.134,AB_cP2_221_a_b:Cl-Tl
mp-66,C,"['Fd-3m', 227]",5.83,5.83,2.42,5.50,[2],2.42,[2],False,2,1,4.3387,"[[5.8297, 0.0, 0.0], [0.0, 5.8297, 0.0], [0.0, 0.0, 5.8297]]","[[5.8297, 0.0, 0.0], [0.0, 5.8297, 0.0], [0.0, 0.0, 5.8297]]",2.4145,5.8297,5.8297,5.83,5.83,5.5,Petousis 2017,10.1038/sdata.2016.134,A_cF8_227_a:C
mp-560902,MnF2,"['P4_2/mnm', 136]",,,,,,,,,6,2,2.5363,"[[2.4239, 0.0, 0.0], [0.0, 2.3169, 2.7105e-20], [0.0, -2.7105e-20, 2.3169]]","[[6.4409, -2.7105e-20, -5.4210e-20], [-2.7105e-20, 7.4579, 2.7105e-20], [-5.4210e-20, -2.7105e-20, 7.4579]]",1.5338,2.3527,7.119,7.12,,8.1532,Petousis 2016,10.1103/PhysRevB.93.1151,A2B_tP6_136_f_a:F-Mn
mp-22867,RbBr,"['Fm-3m', 225]",,,,,,,,,2,2,4.3724,"[[2.4529, 3.6757e-07, -1.2603e-07], [3.6757e-07, 2.4530, -2.4745e-07], [-1.2603e-07, -2.4745e-07, 2.4530]]","[[5.6916, 8.5288e-07, -2.9243e-07], [8.5288e-07, 5.6916, -5.7415e-07], [-2.9243e-07, -5.7415e-07, 5.6916]]",1.5662,2.453,5.6917,5.69,,4.9034,Petousis 2016,10.1103/PhysRevB.93.1151,AB_cF8_225_a_b:Br-Rb
mp-984,BN,"['P6_3/mmc', 194]",,,,,,,,,4,2,4.4938,"[[4.2727, 1.9914e-17, 0.0], [1.9914e-17, 4.2727, 0.0], [0.0, 0.0, 2.1816]]","[[5.8314, 3.2182e-17, 0.0], [3.2182e-17, 5.8314, 0.0], [0.0, 0.0, 2.3736]]",1.891,3.5757,4.6789,4.68,,6.3936,Petousis 2016,10.1103/PhysRevB.93.1151,AB_hP4_194_c_d:B-N
mp-1479,BP,"['F-43m', 216]",,,,,,,,,2,2,1.4662,"[[9.1914, 0.0, 0.0], [0.0, 9.1914, 0.0], [0.0, 0.0, 9.1914]]","[[9.2842, 0.0, 0.0], [0.0, 9.2842, 0.0], [0.0, 0.0, 9.2842]]",3.0317,9.1915,9.2842,9.27,,11.0038,Petousis 2016,10.1103/PhysRevB.93.1151,AB_cF8_216_a_c:B-P
mp-559798,NiF2,"['P4_2/mnm', 136]",,,,,,,,,6,2,4.9116,"[[2.5979, 0.0, 0.0], [0.0, 2.4649, 0.0], [0.0, 0.0, 2.4649]]","[[4.929, 0.0, 0.0], [0.0, 5.3409, 0.0], [0.0, 0.0, 5.3409]]",1.5841,2.5093,5.2037,5.2,,5.2039,Petousis 2016,10.1103/PhysRevB.93.1151,A2B_tP6_136_f_a:F-Ni
mp-2815,MoS2,"['P6_3/mmc', 194]",,,,,,,,,6,2,1.4649,"[[12.6280, -2.8165e-16, -3.6140e-20], [-2.8165e-16, 12.6279, 0.0], [-3.6140e-20, 0.0, 3.2670]]","[[13.0000, -2.9032e-16, -3.6140e-20], [-2.9032e-16, 12.9999, 0.0], [-3.6140e-20, 0.0, 3.2720]]",3.0835,9.5077,9.7573,9.76,,12.724,Petousis 2016,10.1103/PhysRevB.93.1151,AB2_hP6_194_c_f:Mo-S
mp-1415,CaSe,"['Fm-3m', 225]",,,,,,,,,2,2,2.1362,"[[5.6170, 3.8607e-07, 3.8607e-07], [3.8607e-07, 5.6169, -6.6463e-08], [3.8607e-07, -6.6463e-08, 5.6169]]","[[12.4703, 8.5711e-07, 8.5711e-07], [8.5711e-07, 12.4703, -1.4755e-07], [8.5711e-07, -1.4755e-07, 12.4703]]",2.37,5.617,12.4703,12.47,,7.8041,Petousis 2016,10.1103/PhysRevB.93.1151,AB_cF8_225_a_b:Ca-Se
mp-1986,ZnO,"['F-43m', 216]",,,,,,,,,2,2,0.6311,"[[5.8040, 0.0, 0.0], [0.0, 5.8040, 0.0], [0.0, 0.0, 5.8040]]","[[11.2999, 0.0, 0.0], [0.0, 11.2999, 0.0], [0.0, 0.0, 11.2999]]",2.4092,5.8041,11.3,11.35,,9.0834,Petousis 2016,10.1103/PhysRevB.93.1151,AB_cF8_216_a_c:O-Zn
mp-7140,SiC,"['P6_3mc', 186]",,,,,,,,,4,2,2.3029,"[[6.9544, 9.8351e-17, 0.0], [9.8351e-17, 6.9544, 0.0], [0.0, 0.0, 7.3193]]","[[10.1731, 1.4387e-16, 2.7484e-38], [1.4387e-16, 10.1731, 5.6468e-22], [2.7484e-38, 5.6468e-22, 11.3201]]",2.6601,7.0761,10.5555,10.58,,9.7844,Petousis 2016,10.1103/PhysRevB.93.1151,AB_hP4_186_b_b:C-Si
mp-1634,MoSe2,"['P6_3/mmc', 194]",,,,,,,,,6,2,1.4176,"[[14.1055, -2.4478e-06, 0.0], [-2.4478e-06, 14.1054, 0.0], [0.0, 0.0, 3.7699]]","[[15.7070, -2.7257e-06, 0.0], [-2.7257e-06, 15.7069, 0.0], [0.0, 0.0, 3.7849]]",3.265,10.6603,11.733,11.73,,18.0045,Petousis 2016,10.1103/PhysRevB.93.1151,AB2_hP6_194_c_f:Mo-Se
mp-560588,ZnS,"['P6_3mc', 186]",,,,,,,,,4,2,2.0776,"[[5.7979, 6.4525e-17, 0.0], [6.4525e-17, 5.7979, 0.0], [0.0, 0.0, 5.9101]]","[[9.0097, 1.0026e-16, 1.1293e-21], [1.0026e-16, 9.0097, -5.6468e-22], [1.1293e-21, -5.6468e-22, 9.6325]]",2.4157,5.8354,9.2173,9.1,,8.3246,Petousis 2016,10.1103/PhysRevB.93.1151,AB_hP4_186_b_b:S-Zn
mp-1340,Ga2Se3,"['Cc', 9]",,,,,,,,,10,2,1.6844,"[[7.6964, 0.0, 0.0535], [0.0, 7.4414, 0.0], [0.0535, 0.0, 8.2523]]","[[10.7741, 0.0, 0.0217], [0.0, 11.0110, 0.0], [0.0217, 0.0, 13.8548]]",2.7923,7.7968,11.88,12.03,,10.9548,Petousis 2016,10.1103/PhysRevB.93.1151,A2B3_mC20_9_2a_3a:Ga-Se
mp-28027,AsF3,"['Pna2_1', 33]",,,,,,,,,16,2,5.4005,"[[2.151, 0.0, 0.0], [0.0, 2.193, 0.0], [0.0, 0.0, 2.219]]","[[3.202, 0.0, 0.0], [0.0, 3.4690, 0.0], [0.0, 0.0, 9.0369]]",1.4791,2.1877,5.236,5.24,,5.7034,Petousis 2016,10.1103/PhysRevB.93.1151,AB3_mP16_33_a_3a:As-F
mp-27529,PI3,"['P6_3', 173]",,,,,,,,,8,2,2.3551,"[[4.0167, -1.1000e-05, 0.0], [1.0999e-05, 4.0167, 0.0], [0.0, 0.0, 2.8879]]","[[4.6784, -1.1000e-05, 0.0], [1.0999e-05, 4.6784, 0.0], [0.0, 0.0, 2.9617]]",1.908,3.6405,4.1062,4.11,,3.665,Petousis 2016,10.1103/PhysRevB.93.1151,A3B_hP8_173_c_b:I-P
mp-2758,SrSe,"['Fm-3m', 225]",,,,,,,,,2,2,2.2914,"[[5.1769, 4.6043e-07, 4.6043e-07], [4.6043e-07, 5.1770, -5.7658e-07], [4.6043e-07, -5.7658e-07, 5.1770]]","[[11.8866, 1.0571e-06, 1.0571e-06], [1.0571e-06, 11.8866, -1.3238e-06], [1.0571e-06, -1.3238e-06, 11.8866]]",2.2753,5.177,11.8867,11.89,,8.5041,Petousis 2016,10.1103/PhysRevB.93.1151,AB_cF8_225_a_b:Se-Sr
mp-909,As2Se3,"['P2_1/c', 14]",,,,,,,,,20,2,1.5414,"[[10.4531, 0.0, 0.0714], [0.0, 5.281, 0.0], [0.0714, 0.0, 8.5028]]","[[13.6803, 0.0, 0.1541], [0.0, 5.4559, 0.0], [0.1541, 0.0, 12.0906]]",2.8424,8.079,10.409,10.41,,13.4052,Petousis 2016,10.1103/PhysRevB.93.1151,A2B3_mP20_14_2e_3e:As-Se
mp-22691,InSe,"['R3m', 160]",,,,,,,,,4,2,0.8635,"[[7.6255, -8.3740e-07, 7.5567e-23], [-8.3740e-07, 7.6255, -7.2272e-17], [7.5567e-23, -7.2272e-17, 6.8246]]","[[11.2007, -1.2300e-06, 1.1099e-22], [-1.2300e-06, 11.2007, -3.6034e-16], [1.1099e-22, -3.6034e-16, 7.2076]]",2.7127,7.3586,9.8697,9.68,,7.5354,Petousis 2016,10.1103/PhysRevB.93.1151,AB_hR12_160_2a_2a:In-Se
mp-558134,TlF,"['Aem2', 39]",,,,,,,,,4,2,3.0179,"[[4.0179, 0.0, 0.0], [0.0, 3.9317, 0.0], [0.0, 0.0, 4.0390]]","[[48.3276, 0.0, 0.0], [0.0, 8.3190, 0.0], [0.0, 0.0, 61.7661]]",1.9991,3.9962,39.4709,39.49,,35.0056,Petousis 2016,10.1103/PhysRevB.93.1151,AB_mC8_39_c_c:F-Tl
mp-3448,KMgF3,"['Pm-3m', 221]",,,,,,,,,5,3,6.9537,"[[2.0570, 0.0, 0.0], [0.0, 2.0570, 0.0], [0.0, 0.0, 2.0570]]","[[6.9280, 0.0, 0.0], [0.0, 6.9280, 0.0], [0.0, 0.0, 6.9280]]",1.4342,2.057,6.928,6.88,,6.9758,Petousis 2016,10.1103/PhysRevB.93.1151,A3BC_cP5_221_c_a_b:F-K-Mg
mp-555123,KMnF3,"['Pm-3m', 221]",,,,,,,,,5,3,3.1383,"[[2.2249, 0.0, 0.0], [0.0, 2.2249, 0.0], [0.0, 0.0, 2.2249]]","[[13.3911, 0.0, 0.0], [0.0, 13.3911, 0.0], [0.0, 0.0, 13.3911]]",1.4916,2.225,13.3911,13.39,,9.7558,Petousis 2016,10.1103/PhysRevB.93.1151,A3BC_cP5_221_c_a_b:F-K-Mn
mp-4979,AlCuS2,"['I-42d', 122]",,,,,,,,,8,3,1.6756,"[[6.6353, 0.0, 0.0], [0.0, 6.6353, 0.0], [0.0, 0.0, 6.5377]]","[[8.5592, 0.0, 0.0], [0.0, 8.5592, 0.0], [0.0, 0.0, 8.8339]]",2.5696,6.6028,8.6508,8.68,,7.7859,Petousis 2016,10.1103/PhysRevB.93.1151,ABC2_tI16_122_a_b_d:Al-Cu-S
mp-4763,ZnSiP2,"['I-42d', 122]",,,,,,,,,8,3,1.3641,"[[10.4707, 0.0, 0.0], [0.0, 10.4707, 1.1644e-17], [0.0, 1.1644e-17, 10.6088]]","[[12.3964, 0.0, 0.0], [0.0, 12.3964, 4.1032e-18], [0.0, 4.1032e-18, 12.4451]]",3.243,10.5168,12.4127,12.42,,11.526,Petousis 2016,10.1103/PhysRevB.93.1151,A2BC_tI16_122_d_a_b:P-Si-Zn
mp-5238,GaCuS2,"['I-42d', 122]",,,,,,,,,8,3,0.7026,"[[8.6518, 0.0, 0.0], [0.0, 8.6518, -9.1608e-19], [0.0, -9.1608e-19, 8.6409]]","[[11.0488, 0.0, 0.0], [0.0, 11.0488, 6.5363e-17], [0.0, 6.5363e-17, 11.8301]]",2.9408,8.6482,11.3093,11.55,,9.5361,Petousis 2016,10.1103/PhysRevB.93.1151,ABC2_tI16_122_a_b_d:Cu-Ga-S
mp-3163,BaSnO3,"['Pm-3m', 221]",,,,,,,,,5,3,0.3949,"[[5.4676, 0.0, 0.0], [0.0, 5.4676, 0.0], [0.0, 0.0, 5.4676]]","[[22.5096, 0.0, 0.0], [0.0, 22.5096, 0.0], [0.0, 0.0, 22.5096]]",2.3383,5.4677,22.5097,22.51,,18.0034,Petousis 2016,10.1103/PhysRevB.93.1151,AB3C_cP5_221_a_c_b:Ba-O-Sn
mp-2964,NaNO2,"['Imm2', 44]",,,,,,,,,4,3,2.4755,"[[2.7146, 0.0, 0.0], [0.0, 2.1123, 0.0], [0.0, 0.0, 1.8160]]","[[7.0106, 0.0, 0.0], [0.0, 3.9806, 0.0], [0.0, 0.0, 4.9752]]",1.4881,2.2144,5.3222,5.27,,6.3562,Petousis 2016,10.1103/PhysRevB.93.1151,ABC2_mI8_44_a_a_c:N-Na-O
mp-22965,BiTeI,"['P3m1', 156]",,,,,,,,,3,3,1.3295,"[[11.9698, -1.5670e-06, 0.0], [-1.5670e-06, 11.9698, 0.0], [0.0, 0.0, 6.0036]]","[[32.5411, -4.2601e-06, -5.6468e-22], [-4.2601e-06, 32.5411, -9.7806e-22], [-5.6468e-22, -9.7806e-22, 6.6652]]",3.1593,9.9811,23.9159,23.74,,14.506,Petousis 2016,10.1103/PhysRevB.93.1151,ABC_hP3_156_a_b_c:Bi-I-Te
