material_id,formula,spacegroup,eps_total_petousis,eps_elec_petousis,n_petousis,eps_total_exp,diel_ref,n_exp,n_ref,polycrystalline,n_sites,n_elems,bandgap_mp,eps_electronic_mp,eps_total_mp,n_mp,diel_elec_mp,diel_total_mp,diel_total_petousis,diel_elec_petousis,diel_total_exp,series,doi,wyckoff
mp-2895,Mg2SiO4,"['Pnma', 62]","7.08,7.25,7.79","2.80,2.85,2.92",1.69,"6.74,6.87,7.39",[13],1.65,[14],False,28,3,5.1786,,,,,,7.3733,2.8567,7.0,Petousis 2017,10.1038/sdata.2016.134,A2B4C_mP28_62_ac_2cd_c:Mg-O-Si
mp-5342,GaAgS2,"['I-42d', 122]","10.29,10.50","7.12,7.20",2.67,"10.00,14.00",[2],2.25,[15],False,8,3,0.9622,"[[7.1767, 0.0, 0.0], [0.0, 7.1767, 0.0], [0.0, 0.0, 6.9662]]","[[10.3053, 0.0, 0.0], [0.0, 10.3053, 0.0], [0.0, 0.0, 10.4472]]",2.6658,7.1066,10.3526,10.36,7.1467,11.3333,Petousis 2017,10.1038/sdata.2016.134,ABC2_tI16_122_a_b_d:Ag-Ga-S
mp-408,Mg2Ge,"['Fm-3m', 225]",25.73,17.82,4.22,21.70,[16],5.0,[16],True,3,2,0.2505,,,,,,25.73,17.82,21.7,Petousis 2017,10.1038/sdata.2016.134,AB2_cF12_225_a_c:Ge-Mg
mp-315,PbF2,"['Fm-3m', 225]",33.01,3.29,1.81,28.35,[17],1.77,[18],True,3,2,4.44,"[[3.2894, -1.0983e-07, -6.6603e-07], [-1.0983e-07, 3.2894, -4.4928e-07], [-6.6603e-07, -4.4928e-07, 3.2894]]","[[33.2905, -1.1115e-06, -6.7406e-06], [-1.1115e-06, 33.2905, -4.5469e-06], [-6.7406e-06, -4.5469e-06, 33.2905]]",1.8137,3.2894,33.2905,33.01,3.29,28.35,Petousis 2017,10.1038/sdata.2016.134,A2B_cF12_225_c_a:F-Pb
mp-23251,KBr,"['Fm-3m', 225]",5.63,2.49,1.58,4.90 ,[3],1.56,[19],True,2,2,4.5151,"[[2.4929, 3.8684e-07, -1.3829e-07], [3.8684e-07, 2.4929, 2.0741e-07], [-1.3829e-07, 2.0741e-07, 2.4929]]","[[5.6790, 8.8126e-07, -3.1504e-07], [8.8126e-07, 5.6790, 4.7251e-07], [-3.1504e-07, 4.7251e-07, 5.6790]]",1.5789,2.4929,5.679,5.63,2.49,4.9,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:Br-K
mp-22905,LiCl,"['Fm-3m', 225]",13.26,2.94,1.72,11.95,[3],1.66,[19],True,2,2,6.3951,,,,,,13.26,2.94,11.95,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:Cl-Li
mp-470,GeO2,"['P4_2/mnm', 136]","11.55,17.30","4.43,4.56",2.13,"12.20,14.50",[20],2.02,[20],False,6,2,1.9072,,,,,,13.4667,4.4733,12.9667,Petousis 2017,10.1038/sdata.2016.134,AB2_tP6_136_a_f:Ge-O
mp-23703,LiH,"['Fm-3m', 225]",14.16,4.37,2.09,12.90,[3],1.98,[21],True,2,2,3.1751,"[[4.3634, -1.8278e-06, -1.2433e-06], [-1.8278e-06, 4.3634, 1.0587e-06], [-1.2433e-06, 1.0587e-06, 4.3634]]","[[14.2596, -5.9733e-06, -4.0631e-06], [-5.9733e-06, 14.2596, 3.4599e-06], [-4.0631e-06, 3.4599e-06, 14.2596]]",2.0889,4.3634,14.2596,14.16,4.37,12.9,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:H-Li
mp-1550,AlP,"['F-43m', 216]",10.42,8.14,2.85,9.80,[22],2.88,[22],True,2,2,1.8232,"[[8.1426, 0.0, 0.0], [0.0, 8.1426, 0.0], [0.0, 0.0, 8.1426]]","[[10.4124, 0.0, 0.0], [0.0, 10.4124, 0.0], [0.0, 0.0, 10.4124]]",2.8535,8.1426,10.4125,10.42,8.14,9.8,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_216_a_c:Al-P
mp-5229,SrTiO3,"['Pm-3m', 221]",8.63,6.43,2.54,300.00,[2],2.39,[23],False,5,3,1.8274,,,,,,8.63,6.43,300.0,Petousis 2017,10.1038/sdata.2016.134,A3BC_cP5_221_c_a_b:O-Sr-Ti
mp-14568,BaMgF4,"['Cmc2_1', 36]","8.38,8.45,19.48","2.20,2.27,2.30",1.5,"8.12,8.45,14.38",[2],1.46,[2],False,12,3,6.9487,"[[2.2693, 0.0, 0.0], [0.0, 2.3156, 0.0], [0.0, 0.0, 2.2992]]","[[8.4809, 0.0, 0.0], [0.0, 62.0879, 0.0], [0.0, 0.0, 8.3328]]",1.5148,2.2948,26.3006,12.1033,2.2567,10.3167,Petousis 2017,10.1038/sdata.2016.134,AB4C_mC24_36_a_4a_a:Ba-F-Mg
mp-19717,TePb,"['Fm-3m', 225]",335.37,26.51,5.15,414.00 ,[24],5.9,[24],True,2,2,1.0582,"[[26.2181, 0.0, 0.0], [0.0, 26.2181, 0.0], [0.0, 0.0, 26.2181]]","[[379.8380, 0.0, 0.0], [0.0, 379.8380, 0.0], [0.0, 0.0, 379.8380]]",5.1204,26.2181,379.8381,335.37,26.51,414.0,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:Pb-Te
mp-22914,CuCl,"['F-43m', 216]",8.91,5.25,2.29,8.75,[2],1.97,[25],False,2,2,0.8018,"[[5.1084, -0.0023, 0.0023], [-0.0023, 5.1084, 0.0023], [0.0023, 0.0023, 5.1084]]","[[9.2781, -0.0043, 0.0043], [-0.0043, 9.2781, 0.0043], [0.0043, 0.0043, 9.2781]]",2.2602,5.1084,9.2782,8.91,5.25,8.75,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_216_a_c:Cl-Cu
mp-691,SnSe,"['Pnma', 62]","27.93,37.91,56.64","16.44,18.33,20.06",4.28,"42.00,45.00,62.00",[1],4.1,[26],False,8,2,1.3338,"[[16.9372, 0.0, 0.0], [0.0, 15.2714, 0.0], [0.0, 0.0, 18.6711]]","[[32.3257, 0.0, 0.0], [0.0, 27.1293, 0.0], [0.0, 0.0, 46.3035]]",4.1182,16.9599,35.2528,40.8267,18.2767,49.6667,Petousis 2017,10.1038/sdata.2016.134,AB_mP8_62_c_c:Se-Sn
mp-1265,MgO,"['Fm-3m', 225]",10.68,3.21,1.79,9.20,[27],1.74,[28],False,2,2,4.638,"[[3.2083, 0.0, 0.0], [0.0, 3.2083, 0.0], [0.0, 0.0, 3.2083]]","[[10.7720, 0.0, 0.0], [0.0, 10.7720, 0.0], [0.0, 0.0, 10.7720]]",1.7912,3.2084,10.7721,10.68,3.21,9.2,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:Mg-O
mp-684580,AgI,"['I-4m2', 119]","7.22,7.47","4.89,5.10",2.24,7.00,[29],2.2,[30],True,2,2,1.9047,"[[5.1029, 0.0, 0.0], [0.0, 5.1029, 0.0], [0.0, 0.0, 4.8906]]","[[7.4975, 0.0, 0.0], [0.0, 7.4975, 0.0], [0.0, 0.0, 7.2513]]",2.2433,5.0322,7.4155,7.3033,4.96,7.0,Petousis 2017,10.1038/sdata.2016.134,AB_tI4_119_a_c:Ag-I
mp-1138,LiF,"['Fm-3m', 225]",8.62,2.03,1.43,9.10,[2],1.39,[2],False,2,2,8.7195,"[[2.0356, -6.9598e-07, 7.1508e-07], [-6.9598e-07, 2.0356, 3.3637e-07], [7.1508e-07, 3.3637e-07, 2.0356]]","[[8.6891, -2.9707e-06, 3.0523e-06], [-2.9707e-06, 8.6891, 1.4358e-06], [3.0523e-06, 1.4358e-06, 8.6891]]",1.4268,2.0357,8.6891,8.62,2.03,9.1,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:F-Li
mp-5238,GaCuS2,"['I-42d', 122]","11.16,12.05","8.76,8.89",2.97,"9.30,10.00",[2],2.77,[31],False,8,3,0.7026,"[[8.6518, 0.0, 0.0], [0.0, 8.6518, -9.1608e-19], [0.0, -9.1608e-19, 8.6409]]","[[11.0488, 0.0, 0.0], [0.0, 11.0488, 6.5363e-17], [0.0, 6.5363e-17, 11.8301]]",2.9408,8.6482,11.3093,11.4567,8.8033,9.5333,Petousis 2017,10.1038/sdata.2016.134,ABC2_tI16_122_a_b_d:Cu-Ga-S
mp-557,TeO2,"['P4_12_12', 92]","22.83,27.66","5.39,6.12",2.37,"22.80,24.80",[2],2.33,[32],False,12,2,2.8956,"[[5.3859, 0.0, 0.0], [0.0, 5.3859, 0.0], [0.0, 0.0, 6.1184]]","[[22.8166, 0.0, 0.0], [0.0, 22.8166, 0.0], [0.0, 0.0, 27.7647]]",2.3728,5.6301,24.466,24.44,5.6333,23.4667,Petousis 2017,10.1038/sdata.2016.134,A2B_tP12_92_b_a:O-Te
mp-23197,TlI,"['Pm-3m', 221]",154.71,6.60,2.57,29.60,[33],,,False,2,2,2.2503,,,,,,154.71,6.6,29.6,Petousis 2017,10.1038/sdata.2016.134,AB_cP2_221_a_b:I-Tl
mp-22862,NaCl,"['Fm-3m', 225]",6.28,2.49,1.58,5.90,[2],1.54,[19],False,2,2,5.1451,"[[2.4881, 0.0, 0.0], [0.0, 2.4881, 0.0], [0.0, 0.0, 2.4881]]","[[6.5302, 0.0, 0.0], [0.0, 6.5302, 0.0], [0.0, 0.0, 6.5302]]",1.5774,2.4881,6.5303,6.28,2.49,5.9,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:Cl-Na
mp-2605,CaO,"['Fm-3m', 225]",16.45,3.78,1.94,12.10,[34],1.83,[35],True,2,2,3.6919,"[[3.7840, 2.0200e-07, -9.0419e-07], [2.0200e-07, 3.7840, 3.1131e-07], [-9.0419e-07, 3.1131e-07, 3.7840]]","[[16.4713, 8.7931e-07, -3.9358e-06], [8.7931e-07, 16.4713, 1.3551e-06], [-3.9358e-06, 1.3551e-06, 16.4713]]",1.9453,3.784,16.4714,16.45,3.78,12.1,Petousis 2017,10.1038/sdata.2016.134,AB_cF8_225_a_b:Ca-O
