icsd_id,bandgap_gga,bandgap_hse
187732,5.402324,7.156631
31177,5.252355,6.998844
180185,4.416084,5.969425
180186,3.260373,4.620475
159794,0,0
14344,3.559212,4.898802
201817,3.611446,5.056714
202679,3.636465,4.939306
33664,0,0
76967,0,0
409896,3.312673,4.412862
417355,3.39878,4.7845
418336,3.066455,4.357274
417477,3.467301,4.779809
417479,3.311418,4.71284
415821,3.166501,4.423203
100695,3.091121,4.635599
72569,3.424497,4.962099
63570,0,0
245005,0,0
61217,0,0
261371,0,0
45974,0,0
27001,3.847757,5.266709
68533,0,0
73807,0,0
2462,3.103803,4.503415
26148,4.786315,6.507008
72501,3.915632,5.257772
61,3.427465,4.721091
155495,0,0
160698,0,0
419880,0,0
150842,4.011964,5.414679
16870,3.083453,4.458856
61378,0,0
60762,4.876836,6.227372
425886,3.892272,5.272449
65640,3.585932,4.782383
16264,3.600927,5.029359
27956,3.482577,5.389963
79781,5.147626,6.918712
81691,3.601573,5.482238
150840,4.705261,6.226413
16701,3.163005,4.430777
82843,5.251281,6.851202
8200,3.548823,4.988631
34169,5.169627,7.052792
54024,3.507162,5.879967
31201,4.601517,6.375368
279579,3.354457,4.461089
158801,3.904954,5.486434
245610,0,0
14024,3.249995,4.608876
2155,4.401792,6.022034
418250,3.184621,5.278762
17064,3.410646,4.933091
37138,4.004869,5.542548
67714,0,0
55721,3.229838,4.501545
27331,3.359208,4.90524
93099,0,0
75569,0,0
99538,4.178267,5.830488
28908,0,0
98416,0,0.962002
419666,4.804087,6.312262
79340,0,0
202189,0,0
31640,3.112527,4.223572
62134,3.00231,4.583393
280203,3.522201,4.930193
249209,0,0
10104,0,0
109059,3.430389,4.845651
173372,0,0
100099,0,0
22207,0,0
100098,0,0
151917,0,0
81237,3.409216,4.837955
68494,3.25448,4.371033
165326,0,0
165327,0,0
67981,3.070138,5.121975
94492,3.410136,4.839172
164853,0,0
48007,0,0
45511,4.210603,5.734791
35012,0,0
24051,2.139107,3.781714
84226,3.720552,5.15465
9129,1.211642,2.191405
1318,3.30125,4.664442
181879,0,0
181880,0,0
181884,0,0
100402,5.147177,6.915768
94893,3.896903,5.48854
153806,6.049584,7.993071
23723,6.086697,7.939452
14196,3.613002,4.971805
280481,5.197232,6.940156
69300,5.289911,7.054144
245516,5.253704,7.00682
1897,3.404657,4.770669
75264,3.770904,5.196598
10257,5.910264,7.737136
20208,5.821542,7.631078
279592,3.0658,4.697408
108819,3.447874,4.793903
62137,4.331626,5.680391
73835,4.092501,5.690593
15631,3.5117,5.215334
74950,4.356664,5.861042
65176,4.559378,6.228002
28131,3.863361,5.518054
20418,3.373451,4.728087
494,4.014669,5.413408
156592,5.466983,7.378653
26489,4.632965,6.417606
31176,5.826185,7.744494
34163,4.655411,6.481109
80669,4.535436,6.356036
16759,5.514582,7.471116
27130,5.555635,7.51302
109068,3.116595,5.085113
22357,3.213169,4.585423
402917,3.023157,4.198969
40345,1.01319,2.62272
162406,4.782838,6.649855
30962,4.665413,6.434435
81132,4.619461,6.403424
20295,5.340664,7.211041
31005,5.125138,6.921284
9849,5.197936,7.032677
91748,3.443076,4.968539
65301,4.169374,5.765929
62801,1.799916,2.648623
51014,3.051496,3.799092
166514,0,0
151971,3.737974,5.143526
44523,4.095353,5.500386
174205,0,0
174206,0,0
174207,0,0
183199,4.256198,5.662978
24904,4.120976,5.525132
23700,3.436357,4.821624
152123,0,0
48213,3.094007,4.467417
414554,3.619185,4.992961
280130,1.62015,2.77324
40962,0,0
92839,0,0
66540,5.18078,6.416405
247311,2.38758,3.700369
28152,3.097357,4.499973
170347,0,0
2740,4.293624,5.839123
15440,5.017518,6.821603
174021,5.16247,6.986907
88375,2.643443,3.959161
245608,0,0
185930,0,0
78831,3.285764,4.588813
172608,0,0
31816,4.899327,6.37962
15476,4.11629,5.520046
37094,4.265681,5.723002
89638,4.132682,5.45703
24664,4.203995,5.878543
100458,5.088081,6.900578
27955,5.182372,6.935973
28056,5.096241,6.908939
81504,5.13952,7.001731
150706,3.32354,5.23145
44524,5.021369,6.518239
34669,4.491834,6.175313
34688,4.512611,6.207136
80378,4.464715,6.176892
88662,4.499109,6.184385
98564,4.49721,6.187997
413049,5.153455,7.070075
81134,4.766489,6.575659
171374,3.539065,5.928828
85063,3.42757,4.826581
16743,4.622666,6.374023
49746,0,0
411442,3.016256,4.52045
85551,4.508485,6.278296
200854,3.445952,4.908201
88723,0,0
109191,3.377883,4.903716
100176,3.455891,4.950549
51144,3.293002,4.827401
51147,3.133788,4.677054
36290,3.224891,4.71011
36277,0,0
71859,0,0
74998,0,0
71964,0,0
93507,0,0
191794,0,0
23487,0,0
16691,3.25389,4.544161
15809,0,0
74996,0,0
100642,3.786206,4.667121
30433,4.029194,5.141984
247303,0,0
29055,0,0
153160,3.815684,4.771795
79704,3.500759,4.858957
56798,3.178281,4.31952
411220,5.791577,7.669511
90939,4.374078,5.843686
62593,3.984354,5.338817
78983,3.195806,4.546625
71299,0,0
154582,3.051898,4.239566
16629,5.086686,6.828312
30993,3.255266,4.387204
35360,3.719349,4.93563
109078,0,0
162045,1.60434,2.764814
262090,1.535356,2.584738
31961,0.285517,1.983074
96419,0,0
96420,0,0
96421,0,0
2301,3.511059,4.916427
78627,0,0.292042
82981,0,0
86940,0,0
159881,3.677109,4.974393
419386,3.805856,5.100624
163221,3.764247,5.059131
61341,4.227697,5.594003
261228,3.886398,5.54182
158515,4.317127,5.743519
158516,4.233955,5.655154
1861,4.19203,5.704297
424825,1.719512,3.072174
27118,0,0
183451,0,-0.0565280000
183452,0,0
183453,0,0
74396,3.332872,4.529656
650,3.797373,5.380021
89355,3.599175,5.134038
89356,3.74623,5.278011
89365,3.382063,4.904946
16937,3.568397,4.760535
20903,0,0.769515
161677,3.892504,5.460327
62977,4.006465,5.26749
263049,0,0
82204,0,0
100625,4.200505,5.563416
4418,1.344232,2.31173
30076,0,0
78846,0,0
73298,4.05359,5.412505
203159,4.936878,6.6816
60929,3.845179,5.756272
183200,4.699938,6.214593
75152,0,0
245904,3.757809,4.953228
245906,4.272705,5.492107
92608,5.917283,7.791115
59944,3.903282,5.231287
16748,4.616436,6.370519
2456,4.954839,6.816588
109192,3.98201,5.552778
47004,3.504805,5.452107
99383,3.271716,4.616268
99384,3.284046,4.589963
35667,4.349112,5.97755
36041,4.475036,6.123288
187838,3.643928,5.01959
187839,3.331122,4.827481
9147,3.459265,4.839738
9582,4.744622,6.542942
84245,2.809907,4.359342
2840,3.387461,4.361441
71325,0.178368,1.042863
155425,4.28502,5.752691
20265,4.009665,5.53295
55442,0,0
201743,2.513955,0
203048,0,0
35757,3.165839,4.38314
35101,3.31615,4.349603
171567,4.11109,5.978758
23444,0,0
157435,0,0
161127,0,0
280041,5.421249,7.245385
36040,5.222263,7.231699
48205,0,0
15308,0,0
63639,2.941886,3.937095
51023,0,0
245796,0,0
36165,0,0
154717,3.015705,4.430917
262843,3.112813,4.480923
240875,3.107944,3.595295
26532,3.242703,4.592772
19047,5.466156,7.517107
423437,4.950619,7.008443
30583,3.319204,5.205814
170847,3.335556,4.070979
24153,4.485321,5.896712
51095,4.352592,5.978066
411664,3.321768,4.843582
83189,0,0
172017,0,0
164148,4.717548,6.414055
28004,4.613684,6.298291
33721,5.146206,6.869337
74778,5.149029,6.872194
84805,2.779241,4.266131
23731,3.266581,4.774369
174069,3.450889,4.901012
42702,2.572134,4.020701
966,3.265037,4.241504
184780,5.697923,7.508948
27554,4.187769,5.760761
32677,4.365369,6.011012
38271,4.613506,6.257164
