material_id,formula,e_form_pred_n0,e_form_ale_n0
scn-8596,TaAl5As,0.0161,0.0237
scn-8597,Mg3ZrO6,-2.7994,0.0365
scn-8598,CaPbBr,-1.1054,0.0177
scn-8599,TaGePtO5,-2.0815,0.0667
scn-8600,Ba3(AtO4)2,-2.8134,0.0325
scn-8601,Sr2TaAsO6,-2.8176,0.0325
scn-8602,SrTiNb2Ge12Bi2Pb,-0.0091,0.0394
scn-8603,NiMo6Pb2W,0.5568,0.0508
scn-8604,InPb2WO6,-1.7886,0.0303
scn-8605,TaMoO4,-2.6941,0.0418
scn-8606,Na3IF5,-2.5604,0.0743
scn-8607,Sc3Mo,0.0401,0.0108
scn-8608,TlIn3Ge,0.093,0.0124
scn-8609,Zn2GePbS4,-0.7759,0.0215
scn-8610,FeBiF,-1.1001,0.0921
scn-8611,NaTl2Te,0.3879,0.1601
scn-8612,Na2CrTeF7,-2.763,0.0312
scn-8613,Y4PbW,-0.1576,0.0113
scn-8614,Rh2O5,-1.017,0.0578
scn-8615,TiOsO3,-1.9172,0.1158
scn-8616,Na2IO3,-0.6191,0.2847
scn-8617,LiGeAuO5,-1.3426,0.0501
scn-8618,Sr2Cd7CoSi2,-0.167,0.0105
scn-8619,TaZn2FeO6,-1.9887,0.0626
scn-8620,Sr2TaRuO6,-2.911,0.0274
scn-8621,K6SrO16,-0.8815,0.1567
scn-8622,K5HfTl,0.4106,0.0277
scn-8623,CsSr2TaO6,-2.6857,0.0417
scn-8624,SrTaAl2N,-0.5289,0.0322
scn-8625,Cu2PbF8,-1.9793,0.0475
scn-8626,CsRb2YCu6,0.4612,0.074
scn-8627,K2CaTa9,0.4528,0.0268
scn-8628,Nb3Cu13Sb3,0.1828,0.0364
scn-8629,Zr7SnO16,-3.5235,0.0422
scn-8630,CaMn3O7,-1.8895,0.1363
scn-8631,KSc5Pb2,-0.1898,0.0173
scn-8632,K4Br5O12,-0.6446,0.3165
scn-8633,Na2Ti3(MoO5)2,-2.5784,0.0417
scn-8634,Ba3MgTiZnO9,-2.6123,0.038
scn-8635,Ba5Ta2P9Cl2,-1.0611,0.0256
scn-8636,KNb3(PtO5)2,-2.3521,0.0306
scn-8637,Li2Ti2Re5,0.0166,0.0239
scn-8638,Li2Ta2CrO7,-2.9295,0.0297
scn-8639,KTa3(TcO5)2,-2.589,0.0414
scn-8640,ZrAl3Pb,-0.0522,0.0263
scn-8641,KNb3N8,-0.7452,0.0525
scn-8642,Ra4TaIn,-0.0464,0.0139
scn-8643,Zn(OsO3)2,-1.4634,0.0289
scn-8644,KNbTcOF5,-2.823,0.0404
scn-8645,Hf3NbO7,-3.4702,0.0461
scn-8646,Ca4Ti,0.2717,0.0194
scn-8647,Nb3GaO6,-2.2329,0.0565
scn-8648,Sr5Cu7O19,-1.4176,0.1988
scn-8649,TaAl7Bi3,0.2685,0.0348
scn-8650,TlGaN4,0.1765,0.1793
scn-8651,Y3TaAl7,-0.3669,0.0084
scn-8652,SrSnGe2O7,-2.3313,0.0282
scn-8653,GeClF3,-2.3205,0.0321
scn-8654,TaNb2GaO6,-2.2988,0.0605
scn-8655,Hf2TlAs,-0.5116,0.0314
scn-8656,Tl2SeO2,-0.5795,0.0709
scn-8657,Zr2Ga3O7,-2.3442,0.0521
scn-8658,KNa(Ta3Nb)2,1.0012,0.2503
scn-8659,Rb2ScTcF6,-3.0615,0.0376
scn-8660,Mg2ScNbO7,-2.8798,0.0621
scn-8661,Tl2AsCl6,-1.2328,0.0235
scn-8662,TiZnW(NO3)3,-0.6867,0.233
scn-8663,Sr2ScTaF6,-3.0969,0.1355
scn-8664,Ba2SrTlO6,-2.0455,0.0503
scn-8665,Hf3TaO4,-2.6392,0.0475
scn-8666,CaIF3,-2.9508,0.0332
scn-8667,Sr2MnF6,-3.7132,0.0291
scn-8668,TiCr(BiO3)2,-2.3094,0.0434
scn-8669,Pb3Cl4O13,-0.7777,0.158
scn-8670,Sr5Ta2,0.6715,0.0588
scn-8671,LiNb2PO7,-2.6402,0.0381
scn-8672,SrY3Hf,0.1621,0.0137
scn-8673,Nb3BiO6,-2.2656,0.0474
scn-8674,Sr9YTa3,0.5051,0.0338
scn-8675,Ba3TiRu4O15,-2.2318,0.0357
scn-8676,OsPb2F7,-2.1628,0.0382
scn-8677,HgSeCl2,-0.5434,0.064
scn-8678,NaCaTaTiAl6,-0.1045,0.0184
scn-8679,Ba2CrIO6,-2.2263,0.0484
scn-8680,NiSn(AsO2)2,-0.9614,0.0644
scn-8681,NaNbAl3,-0.0227,0.0138
scn-8682,LiNbFe6W,0.1649,0.0583
scn-8683,Mg3PPb3O4,-1.4637,0.1919
scn-8684,HfZrSn2O7,-2.8532,0.0295
scn-8685,Tl2WF6,-2.4159,0.0336
scn-8686,Ta2GaO6,-2.9766,0.0541
scn-8687,Sr8Ti3Ge,0.3261,0.0248
scn-8688,Tl2MoF4,-2.0877,0.0409
scn-8689,SrHgF4,-2.8816,0.0294
scn-8690,Ba5Hf4O15,-3.4874,0.0416
scn-8691,BaNa2Ru2O7,-1.7708,0.0338
scn-8692,CrAgSCl2,-0.8924,0.0235
scn-8693,CaTaTlO5,-2.6602,0.0401
scn-8694,MgZrO7F2,-1.6155,0.117
scn-8695,SF,-0.1062,0.2037
scn-8696,NaNbRuO6,-2.1443,0.049
scn-8697,Ca2TaAtO6,-3.1316,0.0281
scn-8698,Ba15Sr5Ta4,0.4414,0.0279
scn-8699,K2Nb2PbO9,-2.133,0.0826
scn-8700,BaCa3Zr,0.2586,0.0183
scn-8701,Sr3CaHf,0.3913,0.0237
scn-8702,InMoBr3,-0.4519,0.0221
scn-8703,Sn2Pb,0.122,0.0165
scn-8704,SrFeNO2,-1.4311,0.1478
scn-8705,Rb3Y7,0.4397,0.0247
scn-8706,FrHfO3,-3.233,0.0881
scn-8707,Ta4(O3F)5,-2.1084,0.1419
scn-8708,Rb2IO3,-1.5213,0.0456
scn-8709,Os3BrF5,-0.6835,0.0932
scn-8710,SrZrTe2F8,-2.9598,0.0359
scn-8711,AlIO3,-1.1055,0.1906
scn-8712,Sr3TlSn,-0.4727,0.0099
scn-8713,MgNb6Tl2O18,-2.721,0.0654
scn-8714,SrMn4O11,-1.8576,0.0483
scn-8715,Ca2NbO5F,-3.0608,0.0549
scn-8716,Y4Zn3SnO14,-2.4227,0.0658
scn-8717,SnGePO4,-1.9845,0.0463
scn-8718,Zr(Sn4Pb)2,-0.0252,0.0153
scn-8719,Ta7NbO19,-3.2633,0.0391
scn-8720,KTi4V(BiO6)2,-2.7269,0.0359
scn-8721,KNb4ClO12,-2.5502,0.0718
scn-8722,Ti2VBiO6,-2.6749,0.0336
scn-8723,Y4NiSn3O14,-2.8616,0.0261
scn-8724,AgGe3O8,-1.62,0.0699
scn-8725,Fr2HfO3,-2.8631,0.044
scn-8726,Ba4Na2Ti3Nb2O18,-3.1714,0.0457
scn-8727,Sr3Cd4MoO16,-1.4196,0.1954
scn-8728,HfTl2GaF6,-2.783,0.066
scn-8729,ScNbO2,-2.4891,0.0513
scn-8730,KHfF3,-3.0953,0.046
scn-8731,TeF,-0.9741,0.0758
scn-8732,ClF2,-0.5677,0.1452
scn-8733,K2Ti3(PO5)2,-2.5406,0.0516
scn-8734,LiIrO3,-1.5496,0.0341
scn-8735,Y10NbV3,0.2611,0.0326
scn-8736,Cu2Bi2S,-0.1344,0.0205
scn-8737,CaHf2PbO6,-3.3401,0.0298
scn-8738,Mg2Bi3Mo3O14,-2.1486,0.0385
scn-8739,Na19Ta7Bi,0.3962,0.0644
scn-8740,BaNO3,-0.2863,1.0589
scn-8741,TiZn5Bi2,0.0881,0.0151
scn-8742,KTiSeO5,-2.2872,0.07
scn-8743,CsIrWO6,-1.8606,0.0349
scn-8744,KTaTl2F6,-2.65,0.0502
scn-8745,TlBi9,0.0593,0.0185
scn-8746,HfTa2H2O7,-2.3359,0.1134
scn-8747,MgTi2ClO6,-2.5699,0.0663
scn-8748,Ba4Na2Sr11W2,0.3372,0.0216
scn-8749,TaTiTlCu5,0.1308,0.0326
scn-8750,Y3Zr2O7,-3.4997,0.0365
scn-8751,MgTi3Nb2(HgO3)6,-2.2247,0.045
scn-8752,Sr5ZrGe4O15,-2.8892,0.0284
scn-8753,NbZn4Bi,0.0852,0.0209
scn-8754,Sb4CO4,-0.5238,0.1712
scn-8755,HfTi(SeO3)2,-2.3513,0.062
scn-8756,BaV2PbO8,-2.3601,0.0442
scn-8757,Ba3Ta2ClO9,-3.1319,0.0346
scn-8758,Ti2I2O5,-2.3834,0.1001
scn-8759,ScZnO2,-2.6503,0.042
scn-8760,Ti2CuBiO6,-2.5275,0.0278
scn-8761,NaCa2Cd3O10,-1.2613,0.2269
scn-8762,FrBa3Ta2O9,-3.4117,0.0288
scn-8763,Ca3Ta4(SbO6)2,-2.7777,0.0533
scn-8764,CaZrP2F8,-3.322,0.0427
scn-8765,Ba2ScTaCu6,0.3423,0.0377
scn-8766,Rb3TaH,0.6618,0.0336
scn-8767,Fr3TiNbO9,-3.3375,0.0343
scn-8768,Ba(NbBi3)2,-0.1328,0.0153
scn-8769,Ca2Ti5(Cl2O9)2,-1.6954,0.4088
scn-8770,AlInAs4,-0.1191,0.0242
scn-8771,Ta2Bi2BrO9,-2.2661,0.0676
scn-8772,TlSnSe3,-0.2658,0.0363
scn-8773,K2BaNb2O9,-2.4528,0.0885
scn-8774,Sr3Ta2PdO9,-3.0271,0.0278
scn-8775,NaAsF3,-2.2734,0.0409
scn-8776,Ba2BiO4,-2.388,0.065
scn-8777,CaZr(PbO4)2,-2.1697,0.0573
scn-8778,AgSO3,-1.3742,0.0295
scn-8779,Sr2S2O7,-2.5125,0.1052
scn-8780,Sr3Nb2(SnO6)2,-2.9341,0.0302
scn-8781,Na9Nb2Bi2Pb,0.0102,0.0194
scn-8782,ReSnF4,-1.8198,0.0735
scn-8783,Cs2MgOF5,-2.5398,0.0448
scn-8784,Tl9SbN6,0.5103,0.0442
scn-8785,Rb5MgTaBi,0.3314,0.0287
scn-8786,Ba2Li2MgO7,-1.8095,0.0767
scn-8787,NaScCo2F6,-2.7097,0.0486
scn-8788,Ca2Mo3O8,-2.4769,0.0772
scn-8789,SeBrF,-0.3732,0.0619
scn-8790,HfPbCl,-0.3069,0.0589
scn-8791,Ca14Ta3Zn2Bi3,-0.0407,0.0191
scn-8792,NbVWO6,-2.5203,0.0494
scn-8793,Cs2Br3,-1.2352,0.0339
scn-8794,TiGe2(PbO3)3,-2.199,0.0222
scn-8795,NaGa3O8,-1.1945,0.0888
scn-8796,Nb2Zn(In3Pb)3,0.1453,0.0217
scn-8797,Li4Ta3OF8,-2.5617,0.0751
scn-8798,Na4Ti7Zn16,-0.0418,0.0158
scn-8799,Nb2Bi2AsO9,-2.2866,0.0371
scn-8800,Ti2V2O5,-2.717,0.0591
scn-8801,NaF2,-2.0599,0.0547
scn-8802,Ti3(O2F)4,-1.9899,0.1932
scn-8803,Hf2In2O7,-2.9942,0.1092
scn-8804,Ba4Nb2ZnO12,-2.7413,0.0342
scn-8805,Ca6Zr,0.181,0.0171
scn-8806,TiPbW3,0.2883,0.064
scn-8807,Ta2P2O7,-1.8634,0.2293
scn-8808,ScSn2F3,-2.2572,0.0538
scn-8809,Nb2Cd2Sn7,-0.0289,0.0392
scn-8810,BaGaO3,-2.3915,0.0378
scn-8811,Cs2TiNbTlO4,-2.1634,0.0514
scn-8812,KNa18Nb4Bi5,0.0082,0.0199
scn-8813,MoS,-0.9674,0.0602
scn-8814,Nb4Sn13Pb3,0.051,0.0735
scn-8815,KYS2O7,-2.3877,0.0383
scn-8816,LiTaBiO6,-2.2528,0.0499
scn-8817,Na2VFeF7,-3.0045,0.0348
scn-8818,Ca2Sc7CoSi2,-0.2723,0.0152
scn-8819,RbWF3,-2.166,0.049
scn-8820,KHfNb2OF5,-2.8204,0.0534
scn-8821,Sc2Cd7Si2,-0.1239,0.0224
scn-8822,Na4TaBi,0.2783,0.028
scn-8823,K2ScNbF6,-3.0719,0.0644
scn-8824,Ta2InO6F,-3.0505,0.0516
scn-8825,Rb2Ca2O7,-1.6095,0.0915
scn-8826,ZrMo3OF5,-1.9984,0.0731
scn-8827,K4Ti5O12,-3.1496,0.0319
scn-8828,Ta4Bi5BrO18,-2.4979,0.0514
scn-8829,YPbCl,-1.3704,0.0192
scn-8830,K2NaHfGa5O,-0.4153,0.0259
scn-8831,Ba5Nb19,0.4282,0.048
scn-8832,ZrV3F7,-2.8461,0.0709
scn-8833,Sr2Ta2As7,-0.5775,0.0155
scn-8834,TcSe,0.2443,0.0782
scn-8835,RbMgCrGe6,-0.0535,0.0139
scn-8836,Rb2Hf2OF5,-3.2798,0.0518
scn-8837,Ta2Al6Pb,0.0045,0.0191
scn-8838,PbW,1.5741,0.0678
scn-8839,Cs2NaHfSn5O,-0.5499,0.0315
scn-8840,Fr2KZrOF5,-3.2138,0.0468
scn-8841,Cs2HfAuOF5,-2.9196,0.0305
scn-8842,NaZrV2OF5,-2.9662,0.0489
scn-8843,Cs2CaZrOF5,-3.468,0.0357
scn-8844,MgCrPb2F7,-2.83,0.0557
scn-8845,Cs2Ti(Tc4W)3,0.7173,0.0365
scn-8846,Ba3(Ca4Nb)2,0.3825,0.0281
scn-8847,Cs2Sn(WO4)3,-2.2188,0.0312
scn-8848,Ba3HfNb2O9,-3.3032,0.0347
scn-8849,NaSrMg2Sc7,0.1405,0.0477
scn-8850,MgNb2GaF7,-2.6506,0.0603
scn-8851,NaCaTe2F7,-2.6939,0.0353
scn-8852,RbSrTaO2,-1.9452,0.0491
scn-8853,Rb6TaMnNb,1.0194,0.0436
scn-8854,KBr6F25,-1.3731,0.0855
scn-8855,Ba6Na2Ta2V2Tc17,0.1694,0.0587
scn-8856,Sr2TaRuO6,-2.8686,0.0208
scn-8857,NbGaCl3,-1.2019,0.0276
scn-8858,ZrTlCu5,-0.0042,0.0147
scn-8859,TaClO3,-2.2172,0.0686
scn-8860,Ta12In,-0.0668,0.0343
scn-8861,NbTl(VZn4)2,-0.0079,0.0354
scn-8862,Sr2Sc6NbIn,0.0334,0.0253
scn-8863,Ca2ScNbNi6,-0.1887,0.0125
scn-8864,TaNiGeO5,-2.3168,0.0334
scn-8865,Ba2TaTcO6,-2.9806,0.0311
scn-8866,Nb3BiO8,-2.638,0.0422
scn-8867,Ti4Re2O11,-2.9415,0.0395
scn-8868,HfTlCdGa7,-0.0115,0.0138
scn-8869,Al6NiPb2W,0.1749,0.0237
scn-8870,TlNi(PbO3)2,-0.9791,0.042
scn-8871,TaIn4Bi,0.1462,0.0172
scn-8872,Ru5Pb3I,0.4442,0.0301
scn-8873,Na7Sr3Hf2,0.3373,0.0164
scn-8874,Sr2Tl2S3,-1.5749,0.0206
scn-8875,Ba2YClO6,-2.1138,0.0931
scn-8876,CsTl2InAt6,0.4154,0.035
scn-8877,HfTc2O5,-2.4112,0.0358
scn-8878,Na3HfNb4O15,-2.797,0.0582
scn-8879,Sr2TaAtO6,-3.1371,0.0277
scn-8880,Pb2F7,-2.2397,0.059
scn-8881,Ca2GaPO6,-2.8156,0.0628
scn-8882,Na2Zr,0.583,0.0543
scn-8883,LiTaSeO5,-2.3282,0.0445
scn-8884,HfFe(PbO3)2,-2.2967,0.047
scn-8885,NaScCoO4,-2.313,0.0382
scn-8886,TaTcNO2,-1.7738,0.0426
scn-8887,Cs2PbF8,-2.3546,0.066
scn-8888,TaGePO5,-2.3556,0.0572
scn-8889,Sb3S4I,-0.5952,0.0218
scn-8890,K7Na2AlNi,0.1873,0.0182
scn-8891,K2CaNi2O7,-1.0581,0.1266
scn-8892,Na13(NbSb)3,0.0628,0.0222
scn-8893,Mg(Se2N)2,0.174,0.0505
scn-8894,LiAlRu2F6,-2.0289,0.1005
scn-8895,ScAl4,-0.274,0.0113
scn-8896,MgTi3(GaO4)2,-2.8771,0.0609
scn-8897,Ti2ClO6,-2.1538,0.1372
scn-8898,Cs2Rb12HfW3,1.0471,0.0595
scn-8899,Sc6Ta2Zn,-0.0151,0.0143
scn-8900,TcBrCl,-0.4741,0.0478
scn-8901,Ca3Ta3(BO6)2,-3.2298,0.0321
scn-8902,HfTlF3,-2.9758,0.0754
scn-8903,Sc(ClF2)3,-2.0216,0.1359
scn-8904,NbTl2GaO6,-2.115,0.0358
scn-8905,MgCuF4,-2.727,0.0298
scn-8906,Ti7Bi5O19,-2.7233,0.0435
scn-8907,SrTiCu7Ge2,-0.1581,0.0121
scn-8908,Ga2SnO6,-1.7823,0.0705
scn-8909,Sr2TaO6F,-2.7102,0.0769
scn-8910,ScPb2SeO6,-1.9198,0.0865
scn-8911,Zr2Mo3O7,-2.1612,0.0726
scn-8912,Ca2MnAlO6,-2.7543,0.0384
scn-8913,Y2Zr,0.0433,0.0173
scn-8914,Rb2NiO6,-0.7135,0.1245
scn-8915,Ba2Sr6TaCr,0.4875,0.0319
scn-8916,ScNbCr2O7,-2.8631,0.0484
scn-8917,Al6Tl2Ge,0.2079,0.0236
scn-8918,Sr3(TaSn4)2,-0.0406,0.3149
scn-8919,TaPt3O4,-1.2519,0.1723
scn-8920,Ca4BiP,-0.8447,0.013
scn-8921,Y3GaPb,-0.4529,0.0434
scn-8922,Al4PbW,0.1087,0.0195
scn-8923,TiGa(BiO3)2,-2.2195,0.0345
scn-8924,Li2CaAt2O7,-2.3924,0.052
scn-8925,Nb4Pb3I13,-0.451,0.0562
scn-8926,Ba3TiNb4Cr15,1.3177,0.2156
scn-8927,Cs7BiPb2,-0.1592,0.0132
scn-8928,CsBr4,-0.7117,0.0314
scn-8929,CaPb(ClO3)2,-0.8374,0.229
scn-8930,ZrAs2O3,-2.0816,0.0407
scn-8931,Sr2Cr7O16,-2.2857,0.0664
scn-8932,Sr5Nb4Cu15,0.1253,0.0172
scn-8933,Fe3GeO8,-1.5868,0.0439
scn-8934,Ta2Zn5,0.0493,0.0233
scn-8935,Sr3Se2O7,-2.0826,0.2189
scn-8936,FePbO4,-1.3178,0.0676
scn-8937,CoMo2WO6,-1.5162,0.0799
scn-8938,Sr2Hf,0.671,0.039
scn-8939,Tl3GeF6,-2.2845,0.0359
scn-8940,BaNa2Ni2O7,-0.8644,0.1341
scn-8941,K2ZnO3,-1.4307,0.0381
scn-8942,Te2I2O9,-1.1173,0.0457
scn-8943,CaY5TaAl,-0.0192,0.0109
scn-8944,TaTl(WO4)2,-2.3044,0.0328
scn-8945,NaLi2O3,-1.3291,0.048
scn-8946,Ca4Ta2In9,-0.0642,0.0154
scn-8947,BaLiCa3,0.0693,0.0121
scn-8948,SrLi2Ca2O7,-2.0606,0.1444
scn-8949,BaSn3F5,-2.5884,0.054
scn-8950,Ca2ScTaRe6,-0.0388,0.0223
scn-8951,Sr5Ta,0.4842,0.0289
scn-8952,Sr3Ta2ZnGa9,-0.263,0.015
scn-8953,Cs2Zr(Cr4W)3,0.812,0.0505
scn-8954,CaMg3In,-0.1427,0.0132
scn-8955,SnRu2F6,-1.6622,0.0598
scn-8956,CaZrTc3,0.0906,0.0446
scn-8957,Ba3CaTiZnO9,-2.6489,0.0387
scn-8958,SrTaIO2,-2.4138,0.0429
scn-8959,Rb3YZn6,0.1405,0.0207
scn-8960,Na7CaTiGe2,0.0027,0.0161
scn-8961,Na4Nb,0.8206,0.0402
scn-8962,CaHfOs3,-0.0371,0.0203
scn-8963,Ca5Ta4Al15,-0.1933,0.0147
scn-8964,Ca2Ti2SnGeO10,-3.0154,0.0261
scn-8965,Na2SrVF8,-3.3345,0.0269
scn-8966,HfSeO3,-2.3446,0.0791
scn-8967,SnAtCl3,-1.252,0.0225
scn-8968,SrTc4O11,-2.1254,0.0277
scn-8969,Fr5Ba2NaO15,-2.2184,0.1885
scn-8970,CaBi4O11,-1.4036,0.0822
scn-8971,NbAl5Bi2F,-0.344,0.0351
scn-8972,BaMgCu4,-0.0269,0.0116
scn-8973,KNbAtO6,-2.4713,0.0698
scn-8974,Cd7BiO19,-0.5637,0.1433
scn-8975,KNaTi4(Ni6Bi)2,0.0011,0.0181
scn-8976,BaOs4O9,-1.5499,0.0763
scn-8977,KCa2BiO6,-2.0413,0.0564
scn-8978,Cs2Sn,0.1719,0.0215
scn-8979,CsY4Sn3O14,-2.8087,0.0763
scn-8980,Ta5Ag2IO15,-2.6415,0.0319
scn-8981,Ta3SeO8,-2.8763,0.0421
scn-8982,CsAtF3,-2.6489,0.0418
scn-8983,K2Ti3Cr2O10,-2.8376,0.0336
scn-8984,ZnHg2F6,-1.8605,0.0399
scn-8985,Ca2TaAsO6,-2.8428,0.0274
scn-8986,LiTa5O10,-2.7793,0.0498
scn-8987,AtCl2,-1.3433,0.025
scn-8988,Mg2Nb3Bi3I14,-0.4794,0.0195
scn-8989,In4SnW,0.3453,0.0233
scn-8990,TiBi2W5,0.2233,0.045
scn-8991,SrZrIr3,-0.6081,0.0156
scn-8992,CsNbCu6W,0.4493,0.0291
scn-8993,K4PbW,0.5697,0.0352
scn-8994,Y3TaOs7,-0.1502,0.0146
scn-8995,KScMn2F6,-2.9592,0.0707
scn-8996,CaH2W2O7,-1.9534,0.1254
scn-8997,Ba4Na2Zn11W2,0.1909,0.0168
scn-8998,NbAtO4,-2.6702,0.0301
scn-8999,Ca3Zr2Al7,-0.2376,0.0611
scn-9000,RbSBr,-1.0669,0.0834
scn-9001,MgTi3Pt2(PbO3)6,-1.8184,0.0693
scn-9002,MgTlCl4,-1.5828,0.0372
scn-9003,ZrTi4(FeO3)5,-2.6975,0.0466
scn-9004,TiGeOs4,0.1263,0.0319
scn-9005,SrTi(PbO3)2,-2.3277,0.0374
scn-9006,Y12Ti3Bi4,-0.3998,0.0138
scn-9007,HfV2PbO8,-2.7006,0.0258
scn-9008,Ba3MgTa2Al9,-0.0652,0.0146
scn-9009,Na2Li2O5,-1.1908,0.0754
scn-9010,NaBi(BrO3)2,-1.0917,0.0518
scn-9011,Na3TaCd4,0.2527,0.022
scn-9012,NaTi2SeO6,-2.6159,0.0545
scn-9013,RbTi2BiO6,-2.8315,0.0425
scn-9014,NbPO3,-2.3066,0.0547
scn-9015,Ba3CaTa2I9,-1.0929,0.0261
scn-9016,Ta2CrH2O7,-2.3211,0.1558
scn-9017,Sr2TaInI6,-0.8867,0.026
scn-9018,Ba3TiNbO9,-2.9627,0.0652
scn-9019,Ti4GeBiPb4O15,-2.5111,0.0354
scn-9020,LiCa4Nb,0.3157,0.0269
scn-9021,ClF4,-1.0249,0.0717
scn-9022,Na7(CaNb)2,0.3833,0.0486
scn-9023,K2Bi2O7,-1.3787,0.1105
scn-9024,YCu2BiO8,-1.5606,0.0364
scn-9025,NaScF3,-3.3623,0.0557
scn-9026,Sn3P7O20,-2.3105,0.0487
scn-9027,Sr3Zr2(AtO6)2,-3.1135,0.0293
scn-9028,SrZrPb3,-0.2023,0.0117
scn-9029,Ba6Ta2Pb,0.3642,0.0253
scn-9030,Sr2InClO6,-1.683,0.1015
scn-9031,Ta2Cr6Cd,0.2064,0.0331
scn-9032,Rb2As3F5,-2.0929,0.0299
scn-9033,WF2,-0.8763,0.169
scn-9034,Ta6Tc4O19,-2.6132,0.0516
scn-9035,Hf2TiO4,-3.0208,0.0614
scn-9036,NaTl2GeF6,-2.4683,0.0325
scn-9037,K3Ca2O8,-1.5416,0.0774
scn-9038,Rb2NaInOF5,-2.4989,0.0481
scn-9039,FrSr2TaO6,-3.4104,0.0368
scn-9040,CaTaMoO5,-2.9306,0.0275
scn-9041,KSc5TaTi,0.3647,0.02
scn-9042,FrNb3O8,-3.0369,0.0361
scn-9043,Ba7Ti2Ge4O21,-2.9586,0.0287
scn-9044,In2Bi2O7,-1.6086,0.0827
scn-9045,CsRb6TaW,0.9604,0.045
scn-9046,TiTlIO5F,-1.9716,0.0501
scn-9047,Na2Sr2O5,-1.8596,0.0691
scn-9048,RbTi3NbZn9,-0.0278,0.024
scn-9049,KNaTaReO5,-2.4747,0.0271
scn-9050,Hf2Al2O7,-3.3527,0.1779
scn-9051,LiTa3Cr4O12,-2.7012,0.0351
scn-9052,Hf2Cr2O7,-3.206,0.1402
scn-9053,AtS,-0.9482,0.0783
scn-9054,Nb4Al13Pb3,-0.0194,0.0294
scn-9055,TaSn2F3,-1.6103,0.071
scn-9056,Cs7Na2AlZn,0.1853,0.0534
scn-9057,Y6Tl2Sn,-0.399,0.0069
scn-9058,Cr9(Br5O2)2,-0.9535,0.1668
scn-9059,Cs2YIrF6,-2.902,0.0263
scn-9060,NaTiCr2OF5,-2.7842,0.0539
scn-9061,SbP4,0.1141,0.0586
scn-9062,Ca2Si2PbO7,-3.1181,0.0297
scn-9063,KTa2RuO7,-2.6974,0.0372
scn-9064,BaPbF4,-3.3363,0.0478
scn-9065,Rb2HfGaOF5,-3.2058,0.0358
scn-9066,NbRuWO6,-2.1396,0.0621
scn-9067,Li7CdOF7,-2.8603,0.0408
scn-9068,SnBrO4,-0.6978,0.1245
scn-9069,CaPb8Br9O4,-1.3123,0.0193
scn-9070,K3ZrGaF5,-2.6673,0.048
scn-9071,Ti5V4O12,-2.773,0.0607
scn-9072,Sr2CaNO6,-2.5702,0.1324
scn-9073,NaCa2HfOF5,-3.4442,0.046
scn-9074,Ba5At4O15,-2.8239,0.0298
scn-9075,Sr2Pb2O7,-1.7828,0.089
scn-9076,RbMgGeF6,-3.1574,0.0309
scn-9077,Sr2Al6CdW,-0.0814,0.0154
scn-9078,Tl2PbO6,-0.7778,0.1188
scn-9079,KRb2ZrAl5O,-0.1587,0.0403
scn-9080,K2NaCaZrF5,-2.9234,0.0453
scn-9081,Ca2MgCrF7,-3.6073,0.0533
scn-9082,Cs2Ta3TiO12,-3.0669,0.1533
scn-9083,Ba3In2O8,-2.1076,0.0386
scn-9084,Cs2Na12HfW3,1.0132,0.0488
scn-9085,Ba4N2O9,-2.2623,0.0843
scn-9086,Ba3Nb2TeO9,-3.0052,0.0262
scn-9087,SrTa2NO6F,-2.671,0.0591
scn-9088,NaMg2CdF7,-3.302,0.0313
scn-9089,Mo12Pb7Cl2,0.2258,0.086
scn-9090,RbTaNO2,-2.1223,0.044
scn-9091,VPO2,-1.7568,0.0589
scn-9092,CoBiF4,-2.4345,0.0331
scn-9093,RbOs3F10,-2.3973,0.0711
scn-9094,TaRuO3,-2.2047,0.0667
scn-9095,RbSr2YO6,-2.2749,0.061
scn-9096,TlV2CuO8,-1.5912,0.0564
scn-9097,Sr2NbSO6,-2.7937,0.0435
scn-9098,TaIn5As,0.1698,0.0225
scn-9099,TaGePO5,-2.3956,0.0578
scn-9100,Nb3AgAu8,-0.0785,0.0179
scn-9101,Sr2TaReO6,-2.8947,0.0296
scn-9102,Ba4Bi2O11,-1.9646,0.0787
scn-9103,Cs2ScSn5PbO,-0.5426,0.0176
scn-9104,Pt3IF5,-1.121,0.0555
scn-9105,Ca3TlGe,-0.4336,0.0102
scn-9106,Sr2YTcO6,-2.9917,0.0257
scn-9107,RbBiF,-1.7857,0.0317
scn-9108,Ti3Bi2(WO6)2,-2.2515,0.0513
scn-9109,Cs2Tl2S3,-0.962,0.0209
scn-9110,CsTl2InGa6,-0.0032,0.0138
scn-9111,Tl2GeTe,0.0609,0.047
scn-9112,Cs4Ba3HfO15,-1.5602,0.314
scn-9113,PoO2,-2.5266,0.0593
scn-9114,Cs2Ti3ZnO8,-3.022,0.0327
scn-9115,TiPO3,-2.4879,0.057
scn-9116,ZrSb2O3,-2.1749,0.0438
scn-9117,Ca2TaCd6Ga,0.0044,0.0132
scn-9118,LiCaTaO5,-2.7596,0.0419
scn-9119,SeSO3,-0.8981,0.1905
scn-9120,CoSi2Bi2O7,-2.3354,0.0645
scn-9121,BaV2P2O11,-2.7375,0.0318
scn-9122,TaCr2FeO6,-2.0686,0.2003
