material_id,formula,e_form_pred_n0,e_form_ale_n0
scn-122,KRb2Ca6Sc,0.295,0.0173
scn-123,TaNb2CrO6,-2.6409,0.0615
scn-124,Ba3NaTiWO9,-2.9612,0.0239
scn-125,NbAsO3,-2.2674,0.0374
scn-126,Sr2Mg6ScTa,0.224,0.0163
scn-127,Ti4W2O9,-2.6682,0.0513
scn-128,Sr3(Mg4Ta)2,0.3343,0.0252
scn-129,Na2Mg2O5,-1.6351,0.0798
scn-130,Ca7(ScGe)2,-0.318,0.0313
scn-131,SrCa(Mg3Nb)4,0.2522,0.0228
scn-132,TlSb3F10,-2.6829,0.0591
scn-133,Mg3GaPb,-0.0627,0.0119
scn-134,Na6MnPb2,0.1122,0.0265
scn-135,Sr(TaAl3)2,-0.1537,0.0127
scn-136,Mg6TiZnBi2,0.009,0.017
scn-137,Li2CaMg7Ta2,0.2409,0.017
scn-138,Ra4Pb3O13,-2.5665,0.0539
scn-139,Mg6Tl2Sn,-0.0368,0.0139
scn-140,K2O5,-0.6867,0.1203
scn-141,CsBa2NbO6,-2.6096,0.0384
scn-142,RbTl2AsF6,-2.3535,0.025
scn-143,Y(Mg3Ta)3,0.2319,0.0195
scn-144,LiBi4Pt3O14,-1.2891,0.0423
scn-145,Ta3RhO9,-2.889,0.0374
scn-146,BiW2F7,-1.6582,0.0782
scn-147,CsBiBr3,-1.1901,0.0331
scn-148,NaCaTaTiCl6,-1.8496,0.0307
scn-149,CaMg6Ti2Pb,0.1649,0.0257
scn-150,Ba3Mg9Ta2Zn,0.2553,0.0231
scn-151,Mg7Ti3Pb,0.1058,0.0207
scn-152,Mg7Pb4I,-0.1826,0.0162
scn-153,Sr2Ca6ScTa,0.3455,0.0206
scn-154,Ba2Mg6TaCr,0.3872,0.0221
scn-155,Li2CaTa2Al7,-0.0816,0.0241
scn-156,Ni3SnO4,-1.0195,0.1078
scn-157,LiNbIn6W,0.1247,0.0205
scn-158,Ca(ReO3)2,-2.4676,0.0262
scn-159,Al3PPb3O4,-1.5368,0.0918
scn-160,CaMg7ZrSn2,-0.121,0.013
scn-161,SrTa6Nb2(Bi2O9)3,-2.667,0.0389
scn-162,Sr2Cu7O16,-0.7741,0.1339
scn-163,Ca(WO3)2,-2.4525,0.0376
scn-164,Sr5Cl4O15,-1.4415,0.3203
scn-165,Mg8Ti3Ge,0.0976,0.0223
scn-166,Ta3GeO9,-3.0107,0.0361
scn-167,Mg5MoPb2,0.1673,0.0368
