material_id,formula,diel_ionic_pred_n0,diel_ionic_ale_n0,diel_ionic_target
mp-753261,Li5MnCr3O8,9.4144,0.442,0.0
mp-753415,LiFe2(PO4)2,8.1965,1.9151,0.0
mp-753453,Li2TiCo2O5,10.7561,0.4501,0.0
mp-753457,Li4Mn3OF11,4.3182,0.1551,0.0
mp-753470,Li4VCo3O8,7.3194,1.078,0.0
mp-753622,VOF,6.2345,0.3872,0.0
mp-753648,LiFe2(PO4)2,3.6642,0.3295,0.0
mp-753664,V4P2O13,13.4603,1.8099,0.0
mp-753864,Sr2Li2Nb4O13,60.0541,7.2338,0.0
mp-754024,LiTi2V3O10,26.1957,1.617,0.0
mp-754034,Li2TlPCO7,7.8619,0.5733,0.0
mp-754347,LiVBO4,9.598,0.7318,0.0
mp-754451,V5O12,10.0354,1.7438,0.0
mp-754554,Li5Fe2P2(CO7)2,8.1808,1.4389,0.0
mp-754652,V4O7F5,9.5997,0.9567,0.0
mp-754935,Li2V3CrO8,14.9475,0.6583,0.0
mp-755023,Mg2Mn3O8,6.5583,0.2266,0.0
mp-755054,Ti3N2O3,40.6703,2.6798,0.0
mp-755385,Fe3OF5,6.5398,0.3467,0.0
mp-755473,Li3VCr3O8,12.5645,1.0092,0.0
mp-755580,VGaO3,13.9198,0.7054,0.0
mp-755587,V2O3F,5.4906,0.2416,0.0
mp-755825,Li5MnO4,9.2879,2.1326,0.0
mp-756000,Fe6O5F7,7.8027,0.4097,0.0
mp-756151,Li4Cr5WO12,8.9149,0.3425,0.0
mp-756497,LiFeO2,10.7246,0.5796,0.0
mp-756675,Li5Fe3(SnO5)2,10.6795,0.7489,0.0
mp-757054,LiCrPO5,3.1292,0.2,0.0
mp-757064,TiMn5O12,11.3048,0.5313,0.0
mp-757342,LiCrPO4,6.1969,0.2876,0.0
mp-757813,LiCoSbO4,7.139,0.2822,0.0
mp-757868,K2Li3CoO4,6.3503,0.3368,0.0
mp-758336,Li3VP3O11,5.9293,0.647,0.0
mp-758587,Li2CuPO4,5.0403,0.211,0.0
mp-758590,MnV4O12,21.7418,2.7685,0.0
mp-758907,CrH18I7N6,2.9017,0.1518,0.0
mp-759041,Li4Ti2Fe3O10,16.0059,0.6777,0.0
mp-759046,LiFe(PO3)4,3.2748,0.1986,0.0
mp-759241,Li4Fe7O12,10.9672,0.4738,0.0
mp-759317,Na3NiO2,4.7286,0.1367,0.0
mp-759472,LiCu(HO)4,3.851,0.1876,0.0
mp-759621,LiV2O3F,18.4867,1.0664,0.0
mp-759895,LiFe2(BO3)2,6.4935,0.3849,0.0
mp-759925,Zn2Hg2H2Se2O11,7.1888,0.3109,0.0
mp-760186,LiVCrP2(HO5)2,6.9832,1.509,0.0
mp-760257,LiFe2(BO3)2,6.4935,0.3849,0.0
mp-760268,Li5Fe8(BO3)8,5.8834,0.3532,0.0
mp-760310,LiFe2(BO3)2,6.4935,0.3849,0.0
mp-760327,Na6NiO4,7.7175,0.298,0.0
mp-760350,LiCo5O3F5,6.3246,0.2348,0.0
mp-760801,LiVOF2,10.1491,0.3661,0.0
mp-761213,Li3Fe8(BO3)8,7.0557,0.4112,0.0
mp-761221,LiFe2(BO3)2,6.4935,0.3849,0.0
mp-761270,Li9Cr5O12,9.5553,0.5635,0.0
mp-762880,LiCoSiO4,3.9792,0.3086,0.0
mp-763169,V2(OF)3,8.2556,0.5388,0.0
mp-763549,LiMn(CO3)2,12.1496,2.5834,0.0
mp-764645,Li3MnF7,5.6204,0.579,0.0
mp-764879,V4(OF3)3,6.9918,0.3975,0.0
mp-765575,Li7Fe7SiO16,10.0199,0.4817,0.0
mp-765576,LiSi4NiO10,2.9464,0.4132,0.0
mp-766379,Li4V2Si3O10,4.9523,0.3142,0.0
mp-766466,Li2Mn(BO3)2,3.5513,0.2299,0.0
mp-768139,Li8Sb2S,6.7328,0.2019,0.0
mp-768208,Li3SbS4,7.0877,0.5281,0.0
mp-768375,CrFe5(PO4)6,9.2937,0.5517,0.0
mp-768418,Li3Mn(BO3)2,4.22,0.2461,0.0
mp-768429,LiMnB2O5,3.9174,0.1824,0.0
mp-768685,Rb5FeO4,9.8438,0.4889,0.0
mp-768722,Li5Fe2P2(CO7)2,7.556,0.6811,0.0
mp-769032,Li3NbS4,7.3298,0.7462,0.0
mp-769519,Li21(FeO4)4,7.3712,0.5527,0.0
mp-769572,LiAlVO4,5.2002,0.3284,0.0
mp-769606,LiZn4Fe13O24,9.9602,0.4698,0.0
mp-770138,Li5Fe2P2(CO7)2,4.8579,0.531,0.0
mp-770394,Na5Fe2P2(CO7)2,5.0666,0.2914,0.0
mp-770500,Na6Mn2B4SO16,4.0247,0.1957,0.0
mp-770506,V5BO9,27.1686,2.4112,0.0
mp-770765,Na3MnBAsO7,5.4325,0.1721,0.0
mp-770849,VCrO3,6.874,0.3554,0.0
mp-770855,VCrO3,8.5705,0.5971,0.0
mp-770879,Fe5Co(PO4)6,8.3663,0.4855,0.0
mp-770904,Li3Mn(BO3)2,5.8891,0.3021,0.0
mp-771209,Li7Cr3(WO8)2,18.3072,2.5574,0.0
mp-771267,LiZnFe7O12,9.3416,0.4072,0.0
mp-771566,Lu2TeO6,9.5824,0.3939,0.0
mp-773197,Li2Cr4O13,5.1673,0.3638,0.0
mp-773516,Li3NiO3,8.4398,0.6541,0.0
mp-773636,Fe19(SiO4)12,6.5111,0.3232,0.0
mp-774472,PrSO,10.4542,0.4027,0.0
mp-774900,Li4V2Ni3Sn3O16,11.9351,1.9713,0.0
mp-775869,Li4Cr5SbO12,8.1914,0.322,0.0
mp-776090,VOF,7.3054,0.5551,0.0
mp-776100,Ti5Mn3O16,24.2013,1.7354,0.0
mp-776538,V4O7F5,9.8979,0.8424,0.0
mp-777543,Fe5O3F7,6.3828,0.2821,0.0
mp-777569,Ta2CrNO5,21.509,1.1993,0.0
mp-778231,Na8Co2O7,5.3229,0.2152,0.0
mp-779227,Li24Ti11CrO36,19.2758,0.8846,0.0
mp-779364,Li2CoBO4,5.7981,0.2302,0.0
mp-779449,LiVP2HO8,9.794,3.6753,0.0
mp-779703,Na4Sn5O12,8.3975,0.3727,0.0
mp-779746,Li4V3Fe2Sn3O16,6.8645,0.5868,0.0
mp-780129,Fe2OF3,6.2446,0.2378,0.0
mp-780496,Fe3OF5,6.8411,0.2533,0.0
mp-780630,LiVP2HO8,9.794,3.6753,0.0
mp-780775,Sr3Li3Cu3(PO4)4,6.3952,0.3866,0.0
mp-781049,V4OF11,5.3498,0.2315,0.0
mp-849476,Li17Ag12F29,5.0627,0.3469,0.0
mp-849710,Li7Fe8(BO3)8,5.4304,0.3392,0.0
mp-850329,Fe4O3F5,6.8296,0.2269,0.0
mp-850359,Li5Fe5(CoO6)2,8.9387,0.267,0.0
mp-850739,Fe3OF5,6.5398,0.3467,0.0
mp-866688,Cs4P2PdSe8,4.9853,0.1556,0.0
mp-867961,Sb16Cl4O21,21.9928,2.6084,0.0
mp-971837,ZnCdTe2,2.8486,0.1451,0.0
mp-976118,HgH6I3NO,3.0328,0.1462,0.0
mp-978846,SnI2,7.8053,1.7938,0.0
mp-989612,LaCrN3,9.4678,0.4536,0.0
mp-989645,YWN3,11.1907,0.3986,0.0
mp-998430,CsInI3,6.2923,0.2085,0.0
mp-999137,SmTlSe2,18.5175,0.57,0.0
mp-999289,PrTlSe2,23.1441,0.767,0.0
mvc-10142,Mg(FeO2)2,7.6285,0.4106,0.0
mvc-10584,CaV3P3O13,11.4853,0.9575,0.0
mvc-11086,V2O5,26.0859,8.0947,0.0
mvc-11726,CaLa2MoO6,17.583,1.1931,0.0
mvc-1323,BaYFe4O7,10.1938,0.3575,0.0
mvc-13330,V3O7,14.6642,0.9957,0.0
mvc-13702,Zn2FeSbO6,8.8999,0.3981,0.0
mvc-14383,CaCr2F12,2.6581,0.2026,0.0
mvc-3034,Mg4Co5(TeO6)3,9.1765,0.8435,0.0
mvc-4373,Ca2TaMoO6,28.5443,1.8203,0.0
mvc-5096,WO3,14.4411,2.905,0.0
mvc-5676,TeWO6,5.7757,0.608,0.0
mvc-8300,ZnNiMoP2O9,6.5456,0.3331,0.0
mvc-8433,CaGe2WO6,11.6246,0.9753,0.0
mvc-9196,MgTiV(PO4)3,9.362,0.558,0.0
mp-1012678,NaMo3P3O13,6.7635,0.4285,0.0
mp-1013850,LiV2P2O9,9.0644,0.9383,0.0
mp-1024049,Na2Zn2Se3,6.274,0.264,0.0
mp-1036766,SrMg30VO32,10.502,0.6714,0.0
mp-1064497,SnS,12.2724,0.8507,0.0
mp-1066791,TmTlS2,19.7207,0.6841,0.0
mp-1076335,K5Na3Nb8O24,31.6388,5.1647,0.0
mp-1076363,K5Na3TaNb7O24,20.0579,1.1802,0.0
mp-1076512,K5Na3Ta3Nb5O24,29.9749,1.927,0.0
mp-1079673,ThSe3,9.1988,0.3329,0.0
mp-1080460,Mo(BrO)2,5.5945,1.3311,0.0
mp-1080730,Sr2ZrMnO6,24.4753,1.0993,0.0
mp-1084840,TiZn(BiO3)2,20.8461,0.9404,0.0
mp-1094109,Na6MnNi3(SbO6)2,10.3478,0.5028,0.0
mp-1099712,K5Na3Ta2Nb6O24,29.9672,2.1183,0.0
mp-1101213,VNi(PO4)2,9.0421,0.8919,0.0
mp-1101257,Tm2Pt2O7,8.2815,0.3293,0.0
mp-1101381,SbOF3,3.8209,0.3457,0.0
mp-1103169,NaAgO,5.7985,0.2338,0.0
mp-1105213,ErTl(PSe3)2,13.0876,0.8362,0.0
mp-1105484,Sm3FeO6,11.9866,0.7387,0.0
mp-1105722,CeTi2O6,14.6418,0.7382,0.0
mp-1105780,Bi2O3,21.2499,1.1978,0.0
mp-1111637,K2NaMoBr6,10.1544,1.1916,0.0
mp-1111950,K2AgRhF6,6.6954,0.3239,0.0
mp-1112009,Cs2NaMoBr6,8.0138,0.4686,0.0
mp-1112104,K2AlAgBr6,11.6932,0.6715,0.0
mp-1112896,Cs2AlInI6,7.8991,0.3445,0.0
mp-1113577,Cs2AlAgBr6,12.3856,1.6725,0.0
mp-1113622,Cs2AgIrF6,5.0116,0.2161,0.0
mp-1113743,Rb2AlAgBr6,15.1073,2.5403,0.0
mp-1113876,Rb2AgRhF6,5.2189,0.1969,0.0
mp-1114445,Rb2NaMoBr6,9.4623,1.7978,0.0
mp-1172828,WO3,20.2761,4.9854,0.0
mp-1173213,Sr4Nb2O9,31.4973,1.103,0.0
mp-1173734,NaCa3Fe4(SiO3)8,6.4707,0.6992,0.0
mp-1174383,Li5Mn2CoO8,10.8032,2.1052,0.0
mp-1174425,Li4MnCo2O7,7.5581,0.3191,0.0
mp-1174434,Li4MnCo2O7,7.5581,0.3192,0.0
mp-1174506,Li7Mn2(CoO4)3,9.3131,0.3625,0.0
mp-1175691,Li9Mn2Co5O16,7.761,0.6931,0.0
mp-1175786,Li9Mn2Co5O16,7.761,0.6931,0.0
mp-1175903,Li9Mn2Co5O16,7.761,0.6931,0.0
mp-1176255,Li9Mn2Co5O16,9.0256,0.3307,0.0
mp-1176286,Li9Mn2Co5O16,8.7463,0.2868,0.0
mp-1176552,LiV2O2F3,3.9588,0.135,0.0
mp-1177243,Li4TiFe3O8,4.705,0.293,0.0
mp-1177277,Li4TiV4(Fe2O9)2,14.939,1.2085,0.0
mp-1177371,Li4V3CrO8,6.6842,0.3886,0.0
mp-1177514,Li3V2(NiO4)2,14.6184,0.8254,0.0
mp-1177782,Li2VFe3O8,12.9536,0.7375,0.0
mp-1177850,Li2TiCoO4,8.1883,0.2901,0.0
mp-1178228,FeOF,10.2027,0.6422,0.0
mp-1178771,YCu(WO4)2,18.7197,1.0089,0.0
mp-1180577,Na3Np(HO3)2,12.329,1.3899,0.0
mp-1181628,DyCu(WO4)2,18.3329,1.0351,0.0
mp-1181782,CuReO4,2.125,0.3176,0.0
mp-1184273,EuBr2,4.4101,0.2868,0.0
mp-1188316,Bi2O3,20.2529,0.8881,0.0
mp-1190152,SrHgAs2O7,8.2614,0.4,0.0
mp-1190257,GeSe2,3.0333,0.3145,0.0
mp-1190476,Na2Zn(GeSe3)2,7.634,0.4215,0.0
mp-1190517,BaNp(HO2)3,4.9027,0.2629,0.0
mp-1190524,TlInHgS3,17.0276,1.2367,0.0
mp-1190796,La3LuBeS7,12.6364,0.5209,0.0
mp-1191072,BaGa4Se7,5.0891,0.1442,0.0
mp-1191238,CsSm2Cu3Se5,8.1067,0.1941,0.0
mp-1191568,La3BeSbS7,13.9485,0.5381,0.0
mp-1192137,Er2TlCu3S5,13.4656,0.6849,0.0
mp-1192182,Sr2LiH2N,8.4296,0.223,0.0
mp-1192357,Sr3LiAs2H,9.5359,0.2595,0.0
mp-1192415,Yb(TmS2)2,10.017,0.4075,0.0
mp-1192564,Mg2GeSe4,4.8304,0.2759,0.0
mp-1192685,ZnH6(Se2N)2,3.1002,0.2573,0.0
mp-1193100,Sr(YSe2)2,8.7798,0.2588,0.0
mp-1193732,Te2PdPb2(ClO3)2,16.9832,1.3545,0.0
mp-1193745,CeAsO4F,10.7544,0.3672,0.0
mp-1193944,Tm2S3,10.7293,0.5313,0.0
mp-1194551,BaGe4(RhS3)2,7.0552,0.2786,0.0
mp-1194553,Hg5(SeO4)2,7.7575,0.7956,0.0
mp-1194686,As4(Pb3S5)3,27.8626,2.3207,0.0
mp-1194826,K2CdSnS4,9.0108,0.699,0.0
mp-1195232,Eu(BH4)2,5.3077,0.2022,0.0
mp-1195667,Cs2MgGe3Se8,4.933,0.1227,0.0
mp-1195865,Ce2Te4Cl2O11,18.388,0.7931,0.0
mp-1195982,La2ThS5,24.9473,1.2651,0.0
mp-1196151,InHg7S6Cl5,9.4249,0.5996,0.0
mp-1196909,MgFe2BO5,8.3177,0.4054,0.0
mp-1196964,Ba3Al3P5,7.0405,0.318,0.0
mp-1197610,Na3Np(H3O4)2,6.6779,0.4245,0.0
mp-1198841,NbBi4BrO8,31.8105,1.3967,0.0
mp-1199631,NaCaAlOF6,4.8806,0.2281,0.0
mp-1199840,Cs5As(PSe3)4,4.3358,0.1258,0.0
mp-1199919,K2MnP2H2(O4F)2,4.6972,0.202,0.0
mp-1201395,Tb4Te3N2,9.0638,0.2212,0.0
mp-1201600,In2BiSe4I,31.88,7.1946,0.0
mp-1202223,WO3,24.9849,6.5386,0.0
mp-1202411,Fe2PHO3F2,8.0109,0.3937,0.0
mp-1203724,Na3LaMn3(AsO5)3,7.9744,0.2952,0.0
mp-1204773,Ba6Sn7S20,11.2232,0.664,0.0
mp-1207476,Zn7P10,3.2489,0.2934,0.0
mp-1208398,Tl2(SeO4)3,13.5303,1.2266,0.0
mp-1208762,Sr2MnTeO6,11.105,0.5086,0.0
mp-1208816,Sr3CaCN4,12.481,0.2323,0.0
mp-1209298,RbP15,1.7449,0.2276,0.0
mp-1209632,PrCu(WO4)2,16.1455,0.6944,0.0
mp-1209762,SbTe2SeF6,7.2737,0.2631,0.0
mp-1210389,Na3Zn2(MoO4)3,11.1095,0.6586,0.0
mp-1210588,MgTeO4,4.8887,0.2097,0.0
mp-1211721,KNb13O33,57.7662,5.8104,0.0
mp-1211855,KYb2Cl7,3.979,0.1906,0.0
mp-1212006,InNiAg2F7,7.7535,0.2964,0.0
mp-1212500,K2NaTi2Fe7Si8H4O31,6.1073,0.3707,0.0
mp-1212730,FeAg(MoO4)2,8.8428,0.6604,0.0
mp-1213723,Cs3IO5,4.1175,0.2364,0.0
mp-1214726,Ba2FeBrO3,13.6073,0.4736,0.0
mp-1215311,ZrNi5(BO5)2,9.8817,0.5531,0.0
mp-1215430,Zn2SeS,6.9018,0.5147,0.0
mp-1215658,ZnFe4CoO8,8.9622,0.4077,0.0
mp-1216366,VFe3(PO4)4,9.2899,0.887,0.0
mp-1217396,ThPbI6,14.7456,1.2401,0.0
mp-1217726,Tb2VFeO6,14.245,0.4746,0.0
mp-1218312,Ta2O5,42.087,2.6375,0.0
mp-1218456,Sr4NbCoO8,26.7023,1.8972,0.0
mp-1218740,Sr2NbCoO6,31.2004,1.3594,0.0
mp-1219381,Sm12Sn(GeS7)4,13.1143,0.9165,0.0
mp-1219447,SbPbIO2,29.0761,3.1039,0.0
mp-1219637,RbNaCa2Nb4O13,32.5258,2.6451,0.0
mp-1219875,Pr3Se2NO,10.8044,0.2623,0.0
mp-1220275,Nd3Se2NO,10.797,0.2923,0.0
mp-1220698,NaZr2SN2Cl,11.3732,0.9401,0.0
mp-1220731,NaLaNb2O7,58.8491,26.2062,0.0
mp-1220737,Na5CuCO5,7.374,0.2441,0.0
mp-1220960,NaAl6Sb7(TeCl3)8,9.9771,0.8782,0.0
mp-1221376,Na2MnFeF7,7.1616,0.4785,0.0
mp-1221457,MoWO6,21.4448,6.6661,0.0
mp-1221785,MnCo2TeO6,16.2765,0.9038,0.0
mp-1221958,MgZn3O4,7.5069,0.472,0.0
mp-1222057,MgFe4CoO8,9.0642,0.4188,0.0
mp-1222141,Mg2TeS,5.0989,0.2384,0.0
mp-1223219,LaCuPbS3,19.9558,0.8134,0.0
mp-1223324,Li2MoO3,8.9187,0.275,0.0
mp-1223468,KTaW2O9,21.3249,1.1667,0.0
mp-1223501,KLaNb2O7,49.2479,3.0296,0.0
mp-1223574,KFeSn3O8,8.3749,0.7707,0.0
mp-1224796,Ga2S3,5.5066,0.3274,0.0
mp-1224936,Fe15O16,7.2145,0.2301,0.0
mp-1225120,Er(CuS)3,5.8876,0.1644,0.0
mp-1225635,Fe4Co(BiO3)5,19.3188,0.9383,0.0
mp-1225973,CsSm2Ti2NbO10,29.0322,2.4773,0.0
mp-1226647,Cr3Si3Pb10(ClO12)2,19.8586,1.2787,0.0
mp-1226868,Cs3Sm7Se12,8.9702,0.3041,0.0
mp-1227495,BaSrPdF6,5.6787,0.241,0.0
mp-1227892,BaNaVS4,12.6401,0.7352,0.0
mp-1228747,Ba6La2Co4O15,13.2484,0.7786,0.0
mp-1228915,CsCoNiF6,16.4959,1.0185,0.0
mp-1229122,Ag2HgI4,3.3057,0.2077,0.0
mp-1229315,Ce2Gd2O7,18.7764,0.7622,0.0
mp-1232109,Er2MgS4,10.5803,0.4655,0.0
mp-1232265,Tm2MgS4,10.4641,0.4369,0.0
mp-1244715,MgBiMoO5,16.923,1.4174,0.0
mp-1246227,Ba5(GeN3)2,11.7161,0.7006,0.0
mp-1246750,NaGeN,4.4768,0.1919,0.0
mp-1248168,Y4Fe13Si2(SbO14)2,14.8043,0.9501,0.0
mp-1253123,AlFe(WO4)2,19.0317,2.6832,0.0
mp-1253612,AlMo(WO4)2,9.4232,1.3037,0.0
mp-1274264,Li2TiFeO4,20.7704,5.8809,0.0
mp-1274975,V3(O2F)2,12.0653,1.8246,0.0
mp-1278188,Li2TiFeO4,9.0797,0.514,0.0
mp-1278875,Li2TiFeO4,9.0797,0.514,0.0
mp-1280709,LiV3Zn2O8,17.2545,1.8071,0.0
mp-1293627,Co3O4,6.6254,0.4518,0.0
mp-1304173,NaV5O8,10.0969,0.6397,0.0
mp-1304444,Li4Fe3CoO8,10.9853,0.5846,0.0
mp-1319959,LiVPO5,8.4681,1.2115,0.0
mp-1322486,Cr3O4,5.375,0.3077,0.0
mp-14439,K5TlO4,8.1723,0.6627,0.0
mp-15046,Sb2(PSe3)3,6.0949,0.6774,0.0
mp-1518043,BaSrGdBiO6,20.744,1.1322,0.0
mp-1519450,KBaCeBiO6,22.5674,1.1021,0.0
mp-1566038,Ca2MnSbO6,11.4578,0.4589,0.0
mp-1569267,Ca5Sc2(CoO6)2,16.1815,0.6885,0.0
mp-1653381,Li4TiCrO6,15.8073,1.6844,0.0
mp-17057,Sr2SnSe3F2,9.8637,0.3131,0.0
mp-17660,SrPrCuSe3,8.4596,0.2337,0.0
mp-18297,Ba3(GaN2)2,19.7167,0.5467,0.0
mp-19135,Ni(PO3)2,3.0357,0.4562,0.0
mp-19164,BaDy2CoO5,14.1157,0.5074,0.0
mp-19431,LiYMo3O8,10.851,0.5184,0.0
mp-1950,SrS2,4.958,0.271,0.0
mp-19517,KVPO5,6.3075,0.9804,0.0
mp-19785,HoFeO3,12.0131,0.5557,0.0
mp-19985,TlIn(PSe3)2,16.9861,2.6432,0.0
mp-20073,TiFeO3,19.4018,0.9363,0.0
mp-20076,KCrF6,4.4055,0.2351,0.0
mp-20361,FePO4,5.1412,0.2651,0.0
mp-20919,Rb3CrF7,7.8312,0.415,0.0
mp-21355,Cr2TeO6,6.11,0.3919,0.0
mp-21541,CaV2P2O9,9.9902,0.5377,0.0
mp-21665,V2CdP2O9,9.4431,0.4827,0.0
mp-21792,Na5CoO4,7.2704,0.4218,0.0
mp-22055,TbMnO3,12.8181,0.6224,0.0
mp-22147,HfPbS3,30.512,0.85,0.0
mp-22203,SmMnO3,13.1,0.7978,0.0
mp-22264,CsSr2Nb3O10,45.2051,4.7615,0.0
mp-2234,Er2S3,10.8038,0.5271,0.0
mp-22621,LaTiAgO4,25.812,6.7102,0.0
mp-22720,RbSr2Nb3O10,43.1274,4.221,0.0
mp-23017,CsCu2Br3,5.4621,0.2115,0.0
mp-23311,EuBr2,6.1628,0.1775,0.0
mp-24426,HgH2SeO5,5.9224,0.2538,0.0
mp-24470,Fe4P3(HO5)3,4.5075,0.2704,0.0
mp-25275,MnO2,5.495,0.2601,0.0
mp-25576,Li(MoO2)2,5.1138,0.3272,0.0
mp-25974,Li3MoP2O9,7.02,0.5225,0.0
mp-26091,LiVPO5,8.4681,1.2115,0.0
mp-26401,LiMoP4O13,7.2255,1.6648,0.0
mp-26861,LiCo(PO3)4,20.2183,24.4226,0.0
mp-27133,BiPS4,6.8114,0.392,0.0
mp-27443,Ba2MnO3,12.9522,0.5294,0.0
mp-28129,Ba(SbS2)2,18.2917,1.8364,0.0
mp-28334,Tl4SiSe4,17.1743,0.9415,0.0
mp-28380,Rb3TlO3,9.5714,1.006,0.0
mp-28444,Fe3(SiO4)2,7.8171,0.4343,0.0
mp-28586,AgXeF9,4.3521,0.3354,0.0
mp-28812,Ag5BiO4,5.4131,0.3853,0.0
mp-29143,Na3VS4,12.094,0.4931,0.0
mp-29249,GeAsSe,5.6258,0.3518,0.0
mp-2951,CdGeO3,9.3791,0.341,0.0
mp-29530,H2WO4,4.8534,0.3183,0.0
mp-29958,Hg7(PO5)2,7.689,0.4004,0.0
mp-30102,BaPdCl4,5.8252,0.184,0.0
mp-31309,RbInSe2,6.7299,0.3474,0.0
mp-31360,K2Ta3Cl9,5.2309,0.2331,0.0
mp-31418,La(SbO3)3,15.4934,0.5832,0.0
mp-31760,Sr2TaFeO6,33.9695,1.3054,0.0
mp-32594,Sm2Se3,14.1098,0.6762,0.0
mp-33631,TiZn2O4,8.9344,0.5133,0.0
mp-36165,Na10Zn4O9,6.4732,0.4148,0.0
mp-36592,Nd5AgSe8,15.8658,0.4589,0.0
mp-38805,Sm5AgSe8,15.5813,0.4815,0.0
mp-4160,Tl3PSe4,15.655,1.6574,0.0
mp-41963,CaLaMnFeO6,12.9694,0.9176,0.0
mp-4431,Ag3AsS3,6.7911,0.3904,0.0
mp-4599,Ce(TeO3)2,12.9402,0.4736,0.0
mp-504854,Na2Li3CoO4,6.51,0.2479,0.0
mp-505141,Cs2SnS14,9.3331,0.9286,0.0
mp-505168,DyCu(WO4)2,11.8347,0.3417,0.0
mp-505396,CsNa3PbO4,6.3238,0.28,0.0
mp-505700,KInSe2,10.6709,0.6711,0.0
mp-505731,Ba2Co(PO4)2,9.706,0.4361,0.0
mp-505814,CsBa2Nb3O10,52.3978,4.0963,0.0
mp-530636,Zn(FeO2)2,7.5157,0.3263,0.0
mp-531689,TiNiO3,28.0004,1.9572,0.0
mp-532650,Ca4Mn3B3CO15,7.3921,0.548,0.0
mp-540728,K2Zn6O7,8.2105,0.4321,0.0
mp-541000,K3As11,4.8349,0.2086,0.0
mp-541507,Sr2VO4,11.9608,0.4395,0.0
mp-541638,K2(ReS2)3,6.3461,0.4744,0.0
mp-542013,Rb4Zr3Se14,8.9734,1.0478,0.0
mp-542078,K2LaP2Se7,6.2724,0.194,0.0
mp-542079,K3La(PSe4)2,5.7998,0.1793,0.0
mp-542164,CsTb2Ag3Se5,8.7698,0.2442,0.0
mp-542233,Rb3As11,5.191,0.2241,0.0
mp-542803,V6Zn3(FeO6)4,15.0357,1.0853,0.0
mp-545847,LuBi2BrO4,20.8252,0.7646,0.0
mp-546082,TmBi2ClO4,21.5248,1.0161,0.0
mp-549127,HoBi2ClO4,22.544,1.1126,0.0
mp-549709,ErBi2ClO4,21.864,1.0413,0.0
mp-551407,CoSeO4,4.1215,0.2436,0.0
mp-552008,DyBi2ClO4,23.0178,1.201,0.0
mp-553248,CsLaNb2O7,37.3169,2.0593,0.0
mp-554129,Br3N(O2F5)2,2.8819,0.351,0.0
mp-555977,Rb2ZnO2,8.6328,0.3782,0.0
mp-555993,CrAg3ClO4,8.8439,0.3816,0.0
mp-5560,Cd3(BO3)2,8.2354,0.4586,0.0
mp-556765,NaFe2(MoO4)3,10.7143,0.8702,0.0
mp-557063,Sm7V(Se2O)4,13.7195,0.8307,0.0
mp-557396,Ag2INO3,8.7892,0.9514,0.0
mp-557615,K3Np(H3O4)2,7.7456,0.3353,0.0
mp-558289,UAg2(SeO4)2,6.8429,0.394,0.0
mp-558338,Tl2CuAsO4,13.02,1.3795,0.0
mp-559112,K2Zn6O7,7.0197,0.3297,0.0
mp-559119,IN2O4F5,2.8437,0.3115,0.0
mp-559213,CsIn3O5,14.1291,0.9823,0.0
mp-559387,Mn3V6(FeO6)4,10.0267,0.7064,0.0
mp-560042,AsS3(NF3)2,1.3777,0.2403,0.0
mp-560214,MoPCl8O,1.011,0.3,0.0
mp-560845,Cu2As4S3Cl2,2.1545,0.254,0.0
mp-561127,K2Ce(NO3)6,4.6031,0.316,0.0
mp-561382,NbBi4BrO8,27.2836,1.3815,0.0
mp-561454,KAu(SO4)2,5.2833,0.2667,0.0
mp-562076,Nb2Co(P2O7)3,10.7372,1.0655,0.0
mp-562364,Cr2Ag2O7,7.3273,0.4555,0.0
mp-562541,Cs2Na3TlO4,8.0267,0.8515,0.0
mp-562762,Ba2CoSe2(ClO3)2,9.7261,0.5049,0.0
mp-562779,ErCoO3,9.143,0.3915,0.0
mp-569128,SiB3,7.8518,0.6281,0.0
mp-569879,Cs2Ta6PbCl18,6.6881,0.2435,0.0
mp-569890,CrCl3,7.0711,0.9614,0.0
mp-570799,EuI2,6.1222,0.387,0.0
mp-572131,SbS8Cl5O,1.6158,0.3041,0.0
mp-572546,CsRe(Cl2O)2,4.3016,0.2779,0.0
mp-583213,HgI2,9.0603,0.5569,0.0
mp-619279,In2PbS4,23.8708,1.3001,0.0
mp-626647,TlHO,11.8368,0.5364,0.0
mp-626913,V3(HO4)2,15.4468,2.0311,0.0
mp-627606,V3(H3O5)2,6.2429,1.2886,0.0
mp-636813,Pb3O4,18.5247,1.1752,0.0
mp-639662,CrF5,2.4522,0.1588,0.0
mp-641117,La5Ti4FeO17,27.7729,0.7629,0.0
mp-643071,Yb4Mg4Fe3H22,10.3421,0.2367,0.0
mp-645663,Te2Mo3Se7Br10,4.9079,0.3551,0.0
mp-649982,Sb8(Pb3S7)3,43.3482,2.1578,0.0
mp-654129,GaAg(PSe3)2,5.5822,0.5086,0.0
mp-669564,CsRe6S8Br3,1.4764,0.2879,0.0
mp-675678,Nd4Ag2Se7,13.6818,0.4698,0.0
mp-677611,TlAgAs2PbS5,26.8858,2.7373,0.0
mp-679999,Re3(SeCl)7,1.602,0.1682,0.0
mp-680284,Rb6Ta4S25,6.1308,0.5726,0.0
mp-683929,Cs4Re6C4S9N4,5.0258,0.4014,0.0
mp-683957,Nd4CuTe5(ClO5)3,11.2544,0.4927,0.0
mp-684872,Ba2La3Ti2Cr3O15,16.1067,0.8621,0.0
