material_id,formula,diel_total_pred_n0,diel_total_ale_n0,diel_total_target
mp-758415,LiCuPO4,10.7489,0.6988,0.0
mp-1209458,Sm2Sn3(PbS4)3,29.0584,2.1024,0.0
mp-1190952,TbPS,18.5787,0.5625,0.0
mp-36600,Ag3SBr,13.6612,0.5066,0.0
mp-1018033,AgRhO2,14.5803,0.6232,0.0
mp-1175803,Li9Mn2Co5O16,20.9336,2.8876,0.0
mp-1103098,BiRhS,42.7644,0.933,0.0
mp-504357,Cr4(PO4)3,7.914,0.3559,0.0
mp-634977,Cs3Fe2Cl9,9.6264,0.4723,0.0
mp-1100861,V16Bi3O32,22.6706,0.9532,0.0
mp-1216113,Y4MnS7,19.6183,0.5054,0.0
mp-29582,Li2CrCl4,12.5573,1.1861,0.0
mp-1188648,Y6NiBr10,10.3537,0.4477,0.0
mp-572807,NdCu3Se2ClO8,11.4399,0.5452,0.0
mp-1315204,Li5Ti2V3O10,27.1223,2.2585,0.0
mp-1096549,SiGe,29.9663,1.5623,0.0
mp-21390,La2InCuSe5,19.3469,0.903,0.0
mp-567322,KSm2Sb3Se8,31.2036,1.0386,0.0
mp-29394,Gd2CCl2,18.5147,0.5285,0.0
mp-1173916,Li2MnCoO4,14.1728,0.5776,0.0
mp-36884,Mn2SnO4,11.6703,0.3647,0.0
mp-759279,Li9Cr4(BO3)8,8.187,0.3691,0.0
mp-776297,Li4Ti5Co3O16,35.3385,2.9349,0.0
mp-698206,Ba5Re3O16,33.93,14.293,0.0
mp-1214391,BaNpO4,15.0203,0.4898,0.0
mp-1177602,Li3MnV(PO4)3,9.5571,1.0773,0.0
mvc-10396,BaCaAgF7,11.5616,5.9996,0.0
mp-1205761,K2PdBr6,16.1076,0.5617,0.0
mp-761163,Na2(NiO2)7,12.9837,0.7964,0.0
mp-561375,Pr10S19,22.7221,0.7736,0.0
mp-530444,MgMn2O4,14.4849,0.5974,0.0
mp-752796,Li4Ti2Mn3O10,20.3638,1.9069,0.0
mp-1202554,K3(TcCl4)2,9.3801,0.6901,0.0
mp-752894,Li3Co2(SiO4)2,8.4945,0.555,0.0
mp-771669,Li5Mn5O12,15.7934,0.5951,0.0
mp-1173299,Sm2EuSe4,24.9201,0.7425,0.0
mp-1112655,Cs3CeCl6,9.263,0.4089,0.0
mp-556560,MnF3,6.3663,0.3202,0.0
mp-1260750,MgCu(SiO3)2,8.6067,0.3725,0.0
mvc-6329,Ca(CuO2)2,10.9679,0.3971,0.0
mp-710070,K5Ce2H2S6O25,6.4741,0.3344,0.0
mp-996997,LiAgO2,10.6779,0.4799,0.0
mp-1213063,CsTbMnSe3,12.2747,0.4747,0.0
mp-1176188,Li9Mn2Co5O16,20.9336,2.8876,0.0
mp-1030447,Te3Mo2Se,11.0912,1.5691,0.0
mp-867323,Pr3MnAlS7,19.7746,0.9293,0.0
mp-1206719,NdNiBi,27.481,0.4067,0.0
mp-531804,Li9Mn15O32,18.7722,9.3309,0.0
mp-1219319,Sm2CoNiO6,16.7681,0.5723,0.0
mp-776451,Li2MnVP2(HO5)2,8.6483,0.4862,0.0
mp-628773,SnSe,34.1654,1.8416,0.0
mp-755519,Li3MnCr3O8,14.3162,0.5607,0.0
mp-755672,Li4Ni5SnO12,13.0297,0.5942,0.0
mp-1224839,Ga2HgTe4,17.3767,0.683,0.0
mp-1213649,CsHoMnSe3,12.1551,0.462,0.0
mp-616255,In2Sn3S7,23.4696,0.8386,0.0
mp-1190046,Sb2Au(XeF6)2,5.3232,0.315,0.0
mp-777608,V6O7F5,15.132,0.8439,0.0
mp-1199033,K2TcCl5O,7.4197,0.4043,0.0
mp-1640232,Li7Mn4CoO12,16.3243,0.5882,0.0
mp-1025626,Te4Mo2WSe2,5.79,0.9366,0.0
mp-752556,KCoO2,11.4239,0.4085,0.0
mp-1174365,Li7Co5O12,14.8299,0.6686,0.0
mp-966800,InP,18.4064,0.7695,0.0
mp-12046,Rb3Na(RuO4)2,6.5316,0.8238,0.0
mp-19111,NaV2O5,10.2959,0.5293,0.0
mp-1213650,CsErMnSe3,12.2388,0.4699,0.0
mp-1103685,Rb(MoSe)3,13.9592,0.9206,0.0
mp-1201824,TbCrO5,12.3149,0.6095,0.0
mp-755653,LiFeF5,12.5947,1.9034,0.0
mp-1175910,Li9Mn2Co5O16,20.9336,2.8876,0.0
mp-1197843,Ca5(SiO5)2,14.0494,0.9896,0.0
mp-30027,RbCrCl3,8.0439,0.3107,0.0
mp-1519089,KNdEuWO6,8.699,0.3045,0.0
mp-1274148,CrBiO4,14.9215,0.8877,0.0
mp-1176199,Li9Mn2Co5O16,20.9336,2.8876,0.0
mp-704992,RbCoO2,10.7369,0.373,0.0
mp-1518032,BaCaInBiO6,18.2736,0.9857,0.0
mp-1224861,Ga2CuAgTe4,14.9337,0.4691,0.0
mp-755614,CoBiO4,19.155,1.2839,0.0
mp-850288,V3(O2F)2,15.2208,0.7703,0.0
mp-775374,Li3MnV(PO4)3,9.5571,1.0773,0.0
mp-1200763,CrCuPPb2O9,42.0825,4.0756,0.0
