Bi2Zr2O7,,CsTaTeO6,
Wavelength (nm),%R,Wavelength (nm),%R
1825,92.50919342,1825,75.23712921
1824,92.51696777,1824,75.24238586
1823,92.50759888,1823,75.23298645
1822,92.51245117,1822,75.21592712
1821,92.49000549,1821,75.20020294
1820,92.49596405,1820,75.21799469
1819,92.4825592,1819,75.1892395
1818,92.48672485,1818,75.1844101
1817,92.47928619,1817,75.16049957
1816,92.48419952,1816,75.16829681
1815,92.47266388,1815,75.16451263
1814,92.48616791,1814,75.15661621
1813,92.46986389,1813,75.13959503
1812,92.47783661,1812,75.14633179
1811,92.45623779,1811,75.12341309
1810,92.46906281,1810,75.12243652
1809,92.47154236,1809,75.11476898
1808,92.47363281,1808,75.10552979
1807,92.46723938,1807,75.09998322
1806,92.46244049,1806,75.09793854
1805,92.46137238,1805,75.0766983
1804,92.45599365,1804,75.06269836
1803,92.45722961,1803,75.07167816
1802,92.4644165,1802,75.07778931
1801,92.45082855,1801,75.05947113
1800,92.44748688,1800,75.05460358
1799,92.44772339,1799,75.04098511
1798,92.4420166,1798,75.02906036
1797,92.45977783,1797,75.03336334
1796,92.44594574,1796,75.02360535
1795,92.46075439,1795,75.02028656
1794,92.44412994,1794,75.00534821
1793,92.44974518,1793,75.00984955
1792,92.4421463,1792,74.994133
1791,92.44748688,1791,74.99576569
1790,92.43658447,1790,74.97444916
1789,92.44901276,1789,74.97998047
1788,92.44909668,1788,74.97348785
1787,92.44577026,1787,74.9701767
1786,92.44573975,1786,74.95513916
1785,92.4352951,1785,74.94416809
1784,92.44256592,1784,74.93231964
1783,92.44042206,1783,74.92370605
1782,92.44692993,1782,74.91985321
1781,92.44111633,1781,74.90775299
1780,92.44304657,1780,74.90357208
1779,92.45001221,1779,74.90005493
1778,92.44833374,1778,74.89162445
1777,92.45603943,1777,74.88957977
1776,92.4640274,1776,74.88508606
1775,92.45508575,1775,74.87596893
1774,92.45813751,1774,74.86734009
1773,92.46601105,1773,74.87482452
1772,92.47068787,1772,74.86971283
1771,92.46911621,1771,74.85574341
1770,92.47615051,1770,74.85476685
1769,92.47379303,1769,74.84760284
1768,92.4839859,1768,74.84996033
1767,92.48680115,1767,74.84889221
1766,92.49261475,1766,74.83821106
1765,92.50045013,1765,74.82791901
1764,92.50238037,1764,74.83044434
1763,92.51219177,1763,74.82216644
1762,92.51763916,1762,74.82322693
1761,92.52165985,1761,74.82359314
1760,92.51830292,1760,74.81758881
1759,92.51761627,1759,74.80780029
1758,92.5364151,1758,74.8200531
1757,92.54373932,1757,74.80461121
1756,92.5428772,1756,74.80608368
1755,92.54660034,1755,74.79486084
1754,92.55342865,1754,74.79212952
1753,92.5437851,1753,74.782547
1752,92.55039215,1752,74.7692337
1751,92.54440308,1751,74.75720215
1750,92.55039215,1750,74.7497406
1749,92.56544495,1749,74.7522583
1748,92.54825592,1748,74.72807312
1747,92.54338837,1747,74.70396423
1746,92.54026794,1746,74.70701599
1745,92.56495667,1745,74.69203186
1744,92.5877533,1744,74.6698761
1743,92.59326172,1743,74.67952728
1742,92.59803772,1742,74.6807785
1741,92.57907867,1741,74.66604614
1740,92.57988739,1740,74.65538025
1739,92.61077881,1739,74.66497803
1738,92.61334229,1738,74.69304657
1737,92.62644958,1737,74.70561218
1736,92.63644409,1736,74.69839478
1735,92.6523056,1735,74.71714783
1734,92.64267731,1734,74.69683838
1733,92.63977051,1733,74.68561554
1732,92.64586639,1732,74.70091248
1731,92.65711975,1731,74.70037079
1730,92.63214111,1730,74.69589996
1729,92.61417389,1729,74.67392731
1728,92.64768982,1728,74.67988586
1727,92.65231323,1727,74.69902039
1726,92.64434814,1726,74.69275665
1725,92.63659668,1725,74.66994476
1724,92.65955353,1724,74.67609406
1723,92.65563202,1723,74.65764618
1722,92.63722992,1722,74.65881348
1721,92.64194489,1721,74.67491913
1720,92.65882874,1720,74.6654892
1719,92.63326263,1719,74.65440369
1718,92.65170288,1718,74.66229248
1717,92.66943359,1717,74.65783691
1716,92.65361023,1716,74.66265869
1715,92.6335907,1715,74.65270996
1714,92.6388092,1714,74.63486481
1713,92.64524841,1713,74.65213776
1712,92.63021088,1712,74.6468277
1711,92.66029358,1711,74.64252472
1710,92.66817474,1710,74.64922333
1709,92.67268372,1709,74.66061401
1708,92.64778137,1708,74.6289978
1707,92.65475464,1707,74.63202667
1706,92.67990875,1706,74.65764618
1705,92.63635254,1705,74.63241577
1704,92.66872406,1704,74.63832855
1703,92.68543243,1703,74.64653015
1702,92.66673279,1702,74.63595581
1701,92.66040802,1701,74.63622284
1700,92.68637085,1700,74.62763214
1699,92.67626953,1699,74.60663605
1698,92.66816711,1698,74.63140869
1697,92.70111084,1697,74.63994598
1696,92.68874359,1696,74.62385559
1695,92.69792175,1695,74.62965393
1694,92.67369843,1694,74.62369537
1693,92.6820755,1693,74.61600494
1692,92.69873047,1692,74.63166809
1691,92.6856842,1691,74.6184082
1690,92.69909668,1690,74.61786652
1689,92.6933136,1689,74.61107635
1688,92.67910767,1688,74.60220337
1687,92.71681976,1687,74.63257599
1686,92.68628693,1686,74.58486938
1685,92.68289185,1685,74.59062195
1684,92.69371033,1684,74.60319519
1683,92.66603851,1683,74.58745575
1682,92.66946411,1682,74.56913757
1681,92.67266846,1681,74.58230591
1680,92.66387177,1680,74.57881927
1679,92.64030457,1679,74.55332947
1678,92.64550018,1678,74.52420807
1677,92.64590454,1677,74.53430176
1676,92.63096619,1676,74.53670502
1675,92.62939453,1675,74.52938843
1674,92.61491394,1674,74.50796509
1673,92.61521912,1673,74.51746368
1672,92.61146545,1672,74.50325775
1671,92.6025238,1671,74.49671936
1670,92.58203888,1670,74.47528839
1669,92.57675171,1669,74.46221161
1668,92.57279205,1668,74.45761871
1667,92.59288025,1667,74.48007202
1666,92.55145264,1666,74.43514252
1665,92.56354523,1665,74.43470001
1664,92.55342865,1664,74.42446136
1663,92.52104187,1663,74.41091919
1662,92.53112793,1662,74.41132355
1661,92.53580475,1661,74.39990997
1660,92.52139282,1660,74.38985443
1659,92.52778625,1659,74.38770294
1658,92.50089264,1658,74.35383606
1657,92.51532745,1657,74.36178589
1656,92.51322174,1656,74.35969543
1655,92.49454498,1655,74.33583069
1654,92.49173737,1654,74.33434296
1653,92.49748993,1653,74.33293915
1652,92.47348022,1652,74.31175232
1651,92.49347687,1651,74.31530762
1650,92.47001648,1650,74.29982758
1649,92.46025848,1649,74.27610779
1648,92.45048523,1648,74.2671051
1647,92.45181274,1647,74.266716
1646,92.48861694,1646,74.29129791
1645,92.44320679,1645,74.24280548
1644,92.43067169,1644,74.22042847
1643,92.44048309,1643,74.23682404
1642,92.41344452,1642,74.22032928
1641,92.43920135,1641,74.20832062
1640,92.43455505,1640,74.21513367
1639,92.44107819,1639,74.21125031
1638,92.44172668,1638,74.19777679
1637,92.41134644,1637,74.17353821
1636,92.42850494,1636,74.16352081
1635,92.43187714,1635,74.18326569
1634,92.42357635,1634,74.16950226
1633,92.43145752,1633,74.16454315
1632,92.45120239,1632,74.16825867
