Bi2Zr2O7,,CsTaTeO6,
Wavelength (nm),%R,Wavelength (nm),%R
1234,91.68044281,1234,67.72203064
1233,91.67145538,1233,67.68747711
1232,91.66389465,1232,67.64369965
1231,91.66526031,1231,67.61348724
1230,91.66622162,1230,67.57363129
1229,91.66549683,1229,67.53358459
1228,91.66491699,1228,67.50398254
1227,91.66454315,1227,67.46720123
1226,91.65658569,1226,67.43858337
1225,91.65966034,1225,67.3961792
1224,91.65077209,1224,67.35814667
1223,91.64585114,1223,67.3102951
1222,91.64575195,1222,67.27907562
1221,91.65749359,1221,67.2518692
1220,91.65763855,1220,67.21330261
1219,91.65075684,1219,67.1723938
1218,91.64282227,1218,67.1342392
1217,91.64477539,1217,67.10145569
1216,91.64154816,1216,67.05078125
1215,91.6431427,1215,67.01634216
1214,91.6480484,1214,66.9781189
1213,91.6520462,1213,66.94879913
1212,91.63644409,1212,66.90077972
1211,91.62950897,1211,66.85901642
1210,91.62680817,1210,66.81417084
1209,91.63050842,1209,66.77835846
1208,91.63916016,1208,66.74526978
1207,91.63160706,1207,66.69902039
1206,91.62347412,1206,66.65555573
1205,91.62995911,1205,66.622612
1204,91.63234711,1204,66.58056641
1203,91.62414551,1203,66.5274353
1202,91.6313324,1202,66.49714661
1201,91.62980652,1201,66.45671844
1200,91.62799072,1200,66.4093399
1199,91.67646027,1199,66.28825378
1198,91.68927765,1198,66.28240204
1197,91.68757629,1197,66.23317719
1196,91.67667389,1196,66.18221283
1195,91.65657806,1195,66.14046478
1194,91.67208099,1194,66.10612488
1193,91.66497803,1193,66.06295776
1192,91.66647339,1192,66.01287842
1191,91.677948,1191,65.97285461
1190,91.67797852,1190,65.92438507
1189,91.67236328,1189,65.883255
1188,91.67391205,1188,65.83740234
1187,91.66814423,1187,65.78658295
1186,91.66672516,1186,65.74637604
1185,91.68319702,1185,65.70407867
1184,91.67974091,1184,65.6569519
1183,91.66416168,1183,65.60809326
1182,91.66553497,1182,65.56481934
1181,91.65242004,1181,65.50522614
1180,91.65828705,1180,65.45735931
1179,91.66677856,1179,65.41329193
1178,91.6594696,1178,65.36185455
1177,91.65809631,1177,65.30839539
1176,91.65414429,1176,65.26016235
1175,91.64550781,1175,65.21541595
1174,91.64487457,1174,65.16984558
1173,91.63777161,1173,65.11436462
1172,91.64378357,1172,65.06320953
1171,91.63279724,1171,65.01026154
1170,91.64029694,1170,64.95703888
1169,91.63707733,1169,64.91860199
1168,91.62405396,1168,64.85580444
1167,91.62332153,1167,64.8019104
1166,91.62128448,1166,64.75466919
1165,91.6200943,1165,64.70014191
1164,91.6253891,1164,64.64580536
1163,91.70871735,1163,64.59809113
1162,91.60650635,1162,64.54649353
1161,91.60452271,1161,64.49829865
1160,91.6029129,1160,64.44028473
1159,91.59251404,1159,64.38496399
1158,91.6000824,1158,64.32983398
1157,91.58909607,1157,64.27662659
1156,91.53120422,1156,64.18392944
1155,91.60863495,1155,64.1795578
1154,91.62181091,1154,64.12921906
1153,91.61004639,1153,64.07679749
1152,91.64984131,1152,64.02237701
1151,91.60580444,1151,63.9532547
1150,91.60971832,1150,63.90468597
1149,91.614151,1149,63.84883118
1148,91.55586243,1148,63.73141861
1147,91.62886047,1147,63.71940231
1146,91.62727356,1146,63.67398071
1145,91.62825012,1145,63.61649704
1144,91.61685181,1144,63.53331375
1143,91.58601379,1143,63.45979691
1142,91.60028076,1142,63.41098022
1141,91.60348511,1141,63.36510849
1140,91.60577393,1140,63.30639648
1139,91.60626221,1139,63.23310089
1138,91.60339355,1138,63.17052841
1137,91.59014893,1137,63.14335632
1136,91.6062088,1136,63.04212952
1135,91.61042023,1135,62.97008896
1134,91.58997345,1134,62.90481186
1133,91.59361267,1133,62.8502655
1132,91.59049988,1132,62.78455734
1131,91.59339905,1131,62.76311111
1130,91.58900452,1130,62.6445694
1129,91.5873642,1129,62.59595108
1128,91.58872986,1128,62.53062057
1127,91.57290649,1127,62.46989441
1126,91.55540466,1126,62.38713074
1125,91.58732605,1125,62.33427429
1124,91.65094757,1124,62.26854324
1123,91.57946014,1123,62.20420456
1122,91.56400299,1122,62.13122559
1121,91.56990814,1121,62.06227493
1120,91.5615921,1120,61.98558807
1119,91.58174896,1119,61.91896057
1118,91.5668335,1118,61.84391785
1117,91.54956055,1117,61.76400757
1116,91.55833435,1116,61.69537354
1115,91.56580353,1115,61.63376617
1114,91.59236145,1114,61.55879974
1113,91.57168579,1113,61.49223328
1112,91.55105591,1112,61.41810989
1111,91.54560852,1111,61.35348511
1110,91.54827881,1110,61.28108978
1109,91.5066452,1109,61.18286896
1108,91.54207611,1108,61.12695313
1107,91.58499146,1107,61.0762291
1106,91.55994415,1106,60.99894714
1105,91.55467224,1105,60.93791199
1104,91.51071167,1104,60.82206345
1103,91.55945587,1103,60.77184677
1102,91.56533813,1102,60.711689
1101,91.5545578,1101,60.63955307
1100,91.53913116,1100,60.5344429
1099,91.54533386,1099,60.45048141
1098,91.53555298,1098,60.38614655
1097,91.52926636,1097,60.35831451
1096,91.52104187,1096,60.21854401
1095,91.53156281,1095,60.13824463
1094,91.5419693,1094,60.0627594
1093,91.52883911,1093,59.9829483
1092,91.52580261,1092,59.94318008
1091,91.52770996,1091,59.81677246
1090,91.52919769,1090,59.74148941
1089,91.50829315,1089,59.66719437
1088,91.49356842,1088,59.6170311
1087,91.50537109,1087,59.51158905
1086,91.576828,1086,59.43980408
1085,91.50566101,1085,59.37045288
1084,91.50085449,1084,59.28023911
1083,91.45970917,1083,59.17301941
1082,91.51180267,1082,59.12197113
1081,91.56370544,1081,59.03996658
1080,91.51140594,1080,58.9585495
1079,91.5171051,1079,58.87308121
1078,91.50356293,1078,58.75857544
1077,91.51101685,1077,58.69866562
1076,91.49868774,1076,58.59643173
1075,91.4890213,1075,58.50203705
1074,91.49188232,1074,58.41658783
1073,91.49280548,1073,58.33230591
1072,91.48756409,1072,58.2635994
1071,91.50481415,1071,58.1393013
1070,91.49276733,1070,58.05615234
1069,91.46792603,1069,57.97618103
1068,91.46871185,1068,57.90000153
1067,91.47523499,1067,57.79201508
1066,91.47086334,1066,57.70987701
1065,91.43956757,1065,57.62433243
1064,91.5215683,1064,57.52857208
1063,91.46678925,1063,57.46102142
1062,91.46411896,1062,57.36092758
1061,91.46191406,1061,57.24150085
1060,91.47572327,1060,57.19812012
1059,91.48048401,1059,57.09651566
1058,91.44885254,1058,56.97610855
1057,91.46831512,1057,56.89237595
1056,91.46125031,1056,56.7960434
1055,91.43834686,1055,56.70487976
1054,91.44812775,1054,56.59323883
1053,91.45394135,1053,56.51349258
1052,91.44155121,1052,56.42433929
1051,91.44836426,1051,56.30750656
1050,91.40146637,1050,56.22602081
1049,91.38986969,1049,56.12197495
1048,91.46457672,1048,56.0391655
1047,91.41101074,1047,55.94329834
1046,91.39073181,1046,55.83117676
1045,91.41070557,1045,55.72968674
1044,91.41946411,1044,55.67648315
1043,91.40572357,1043,55.54159164
1042,91.41256714,1042,55.44568253
1041,91.40685272,1041,55.33699417
1040,91.3772049,1040,55.22871017
1039,91.39389038,1039,55.15707779
1038,91.40503693,1038,55.02711487
1037,91.38852692,1037,54.95041656
1036,91.4043808,1036,54.84030151
1035,91.34626007,1035,54.73585129
1034,91.35457611,1034,54.64624786
1033,91.39274597,1033,54.53821945
1032,91.36888123,1032,54.4407196
1031,91.36135864,1031,54.33477783
1030,91.38760376,1030,54.25719452
1029,91.35651398,1029,54.11962128
1028,91.35331726,1028,54.01893234
1027,91.35939789,1027,53.92927551
1026,91.33547974,1026,53.80858612
1025,91.36209106,1025,53.7138176
1024,91.35926819,1024,53.6077919
1023,91.32161713,1023,53.4985199
1022,91.30472565,1022,53.39624405
1021,91.34508514,1021,53.294487
1020,91.32991028,1020,53.18962479
1019,91.31945038,1019,53.0726738
1018,91.33628082,1018,52.99810791
1017,91.32601929,1017,52.85815048
1016,91.3055954,1016,52.74289703
1015,91.30298615,1015,52.6460228
1014,91.29623413,1014,52.53565979
1013,91.31087494,1013,52.41545868
1012,91.28694916,1012,52.31655121
1011,91.26607513,1011,52.20777512
1010,91.3000412,1010,52.10947418
1009,91.30778503,1009,52.00558472
1008,91.26984406,1008,51.88978958
1007,91.27476501,1007,51.77412796
1006,91.26700592,1006,51.64699554
1005,91.27541351,1005,51.54913712
1004,91.25883484,1004,51.42057419
1003,91.28012085,1003,51.33705139
1002,91.24621582,1002,51.20881271
1001,91.23183441,1001,51.10118484
1000,91.27136993,1000,50.99189758
999,91.21290588,999,50.88227844
998,91.2495575,998,50.7805748
997,91.23796082,997,50.64904785
996,91.22583771,996,50.54637909
995,91.22560883,995,50.42153168
994,91.21715546,994,50.30260849
993,91.19875336,993,50.19236374
992,91.19342804,992,50.07374191
991,91.2161026,991,49.96839905
990,91.16160583,990,49.84350586
989,91.21307373,989,49.74780273
988,91.18235779,988,49.59302521
987,91.19359589,987,49.47956467
986,91.18041992,986,49.36062241
985,91.17005157,985,49.25469208
984,91.16743469,984,49.13934326
983,91.15005493,983,49.01794434
982,91.19885254,982,48.90727234
981,91.16065216,981,48.79198074
980,91.17124176,980,48.67404556
979,91.14086914,979,48.53440475
978,91.15402985,978,48.42559433
977,91.13853455,977,48.29983139
976,91.13296509,976,48.18001556
975,91.13352203,975,48.05833817
974,91.12932587,974,47.95217133
973,91.13245392,973,47.83209991
972,91.11271667,972,47.71572495
971,91.12836456,971,47.59438324
970,91.10527039,970,47.46835327
969,91.11520386,969,47.35073853
968,91.10759735,968,47.22335815
967,91.10374451,967,47.10988998
966,91.08654022,966,46.9916687
965,91.09090424,965,46.87031937
964,91.09273529,964,46.75479126
963,91.08957672,963,46.63226318
962,91.06896973,962,46.49163818
961,91.09075165,961,46.38428497
960,91.05403137,960,46.26410294
959,91.06238556,959,46.14935303
958,91.06456757,958,46.02335358
957,91.05607605,957,45.89421463
956,91.05203247,956,45.76865387
955,91.05183411,955,45.65106201
954,91.01185608,954,45.5248642
953,91.01834106,953,45.4111557
952,91.03070831,952,45.28788376
951,91.03171539,951,45.16207123
950,91.0071106,950,45.03905487
949,91.0214386,949,44.92467499
948,90.97237396,948,44.80057144
947,91.00408173,947,44.6927681
946,91.00499725,946,44.58496475
945,90.99210358,945,44.48202896
944,90.99183655,944,44.37781525
943,91.01573944,943,44.26859283
942,91.00149536,942,44.14286041
941,90.99913788,941,44.0236702
940,90.98164368,940,43.88389206
939,90.97847748,939,43.77007675
938,90.97000122,938,43.64076233
937,90.94895172,937,43.50995255
936,90.945961,936,43.39270782
935,90.93321228,935,43.25999069
934,90.9151535,934,43.12923431
933,90.91869354,933,43.01510239
932,90.89816284,932,42.88882446
931,90.89386749,931,42.75661087
930,90.87634277,930,42.63821411
929,90.87335205,929,42.51195908
928,90.84912872,928,42.37597656
927,90.85603333,927,42.26057053
926,90.84031677,926,42.14313889
925,90.83393097,925,42.01051712
924,90.81250763,924,41.88244629
923,90.78244019,923,41.75313187
922,90.78258514,922,41.62757874
921,90.76356506,921,41.5004921
920,90.75099945,920,41.37496185
919,90.73670197,919,41.25215149
918,90.73732758,918,41.12084198
917,90.71315765,917,40.99542236
916,90.71417236,916,40.86672211
915,90.68833923,915,40.75032043
914,90.67914581,914,40.62612915
913,90.65496826,913,40.50278473
912,90.64568329,912,40.37982941
911,90.63378143,911,40.24566269
910,90.61917877,910,40.12781143
909,90.62141418,909,39.99641418
908,90.58872223,908,39.88167191
907,90.57608032,907,39.75919342
906,90.5599823,906,39.61333466
905,90.55726624,905,39.4861412
904,90.53687286,904,39.37395859
903,90.51318359,903,39.24118423
902,90.50559998,902,39.11656189
901,90.47740936,901,38.9931488
900,90.50240326,900,38.87704849
899,90.46875,899,38.72460938
898,90.45922852,898,38.62394333
897,90.42853546,897,38.49638748
896,90.43514252,896,38.3771286
895,90.40720367,895,38.25598526
894,90.3842392,894,38.12739944
893,90.37419128,893,38.00384903
892,90.37212372,892,37.85397339
891,90.3510437,891,37.75541306
890,90.35936737,890,37.62037659
889,90.30718231,889,37.48624802
888,90.29636383,888,37.37119293
887,90.27927399,887,37.25257111
886,90.25983429,886,37.10598755
885,90.25341797,885,36.99179459
884,90.23129272,884,36.86238098
883,90.21083069,883,36.75187302
882,90.20339966,882,36.63198471
881,90.17131042,881,36.49549866
880,90.15198517,880,36.35434723
879,90.14376831,879,36.26593781
878,90.10177612,878,36.12496185
877,90.10005188,877,36.00801086
876,90.09069061,876,35.89964294
875,90.08437347,875,35.78186417
874,90.03959656,874,35.6435318
873,90.00952911,873,35.50842285
872,90.04402161,872,35.38547897
871,90.01858521,871,35.28291702
870,89.98051453,870,35.13124466
869,89.93756104,869,35.00831223
868,89.929245,868,34.91405106
867,89.92667389,867,34.80078125
866,89.91908264,866,34.67331314
865,89.90041351,865,34.53393173
864,89.86455536,864,34.42730713
863,89.84270477,863,34.28134155
862,89.867836,862,34.16897202
861,89.8276062,861,34.06679916
860,89.81018066,860,33.95989227
859,89.79298401,859,33.81202316
858,89.78181458,858,33.68212128
857,89.7493515,857,33.58409882
856,89.77368164,856,33.46647263
855,89.74708557,855,33.35437012
854,89.73595428,854,33.20441055
853,89.69741821,853,33.09031677
852,89.66078949,852,33.01478958
851,89.66194916,851,32.87272644
850,89.63790894,850,32.77326965
849,89.64022827,849,32.63936615
848,89.58943939,848,32.51255417
847,89.59632111,847,32.36819839
846,89.55553436,846,32.2499733
845,89.55206299,845,32.1929245
844,89.51334381,844,32.08827209
843,89.54839325,843,31.98510742
842,89.50102234,842,31.792202
841,89.56591797,841,31.69548798
840,89.45335388,840,31.58626175
839,89.42595673,839,31.48282433
838,89.45444489,838,31.34148026
837,89.52159119,837,31.29045868
836,89.43034363,836,31.12657166
835,89.40864563,835,31.05330849
834,89.3983078,834,30.91050148
833,89.40867615,833,30.82608795
832,89.3736496,832,30.71330261
831,89.33680725,831,30.58778572
830,89.42751312,830,30.5149498
829,89.36386871,829,30.40594673
828,89.37572479,828,30.25266266
827,89.30795288,827,30.15271759
826,89.36425781,826,30.05236435
825,89.34409332,825,29.9554081
824,89.29169464,824,29.8286705
823,89.31499481,823,29.73843765
822,89.29081726,822,29.63882637
821,89.27767944,821,29.50877571
820,89.20272827,820,29.3590126
819,89.28510284,819,29.31991768
818,89.22412109,818,29.18091965
817,89.18354797,817,29.08112335
816,89.1295166,816,29.04383469
815,89.16712189,815,28.92464447
814,89.12394714,814,28.84623337
813,89.23886108,813,28.69215965
812,89.15058899,812,28.63001823
811,89.14953613,811,28.47951126
810,89.10199738,810,28.40726662
809,89.12932587,809,28.32473755
808,89.06074524,808,28.24253464
807,89.09098816,807,28.07912827
806,89.02510834,806,28.05620766
805,89.08022308,805,27.94479179
804,89.01280975,804,27.77446556
803,89.03679657,803,27.74925232
802,89.02622223,802,27.61985397
801,89.03048706,801,27.60690689
800,88.95326996,800,27.42212677
799,88.55913544,799,26.49707413
798,88.55183411,798,26.38633347
797,88.52622223,797,26.28116035
796,88.41417694,796,26.1736927
795,88.33192444,795,26.06122208
794,88.53338623,794,25.95428848
793,88.39443207,793,25.92960548
792,88.36071014,792,25.84234238
791,88.46165466,791,25.71707916
790,88.34347534,790,25.67386055
789,88.23146057,789,25.4527874
788,88.11735535,788,25.3879776
787,88.34015656,787,25.31663513
786,88.25215149,786,25.21389198
785,88.24464417,785,25.19492531
784,88.20326996,784,25.03177452
783,88.29815674,783,24.99031258
782,88.11112976,782,24.86687851
781,88.13559723,781,24.78420448
780,88.06061554,780,24.67237282
779,88.15765381,779,24.64660835
778,88.11870575,778,24.54843521
777,88.0898056,777,24.42029953
776,88.06635284,776,24.40659714
775,88.15895081,775,24.31671333
774,88.18254089,774,24.17840004
773,88.08724213,773,24.15468597
772,87.9546814,772,24.07701683
771,88.01806641,771,23.94149399
770,88.03210449,770,23.85648346
769,87.95349121,769,23.84984589
768,87.93663788,768,23.72070313
767,88.00637817,767,23.61984444
766,87.87705994,766,23.57826233
765,88.01469421,765,23.44770241
764,88.00046539,764,23.41023254
763,87.84602356,763,23.28876305
762,87.87362671,762,23.23182106
761,87.97429657,761,23.18528366
760,87.87018585,760,23.08569908
759,87.76843262,759,22.99224663
758,87.83848572,758,22.97296333
757,87.9074173,757,22.85075378
756,87.75894928,756,22.80334473
755,87.82221222,755,22.72154617
754,87.77056122,754,22.65281677
753,87.67717743,753,22.55292511
752,87.67486572,752,22.51642418
751,87.71320343,751,22.41096497
750,87.81309509,750,22.35561371
749,87.79982758,749,22.30411148
748,87.67758942,748,22.2164135
747,87.67493439,747,22.13588715
746,87.57069397,746,22.06703377
745,87.64769745,745,21.96543121
744,87.65167236,744,21.92949104
743,87.58099365,743,21.83620644
742,87.53791046,742,21.78541756
741,87.5036087,741,21.70259666
740,87.49954987,740,21.6590023
739,87.37541962,739,21.56884575
738,87.38088989,738,21.51430321
737,87.43325043,737,21.44174957
736,87.45310211,736,21.37997055
735,87.36003113,735,21.30303764
734,87.40261078,734,21.2318306
733,87.2403717,733,21.15045547
732,87.28633118,732,21.11272812
731,87.28777313,731,21.01877022
730,87.1838913,730,20.97823715
729,87.37481689,729,20.92617989
728,87.24737549,728,20.85783768
727,87.21955109,727,20.80871391
726,87.11460876,726,20.74108696
725,87.13296509,725,20.69411659
724,87.09706879,724,20.58086014
723,87.14654541,723,20.56226921
722,87.11303711,722,20.50115395
721,87.00819397,721,20.42855835
720,87.03656006,720,20.39871979
719,86.99813843,719,20.33820724
718,86.92571259,718,20.24719429
717,86.9585495,717,20.1950531
716,86.91189575,716,20.13331032
715,86.76410675,715,20.06101036
714,86.78211212,714,20.00172806
713,86.82074738,713,19.94951439
712,86.8164444,712,19.94338989
711,86.68294525,711,19.85210419
710,86.64735413,710,19.76420212
709,86.60887146,709,19.75085068
708,86.62710571,708,19.68753242
707,86.59230804,707,19.63847923
706,86.58483124,706,19.57744217
705,86.49195099,705,19.53508377
704,86.47866821,704,19.46329117
703,86.53843689,703,19.41046333
702,86.45404053,702,19.38424301
701,86.36476135,701,19.3251915
700,86.36022949,700,19.2592926
699,86.37934875,699,19.20272446
698,86.2767334,698,19.14925957
697,86.2749176,697,19.12027359
696,86.20691681,696,19.0677681
695,86.13293457,695,19.01255035
694,86.09214783,694,18.96510506
693,86.07604218,693,18.91463089
692,86.03746796,692,18.8600235
691,86.01205444,691,18.80693817
690,86.00363922,690,18.77474594
689,85.95249939,689,18.73319244
688,85.8915329,688,18.67969131
687,85.85397339,687,18.64357948
686,85.76190186,686,18.58188057
685,85.75263977,685,18.52348328
684,85.72195435,684,18.49502182
683,85.67800903,683,18.45500755
682,85.60757446,682,18.40084457
681,85.59641266,681,18.35523796
680,85.54472351,680,18.31106567
679,85.41716766,679,18.25137901
678,85.41260529,678,18.22746277
677,85.34351349,677,18.19866943
676,85.29853821,676,18.12169647
675,85.2022934,675,18.11180496
674,85.18805695,674,18.06432343
673,85.099617,673,18.0129776
672,85.08493805,672,17.98228645
671,85.0046463,671,17.93810272
670,84.94119263,670,17.89314461
669,84.90411377,669,17.8487072
668,84.84231567,668,17.81900787
667,84.71863556,667,17.76631737
666,84.66261292,666,17.7420311
665,84.66460419,665,17.71317101
664,84.49533081,664,17.65753555
663,84.48335266,663,17.6448307
662,84.34941864,662,17.57880974
661,84.3152771,661,17.54235268
660,84.25806427,660,17.50610924
659,84.16523743,659,17.48167419
658,84.08493042,658,17.44365883
657,84.05560303,657,17.39562798
656,83.89211273,656,17.3638382
655,83.84444427,655,17.31879616
654,83.73242188,654,17.27531624
653,83.66034698,653,17.26804543
652,83.60809326,652,17.22113419
651,83.52690125,651,17.18317795
650,83.43693542,650,17.15046883
649,83.2909317,649,17.11098289
648,83.24790955,648,17.08648491
647,83.13803864,647,17.06605148
646,83.01057434,646,17.03120041
645,82.95946503,645,16.99572754
644,82.90666199,644,16.9535675
643,82.73851776,643,16.9224987
642,82.63356018,642,16.90088463
641,82.55568695,641,16.85650253
640,82.47244263,640,16.82534027
639,82.34835052,639,16.79923248
638,82.22616577,638,16.77490044
637,82.15740204,637,16.75595093
636,82.00734711,636,16.70431519
635,81.96431732,635,16.68783188
634,81.82003021,634,16.64815521
633,81.68772125,633,16.60783386
632,81.60864258,632,16.59336853
631,81.46537781,631,16.55760574
630,81.41040802,630,16.54343414
629,81.19376373,629,16.5069828
628,81.15838623,628,16.47512245
627,81.0216217,627,16.44776154
626,80.93624115,626,16.43081284
625,80.79129791,625,16.3940258
624,80.6440506,624,16.35921669
623,80.51577759,623,16.32925034
622,80.46644592,622,16.31446838
621,80.27468109,621,16.29489136
620,80.13467407,620,16.25204086
619,80.03408813,619,16.22304344
618,79.91757202,618,16.22457695
617,79.75390625,617,16.17236519
616,79.63970184,616,16.15087891
615,79.42360687,615,16.1203804
614,79.35240173,614,16.10574913
613,79.23284149,613,16.07735252
612,79.07746124,612,16.03362465
611,78.92282867,611,16.03254318
610,78.76807404,610,15.99682617
609,78.6072464,609,15.98412132
608,78.48884583,608,15.95852566
607,78.33840942,607,15.93083572
606,78.1968689,606,15.90558147
605,77.97580719,605,15.88825035
604,77.85751343,604,15.8557682
603,77.64740753,603,15.84554005
602,77.56984711,602,15.81376362
601,77.34397888,601,15.78740501
600,77.1990509,600,15.76483727
599,77.039505,599,15.73876476
598,76.8735733,598,15.71951485
597,76.67741394,597,15.71438313
596,76.51503754,596,15.69036674
595,76.34211731,595,15.66490555
594,76.18385315,594,15.65480232
593,76.00512695,593,15.6160984
592,75.82085419,592,15.59758377
591,75.66825104,591,15.58592892
590,75.46347046,590,15.5538826
589,75.31668091,589,15.54466343
588,75.13287354,588,15.52414036
587,74.88286591,587,15.5045557
586,74.69764709,586,15.48053741
585,74.58187866,585,15.46571255
584,74.36031342,584,15.45233727
583,74.19295502,583,15.41730499
582,73.96850586,582,15.41342926
581,73.7121582,581,15.38564396
580,73.55407715,580,15.37471962
579,73.38265228,579,15.35771656
578,73.13038635,578,15.33476734
577,72.93506622,577,15.31142044
576,72.67362976,576,15.29438496
575,72.4769516,575,15.27282429
574,72.33880615,574,15.26550674
573,72.09918976,573,15.24338245
572,71.87474823,572,15.21507359
571,71.603302,571,15.20881653
570,71.40924072,570,15.18705177
569,71.12312317,569,15.18201542
568,70.98345947,568,15.15479565
567,70.73060608,567,15.13510895
566,70.44801331,566,15.12238979
565,70.21081543,565,15.11863613
564,70.0262146,564,15.09289932
563,69.71148682,563,15.06325912
562,69.4696579,562,15.05786896
561,69.21595764,561,15.03914452
560,68.98252106,560,15.02731609
559,68.79638672,559,15.02661514
558,68.4394455,558,14.9860878
557,68.23335266,557,14.97842979
556,67.95800018,556,14.95485592
555,67.68650055,555,14.9362402
554,67.39835358,554,14.91888142
553,67.18023682,553,14.90671444
552,66.84329224,552,14.88297272
551,66.59947205,551,14.88338375
550,66.32322693,550,14.87340641
549,65.96073914,549,14.84579277
548,65.6977005,548,14.83320332
547,65.44377136,547,14.8195219
546,65.13924408,546,14.78556824
545,64.84729004,545,14.78795528
544,64.49204254,544,14.77256107
543,64.20500946,543,14.74552917
542,63.90693283,542,14.74442673
541,63.59030533,541,14.72348881
540,63.2603569,540,14.69965839
539,62.92198944,539,14.69583988
538,62.61802292,538,14.6911068
537,62.30760193,537,14.68106461
536,61.96377182,536,14.65005684
535,61.63851166,535,14.65367508
534,61.3064003,534,14.63291073
533,60.995327,533,14.61789036
532,60.68708801,532,14.60947704
531,60.2826004,531,14.59463501
530,59.9518013,530,14.56275749
529,59.6146698,529,14.57244492
528,59.25592804,528,14.54968929
527,58.90382385,527,14.53868103
526,58.55476761,526,14.53130436
525,58.17092514,525,14.52286434
524,57.79572678,524,14.49472332
523,57.45732117,523,14.46377945
522,57.13986206,522,14.47020149
521,56.71868896,521,14.45722103
520,56.38368607,520,14.45125771
519,55.98537445,519,14.4199791
518,55.64935303,518,14.41723824
517,55.26464462,517,14.41690063
516,54.91060638,516,14.39224625
515,54.52103043,515,14.38649178
514,54.18083191,514,14.37570858
513,53.81494904,513,14.36884117
512,53.40900421,512,14.35806274
511,53.07089615,511,14.33068371
510,52.73138428,510,14.3163023
509,52.35826492,509,14.32287407
508,51.98262405,508,14.30794716
507,51.62241364,507,14.29122543
506,51.24110413,506,14.28519344
505,50.84035873,505,14.26276112
504,50.53785324,504,14.25867271
503,50.1617012,503,14.25505543
502,49.79603577,502,14.23844433
501,49.4255867,501,14.21739006
500,49.04262543,500,14.20691586
499,48.69566345,499,14.20285702
498,48.31923676,498,14.19604015
497,47.97267914,497,14.18446445
496,47.59964752,496,14.16757107
495,47.2359848,495,14.1461153
494,46.85372925,494,14.15245819
493,46.47812653,493,14.14201832
492,46.14861679,492,14.13378716
491,45.76788712,491,14.11997223
490,45.37799835,490,14.11149502
489,45.01137543,489,14.09201622
488,44.6556282,488,14.08716011
487,44.32564926,487,14.07315159
486,43.95447922,486,14.08139038
485,43.60202408,485,14.06409931
484,43.2221489,484,14.04747963
483,42.84782791,483,14.0430088
482,42.51251602,482,14.02985287
481,42.10183716,481,14.02176762
480,41.75543976,480,13.99561119
479,41.39529037,479,14.01027489
478,41.02160263,478,14.01269245
477,40.63158417,477,13.98603058
476,40.3011055,476,13.98044682
475,39.90911102,475,13.9671917
474,39.58477783,474,13.95582962
473,39.21133041,473,13.95191574
472,38.82365417,472,13.94595337
471,38.4936409,471,13.95242214
470,38.09015274,470,13.92487907
469,37.73198318,469,13.92556763
468,37.40497971,468,13.9104147
467,37.03490067,467,13.9025135
466,36.62168503,466,13.89524651
465,36.30821991,465,13.90207863
464,35.95466232,464,13.89358521
463,35.56225967,463,13.86562443
462,35.22418213,462,13.87172031
461,34.89580917,461,13.86996937
460,34.48620605,460,13.85028362
459,34.15955734,459,13.83705616
458,33.84286499,458,13.83724499
457,33.49102402,457,13.84333706
456,33.13762665,456,13.8289814
455,32.76832199,455,13.82070065
454,32.44937134,454,13.81364059
453,32.11563873,453,13.82116508
452,31.78404808,452,13.80074501
451,31.42751694,451,13.77752876
450,31.10710335,450,13.78555012
449,30.78981018,449,13.78656006
448,30.47000122,448,13.78946114
447,30.1101799,447,13.77501488
446,29.79826546,446,13.74956036
445,29.4710331,445,13.78294945
444,29.14968681,444,13.75080776
443,28.87215996,443,13.75182438
442,28.52905655,442,13.74557209
441,28.20312691,441,13.73479366
440,27.90760422,440,13.71405411
439,27.6353054,439,13.74056816
438,27.25614929,438,13.71299934
437,26.97846985,437,13.7203474
436,26.65438652,436,13.71035385
435,26.37555885,435,13.70757484
434,26.05269241,434,13.68633461
433,25.78522301,433,13.70219707
432,25.44859123,432,13.69449615
431,25.1764946,431,13.6821661
430,24.85012054,430,13.68943119
429,24.53666878,429,13.67099762
428,24.29242706,428,13.6742115
427,24.00226212,427,13.67884445
426,23.70461464,426,13.68349171
425,23.42838478,425,13.66432762
424,23.13294792,424,13.6661272
423,22.85722733,423,13.64554596
422,22.56370354,422,13.65802765
421,22.3218956,421,13.65133095
420,22.03527451,420,13.63117504
419,21.74565887,419,13.64920902
418,21.48617744,418,13.63789749
417,21.21146011,417,13.63602734
416,20.95696068,416,13.61493301
415,20.72899628,415,13.61903381
414,20.45498276,414,13.62591362
413,20.19793701,413,13.60459137
412,19.93020248,412,13.57234287
411,19.71123886,411,13.60908318
410,19.49612808,410,13.61539173
409,19.22328568,409,13.58603954
408,19.02189636,408,13.60502243
407,18.786726,407,13.62293625
406,18.56745148,406,13.56537342
405,18.34513474,405,13.59761238
404,18.12247276,404,13.57551098
403,17.89338684,403,13.55613327
402,17.67970848,402,13.55377769
401,17.47921944,401,13.55533409
400,17.29390907,400,13.54340935
399,17.10736084,399,13.53451633
398,16.92371941,398,13.55885983
397,16.72043419,397,13.55131149
396,16.57744408,396,13.50268269
395,16.33648872,395,13.52542305
394,16.17088699,394,13.50989532
393,16.03039932,393,13.50506115
392,15.86298466,392,13.53318691
