Bi2Zr2O7,Bi2Zr2O7,Bi2Zr2O7,CsTaTeO6,CsTaTeO6,CsTaTeO6
energy (eV),(F(R)-E)^1/2,Fit,energy (eV),(F(R)-E)^1/2,Fit
0.6516,0.05047,-4.79711,0.6516,0.16036,-1.01567
0.65195,0.05044,-4.79609,0.65195,0.16044,-1.01481
0.65229,0.05028,-4.79507,0.65229,0.16039,-1.01395
0.65263,0.05029,-4.79406,0.65263,0.16045,-1.01309
0.65298,0.05026,-4.79304,0.65298,0.16052,-1.01223
0.65332,0.05011,-4.79202,0.65332,0.16043,-1.01137
0.65366,0.05014,-4.791,0.65366,0.16052,-1.0105
0.65401,0.0501,-4.78997,0.65401,0.16053,-1.00964
0.65435,0.05007,-4.78895,0.65435,0.16059,-1.00877
0.6547,0.05005,-4.78793,0.6547,0.16067,-1.00791
0.65504,0.05015,-4.7869,0.65504,0.16072,-1.00704
0.65539,0.05005,-4.78587,0.65539,0.16065,-1.00617
0.65574,0.05003,-4.78485,0.65574,0.16072,-1.0053
0.65608,0.05005,-4.78382,0.65608,0.16085,-1.00443
0.65643,0.05004,-4.78279,0.65643,0.16075,-1.00356
0.65678,0.05002,-4.78176,0.65678,0.16073,-1.00269
0.65713,0.04993,-4.78073,0.65713,0.16074,-1.00181
0.65748,0.04984,-4.77969,0.65748,0.16062,-1.00094
0.65782,0.04975,-4.77866,0.65782,0.16059,-1.00007
0.65817,0.04972,-4.77762,0.65817,0.1607,-0.99919
0.65852,0.04958,-4.77659,0.65852,0.16072,-0.99831
0.65887,0.04941,-4.77555,0.65887,0.16076,-0.99744
0.65922,0.04926,-4.77451,0.65922,0.16082,-0.99656
0.65957,0.04906,-4.77347,0.65957,0.16087,-0.99568
0.65993,0.04892,-4.77243,0.65993,0.16101,-0.9948
0.66028,0.04881,-4.77139,0.66028,0.16116,-0.99392
0.66063,0.04855,-4.77035,0.66063,0.16131,-0.99303
0.66098,0.04839,-4.7693,0.66098,0.16151,-0.99215
0.66133,0.04801,-4.76826,0.66133,0.16153,-0.99127
0.66169,0.04788,-4.76721,0.66169,0.16162,-0.99038
0.66204,0.04761,-4.76616,0.66204,0.16175,-0.98949
0.66239,0.04742,-4.76511,0.66239,0.16179,-0.98861
0.66275,0.04725,-4.76406,0.66275,0.16187,-0.98772
0.6631,0.04706,-4.76301,0.6631,0.16206,-0.98683
0.66346,0.0467,-4.76196,0.66346,0.16204,-0.98594
0.66381,0.04641,-4.76091,0.66381,0.16192,-0.98505
0.66417,0.04629,-4.75985,0.66417,0.16199,-0.98416
0.66452,0.04613,-4.7588,0.66452,0.16218,-0.98326
0.66488,0.04601,-4.75774,0.66488,0.16239,-0.98237
0.66524,0.04587,-4.75668,0.66524,0.16255,-0.98148
0.66559,0.04578,-4.75563,0.66559,0.16272,-0.98058
0.66595,0.04568,-4.75457,0.66595,0.16282,-0.97968
0.66631,0.04551,-4.75351,0.66631,0.1627,-0.97879
0.66667,0.04561,-4.75244,0.66667,0.16276,-0.97789
0.66703,0.0455,-4.75138,0.66703,0.16285,-0.97699
0.66738,0.04544,-4.75032,0.66738,0.16307,-0.97609
0.66774,0.04538,-4.74925,0.66774,0.163,-0.97519
0.6681,0.0454,-4.74818,0.6681,0.16305,-0.97428
0.66846,0.04544,-4.74712,0.66846,0.16308,-0.97338
0.66882,0.04534,-4.74605,0.66882,0.16303,-0.97247
0.66919,0.04534,-4.74498,0.66919,0.16324,-0.97157
0.66955,0.0453,-4.74391,0.66955,0.16346,-0.97066
0.66991,0.0453,-4.74283,0.66991,0.16363,-0.96976
0.67027,0.04532,-4.74176,0.67027,0.16356,-0.96885
0.67063,0.0453,-4.74068,0.67063,0.16376,-0.96794
0.671,0.04523,-4.73961,0.671,0.16375,-0.96703
0.67136,0.04528,-4.73853,0.67136,0.16399,-0.96612
0.67172,0.04528,-4.73745,0.67172,0.16416,-0.9652
0.67209,0.04532,-4.73637,0.67209,0.16432,-0.96429
0.67245,0.04521,-4.73529,0.67245,0.16438,-0.96338
0.67282,0.04524,-4.73421,0.67282,0.16447,-0.96246
0.67318,0.04523,-4.73313,0.67318,0.16455,-0.96155
0.67355,0.04518,-4.73204,0.67355,0.16474,-0.96063
0.67391,0.04523,-4.73096,0.67391,0.16484,-0.95971
0.67428,0.04528,-4.72987,0.67428,0.16493,-0.95879
0.67465,0.04526,-4.72878,0.67465,0.16503,-0.95787
0.67501,0.04522,-4.7277,0.67501,0.16516,-0.95695
0.67538,0.0453,-4.72661,0.67538,0.16532,-0.95603
0.67575,0.04518,-4.72551,0.67575,0.1654,-0.9551
0.67612,0.04532,-4.72442,0.67612,0.16551,-0.95418
0.67649,0.04525,-4.72333,0.67649,0.16557,-0.95325
0.67686,0.04522,-4.72223,0.67686,0.16571,-0.95233
0.67723,0.04532,-4.72114,0.67723,0.1658,-0.9514
0.6776,0.0453,-4.72004,0.6776,0.16589,-0.95047
0.67797,0.04533,-4.71894,0.67797,0.16602,-0.94954
0.67834,0.04532,-4.71784,0.67834,0.16611,-0.94861
0.67871,0.04536,-4.71674,0.67871,0.16622,-0.94768
0.67908,0.04543,-4.71564,0.67908,0.16632,-0.94675
0.67945,0.04539,-4.71454,0.67945,0.1664,-0.94582
0.67982,0.04536,-4.71343,0.67982,0.1664,-0.94488
0.6802,0.04543,-4.71233,0.6802,0.16652,-0.94395
0.68057,0.04541,-4.71122,0.68057,0.1667,-0.94301
0.68094,0.04557,-4.71011,0.68094,0.16687,-0.94207
0.68132,0.04554,-4.709,0.68132,0.16678,-0.94113
0.68169,0.04564,-4.70789,0.68169,0.16705,-0.94019
0.68207,0.04562,-4.70678,0.68207,0.16713,-0.93925
0.68244,0.04568,-4.70567,0.68244,0.16737,-0.93831
0.68282,0.04566,-4.70455,0.68282,0.16735,-0.93737
0.6832,0.04575,-4.70344,0.6832,0.16743,-0.93642
0.68357,0.04568,-4.70232,0.68357,0.16753,-0.93548
0.68395,0.04579,-4.7012,0.68395,0.16771,-0.93453
0.68433,0.04576,-4.70008,0.68433,0.16771,-0.93359
0.6847,0.0459,-4.69896,0.6847,0.16793,-0.93264
0.68508,0.04584,-4.69784,0.68508,0.16799,-0.93169
0.68546,0.04583,-4.69672,0.68546,0.1681,-0.93074
0.68584,0.04583,-4.69559,0.68584,0.16821,-0.92979
0.68622,0.04589,-4.69447,0.68622,0.1683,-0.92884
0.6866,0.04593,-4.69334,0.6866,0.16837,-0.92788
0.68698,0.04595,-4.69221,0.68698,0.16858,-0.92693
0.68736,0.046,-4.69109,0.68736,0.16874,-0.92598
0.68774,0.046,-4.68995,0.68774,0.16871,-0.92502
0.68812,0.04597,-4.68882,0.68812,0.16871,-0.92406
0.68851,0.04607,-4.68769,0.68851,0.1689,-0.9231
0.68889,0.0461,-4.68656,0.68889,0.16899,-0.92214
0.68927,0.04611,-4.68542,0.68927,0.16914,-0.92118
0.68966,0.04616,-4.68428,0.68966,0.16929,-0.92022
0.69004,0.04606,-4.68315,0.69004,0.1693,-0.91926
0.69042,0.04616,-4.68201,0.69042,0.16942,-0.91829
0.69081,0.04608,-4.68087,0.69081,0.1695,-0.91733
0.69119,0.0462,-4.67973,0.69119,0.16966,-0.91636
0.69158,0.04618,-4.67858,0.69158,0.16967,-0.9154
0.69196,0.04624,-4.67744,0.69196,0.16985,-0.91443
0.69235,0.04622,-4.67629,0.69235,0.16988,-0.91346
0.69274,0.0463,-4.67515,0.69274,0.1701,-0.91249
0.69312,0.04623,-4.674,0.69312,0.1701,-0.91152
0.69351,0.04624,-4.67285,0.69351,0.1702,-0.91055
0.6939,0.04628,-4.6717,0.6939,0.17027,-0.90957
0.69429,0.04629,-4.67055,0.69429,0.17044,-0.9086
0.69468,0.04637,-4.66939,0.69468,0.17058,-0.90762
0.69507,0.04634,-4.66824,0.69507,0.17072,-0.90665
0.69546,0.04636,-4.66708,0.69546,0.17083,-0.90567
0.69585,0.04634,-4.66593,0.69585,0.17091,-0.90469
0.69624,0.04639,-4.66477,0.69624,0.17106,-0.90371
0.69663,0.04639,-4.66361,0.69663,0.17114,-0.90273
0.69702,0.04636,-4.66245,0.69702,0.17121,-0.90175
0.69741,0.04638,-4.66128,0.69741,0.17133,-0.90076
0.69781,0.04634,-4.66012,0.69781,0.17139,-0.89978
0.6982,0.0463,-4.65896,0.6982,0.17148,-0.89879
0.69859,0.04638,-4.65779,0.69859,0.1716,-0.89781
0.69899,0.04637,-4.65662,0.69899,0.17172,-0.89682
0.69938,0.04633,-4.65545,0.69938,0.1717,-0.89583
0.69977,0.04631,-4.65428,0.69977,0.17179,-0.89484
0.70017,0.04634,-4.65311,0.70017,0.17195,-0.89385
0.70056,0.04631,-4.65194,0.70056,0.17201,-0.89285
0.70096,0.04633,-4.65076,0.70096,0.17212,-0.89186
0.70136,0.04628,-4.64959,0.70136,0.17215,-0.89087
0.70175,0.04628,-4.64841,0.70175,0.1722,-0.88987
0.70215,0.04625,-4.64723,0.70215,0.17234,-0.88887
0.70255,0.04622,-4.64605,0.70255,0.17247,-0.88788
0.70295,0.04622,-4.64487,0.70295,0.1725,-0.88688
0.70335,0.04617,-4.64369,0.70335,0.17261,-0.88588
0.70375,0.04614,-4.64251,0.70375,0.17265,-0.88488
0.70415,0.04613,-4.64132,0.70415,0.1727,-0.88387
0.70455,0.04617,-4.64014,0.70455,0.1728,-0.88287
