material_id,formula,diel_ionic_pred_n0,diel_ionic_ale_n0
scn-0,SrMg2TaN,9.86,0.2988
scn-1,YMg12Cl3,10.3418,0.4286
scn-2,Ta2CuIO6,114.5662,11.668
scn-3,TlMoF4,20.588,1.1982
scn-4,MgGa2WO6,14.8934,0.7493
scn-5,RbCu7Bi2,3.726,0.2628
scn-6,Rb3TaO7,16.604,0.7073
scn-7,Sc3GaPb,12.4656,0.4098
scn-8,ZrAl5Tl,14.4394,0.724
scn-9,LiMg8Ta3,8.9525,0.5599
scn-10,ZrAs3Pb,26.5178,1.6569
scn-11,LiMg3Ta,12.8664,0.6233
scn-12,Mg9Ta3In,10.4937,0.7072
scn-13,Mg8NbTlV2,13.3643,0.7876
scn-14,Sr2Mg6NbIn,21.094,1.0192
scn-15,Ti3(BiO2)4,37.7296,2.123
scn-16,Ca2ScNbAl6,11.6926,0.3772
scn-17,Mg5TaAs,15.5286,0.9617
scn-18,Rh2SO2,9.8742,0.8178
scn-19,Mo2Pb2O7,42.0668,3.686
scn-20,Nb3Al8Ag,13.1733,0.4305
scn-21,Ba3(Mg4As)2,8.906,0.2453
scn-22,Mg11(Ti2Bi)2,7.2104,0.2661
scn-23,SrMg12TiNb2Bi2Pb,9.2046,0.4312
scn-24,Ca7HfTlCd,13.1945,0.352
scn-25,Rb2YTaO7,12.1197,0.9526
scn-26,Mg6NiPb2W,16.2214,0.7509
scn-27,OsPb3F5,12.3439,0.4512
scn-28,TcO3,6.7354,0.2382
scn-29,TiSbO3,13.063,1.0721
scn-30,Y3TlGe,12.0995,0.2986
scn-31,Sr3Hf2Mg7,15.0851,0.6129
scn-32,Sr2YMg6Ta,13.4444,0.555
scn-33,Na2Mg4GePb,10.2134,0.4033
scn-34,MgBiO,36.0193,4.4652
scn-35,RbScO3,18.5472,0.6956
scn-36,Tl2HgCl,24.1334,1.4037
scn-37,Ba3Ca15HfNb4,9.1504,0.3456
scn-38,Na2Al7CrNi,10.8331,0.336
scn-39,TcPbO4,19.13,0.8814
scn-40,Li2Ti3Al8Zn,12.3983,0.5344
scn-41,TaRu3O7,13.1859,0.5971
scn-42,Na2Mg13Ti6,10.7078,0.4836
scn-43,Sr2TaAuO6,62.1337,2.9705
scn-44,Mg7TaPb,5.3176,0.3126
scn-45,Mg5Ta2,8.2829,0.3603
scn-46,Mg5V2,18.9124,1.5832
scn-47,SrMg3Ti,12.8402,0.6961
scn-48,Na2ZrCl3,8.3025,0.3108
scn-49,Ca2TaGaSb6,15.2116,1.124
scn-50,Na9(Ca2Ta)2,10.2452,0.3749
scn-51,KNa(Mg3Nb)2,7.0274,0.4146
scn-52,LiTaTc5Ge,17.4449,1.8008
scn-53,Na2Mg7W2,11.55,0.8524
scn-54,CoSi2As2O7,5.2309,0.322
scn-55,Nb2V2MoO11,61.1443,2.6767
scn-56,Mg6TaFePb2,19.2578,0.7933
scn-57,K4Mg34Nb8SiP4,8.7276,0.5561
scn-58,Sr(Nb3Al8)2,9.5777,0.495
scn-59,HfMn5Tl,18.3214,0.7549
scn-60,Tl3BrF6,34.619,4.7363
scn-61,TaOsNO2,20.2657,0.9203
scn-62,CsRb2YAl6,4.1169,0.2328
scn-63,Mg4Sb3I,11.9736,0.5528
scn-64,Hf4GeTe7,7.9308,0.2817
scn-65,AlNiN2F7,8.5551,0.3417
scn-66,K2CaMg7Ta2,11.8766,0.5782
scn-67,Mg13(NbSb)3,9.3434,0.2924
scn-68,CaMg7Ti3,14.025,0.6066
scn-69,Al5Tl,18.3756,1.8517
scn-70,KNb5Pb2,16.1665,1.0912
scn-71,Ba3YNb4O15,49.1678,2.8774
scn-72,Sr4Mg9Ta2,20.4891,1.1585
scn-73,Ca(Mg3Nb)2,13.2633,0.5863
scn-74,K4Ga5O12,6.6623,0.3143
scn-75,Cs2LiSc6In,7.5759,0.2561
scn-76,Ca5TaNb,13.9499,0.6592
scn-77,CsY3Pb,15.9034,0.5536
scn-78,Mg3ScAl,16.3767,0.6551
scn-79,Li2MgO8F3,4.6962,0.3047
scn-80,Rb2Ba5Cl2O9,9.4354,0.3705
scn-81,RhBrF3,2.5373,0.2291
scn-82,KMg13Nb4As,11.567,0.7804
scn-83,Mg6Ti2Cd,10.4491,0.3828
scn-84,Li2Mg5Ti2,11.7686,0.3954
scn-85,CaY3Tl,13.9048,0.4466
scn-86,KCa2Ta3Al10,11.032,0.6067
scn-87,MgSc12Ti(NbPb2)2,10.7174,0.6352
scn-88,Ba2TaOsO6,28.2588,1.4972
scn-89,RbAl7Tl2,15.2848,0.8973
scn-90,KNaMg5NbO,11.9471,0.5689
scn-91,K3B2(SbO4)3,5.4479,0.195
scn-92,LiRhO3,2.4427,0.5694
scn-93,Ba2SbO4,25.9805,1.3579
scn-94,Mg8Pb5I2,8.5226,0.391
scn-95,CaTlS3,13.6795,4.9611
scn-96,KY3Al10,8.4457,0.2085
scn-97,RbTl5Cl4,38.5582,4.1932
scn-98,Ca2TlAs,10.4287,0.1915
scn-99,Sr5Mg19Ti7,8.8459,0.381
scn-100,Na15Sr5Ta4,6.7113,0.8938
scn-101,Sc2NbF,12.2124,0.5241
scn-102,Sr7TaBi3,8.35,0.2918
scn-103,TlSnCl4,51.192,5.5761
scn-104,Rb3TaO7,8.9624,0.3098
scn-105,Al3TlGe,13.4675,0.7457
scn-106,BaLi2Mg7Ta2,17.378,0.6687
scn-107,Mg6Ta2Sn,9.7151,0.2586
scn-108,Li2Mg6O13,5.2361,0.3703
scn-109,Ba(Po3O8)2,10.0273,0.3837
scn-110,Fr2TaGaO6,17.4836,1.091
scn-111,Ba3ZrTa4Mo15,20.5502,2.879
scn-112,Mg6Nb2Zn,12.9116,0.6909
scn-113,ScSb(ClO3)2,14.8132,1.3167
scn-114,Ba3Mg7Zr2,16.0489,0.8008
scn-115,Ca2Mg6TaAl,17.6033,0.6569
scn-116,KNa(Hf3Nb)2,6.3762,0.5104
scn-117,NaTi2CdO6F,37.1907,9.1075
scn-118,Sr(Mg2Al)2,11.1671,0.3767
scn-119,SrSbI,7.3149,0.2216
scn-120,Sr6Nb2Ni,13.1556,3.0991
scn-121,BaSb4O11,8.0511,0.3274
scn-122,KRb2Ca6Sc,11.556,0.5008
scn-123,TaNb2CrO6,63.6281,3.6289
scn-124,Ba3NaTiWO9,40.5023,2.379
scn-125,NbAsO3,17.4833,1.0769
scn-126,Sr2Mg6ScTa,20.9511,1.0938
scn-127,Ti4W2O9,17.3615,0.9925
scn-128,Sr3(Mg4Ta)2,9.1382,0.3405
scn-129,Na2Mg2O5,4.8672,0.1987
scn-130,Ca7(ScGe)2,9.4958,0.3893
scn-131,SrCa(Mg3Nb)4,9.2853,0.3563
scn-132,TlSb3F10,25.3866,1.5087
scn-133,Mg3GaPb,10.4717,0.3574
scn-134,Na6MnPb2,8.4987,0.4457
scn-135,Sr(TaAl3)2,16.0849,0.6047
scn-136,Mg6TiZnBi2,10.9082,0.4362
scn-137,Li2CaMg7Ta2,15.6925,0.6866
scn-138,Ra4Pb3O13,20.4171,2.4432
scn-139,Mg6Tl2Sn,11.7223,0.5839
scn-140,K2O5,4.734,0.2653
scn-141,CsBa2NbO6,28.8677,1.8577
scn-142,RbTl2AsF6,21.1559,1.4648
scn-143,Y(Mg3Ta)3,10.0225,0.5226
scn-144,LiBi4Pt3O14,8.8803,0.3054
scn-145,Ta3RhO9,50.1639,3.4136
scn-146,BiW2F7,5.2407,0.271
scn-147,CsBiBr3,41.9559,3.6095
scn-148,NaCaTaTiCl6,3.844,0.2517
scn-149,CaMg6Ti2Pb,9.9072,0.4048
scn-150,Ba3Mg9Ta2Zn,13.3011,0.5536
scn-151,Mg7Ti3Pb,7.3432,0.3243
scn-152,Mg7Pb4I,28.5186,0.9628
scn-153,Sr2Ca6ScTa,17.4937,0.6783
scn-154,Ba2Mg6TaCr,19.7794,0.8363
scn-155,Li2CaTa2Al7,16.8776,0.5145
scn-156,Ni3SnO4,8.6346,0.4325
scn-157,LiNbIn6W,9.0236,0.4336
scn-158,Ca(ReO3)2,14.4146,0.7143
scn-159,Al3PPb3O4,21.6197,0.4367
scn-160,CaMg7ZrSn2,11.7176,0.3024
scn-161,SrTa6Nb2(Bi2O9)3,97.8465,2.3837
scn-162,Sr2Cu7O16,6.8947,0.2248
scn-163,Ca(WO3)2,63.2308,3.7847
scn-164,Sr5Cl4O15,7.5411,0.2764
scn-165,Mg8Ti3Ge,10.5934,0.4159
scn-166,Ta3GeO9,34.6225,1.9404
scn-167,Mg5MoPb2,12.2761,0.5995
scn-168,Ca5Ta2,22.9741,1.1791
scn-169,Sr3Zr2Sc7,8.2049,0.3807
scn-170,Al6CoPb2W,10.5917,0.4119
scn-171,Sr4Sc15Ti3Nb2,7.4475,0.3989
scn-172,Mo(ClO2)2,5.5715,0.9048
scn-173,PbW,18.5059,0.5439
scn-174,SnPF4,39.367,46.6471
scn-175,Hf6Tl3Cr,18.6625,1.1753
scn-176,Ba5Ir4O15,14.7029,0.6388
scn-177,Nb3PO8,55.6801,2.5182
scn-178,K2Mg3Zr,16.6075,0.623
scn-179,Ta2Al9Te2,8.2064,0.4752
scn-180,CaAgBiCl2,20.952,1.0177
scn-181,Ca4Mg9Ta2,13.372,0.4497
scn-182,CaAlIrO5,6.1499,0.6938
scn-183,Mg8ZrSi2,14.7277,0.3947
scn-184,Mg8TaTlV2,14.4736,0.8318
scn-185,Ca16Ti(Bi3P)2,10.6898,0.2221
scn-186,SrLi2Mg7Nb2,12.514,0.4809
scn-187,Ca4Mg9Ta2,18.6108,1.1417
scn-188,Ca3Mg12Nb4F2,10.8092,0.514
scn-189,SrHfMg3,16.2302,0.7463
scn-190,K6NaNbW,5.4945,0.2814
scn-191,Ca2TaInGe6,9.6653,0.4961
scn-192,Li4Ti11Pb24,22.9847,2.5099
scn-193,BaTa4W11,13.5732,0.5744
scn-194,Mg5Sn3I,16.6213,0.7048
scn-195,Ca2Mg6ScTa,17.8577,0.8802
scn-196,Sr5Ta4Al15,5.7661,0.2729
scn-197,Sc4TaSb,10.5894,0.3503
scn-198,Mg10TiV2Cr,12.0998,0.5003
scn-199,Ca5TiNbTl,11.5792,0.4155
scn-200,BaNO3,39.0101,2.3763
scn-201,BaMg3Zr,13.9844,0.7432
scn-202,TiV3OF5,8.3694,0.377
scn-203,TlRuF3,14.4857,0.743
scn-204,Sr3Ta2InO9,72.1873,14.2731
scn-205,TaAsO3,19.9003,1.1693
scn-206,Mg6Nb2Pb,8.903,0.4609
scn-207,BaMg3Tl,13.9394,0.7788
scn-208,Cs2Ba(WO4)3,19.7134,1.1453
scn-209,Sr2NbIn7,14.532,0.7587
scn-210,CaMg3Zr,15.0797,0.728
scn-211,Mg11(TaMo)2,10.1975,0.5109
scn-212,Na2SrTa2Bi7,30.6994,3.2719
scn-213,Rb3YMg6,5.513,0.313
scn-214,HfMoO3,17.8144,1.1719
scn-215,Ba2Mg6TaAl,16.0585,1.2106
scn-216,NaMg3Nb,12.8428,0.5866
scn-217,Sr2TaAl6Ga,14.7047,0.597
scn-218,Mg4TaBi,8.7195,0.4702
scn-219,K3YSc6,16.3465,0.7796
scn-220,CaHfAl3,17.0762,3.2612
scn-221,ZrP2O3,6.8861,0.3438
scn-222,K3TaO7,12.9548,1.1194
scn-223,ScIr3F6,6.4405,0.2291
scn-224,NaCaMg12Nb3Bi2,9.7233,0.4476
scn-225,NaNbAl3,11.2517,0.411
scn-226,SrZrCu2F8,6.273,0.2944
scn-227,Sr2Ta2Fe7,11.4817,0.5768
scn-228,VSnCl3,10.089,0.3951
scn-229,TiTl2(RhO3)6,6.9585,0.6131
scn-230,Mg13Zr5Sc2,8.49,0.4631
scn-231,Rb3ClF6,4.1273,0.2528
scn-232,CaAlHgO5,7.5892,0.2492
scn-233,CaMg11Ta4,16.4135,1.0937
scn-234,BaSr3Ti,24.5285,1.0984
scn-235,Mg5NbBi2F,10.4642,0.5133
scn-236,Y4Mg14Ti3Sn,11.9603,0.4297
scn-237,BaClF4,10.1387,0.826
scn-238,LiMg4SnP,9.4088,0.2362
scn-239,KMgWO6,13.3239,0.535
scn-240,Zr(Sc4Pb)2,12.605,0.4209
scn-241,BiRh7O19,2.4578,0.2117
scn-242,KNaCa12(Ti2Bi)2,6.9133,0.1932
scn-243,CsBiPt2O7,5.7712,0.2831
scn-244,Nb4VInO12,55.644,4.3812
scn-245,BaSr9Ti4,16.2481,0.4815
scn-246,Al5VMo,12.9841,0.4947
scn-247,Na2CaMg15(Nb2Bi)2,8.9187,0.3933
scn-248,Hf2InCl5,4.8455,0.2039
scn-249,SrMg3Zr,14.8904,0.5164
scn-250,Cs2Ru3F5,6.0774,0.2364
scn-251,Sr2Li2Mg13Nb4,15.3465,0.8862
scn-252,Ca5Mg15Ta4,12.5922,0.5972
scn-253,AgIr3O8,2.731,0.2012
scn-254,Li2HfMg3,9.4445,0.3416
scn-255,SrFeF3,10.5505,0.3993
scn-256,Cd4MoPt3O16,9.8278,0.9577
scn-257,ZrNbO3,18.3264,0.4669
scn-258,Ca3TiNbO9,40.5461,3.3156
scn-259,CsTl2CuF6,26.7277,1.9829
scn-260,CsMg2Sc,7.529,0.3611
scn-261,Al8Bi2Pb,25.2453,1.757
scn-262,AlPbF,10.7226,0.3679
scn-263,RbNa5TiNb,10.7372,0.6028
scn-264,Al2ZnF6,13.1652,0.8258
scn-265,LiMg3Ta,16.0779,0.8124
scn-266,Ti(TlCd3)2,14.4771,0.8904
scn-267,RaV3O10,87.2174,104.9914
scn-268,Ca(BiO)2,27.7692,1.315
scn-269,CsCa2CrO6,11.6613,0.3619
scn-270,LiCa2Mg10Ta3,12.6194,0.7061
scn-271,K4Nb(RhO4)3,4.6594,0.2102
scn-272,BaMg4W,25.9002,1.2339
scn-273,Mg5Bi3O14,13.8187,0.7599
scn-274,Mg4SnW,4.8717,0.2542
scn-275,BaHfMg3,14.2648,0.5621
scn-276,Mg5TiBi2,9.9997,0.4039
scn-277,Sr3Mg12Ta4F2,6.2739,0.3188
scn-278,Ba(NbAl3)2,14.1744,0.5684
scn-279,CsNa6NbW,4.4222,0.2754
scn-280,Y3Mg7Ta,18.0026,0.8923
scn-281,KMg6ScTl2,13.6462,0.7303
scn-282,Ca7TlBi2,8.5509,0.3009
scn-283,CaMg7(TaH)2,14.6809,0.8161
scn-284,Mg4Al2Ni,13.4636,0.4874
scn-285,TaCr2BiO6,25.6423,1.7035
scn-286,NaMg6Zr2Bi,8.8001,0.3355
scn-287,Ba4Na2Mg11W2,12.39,0.5757
scn-288,Si(ClF3)2,0.317,0.2569
scn-289,Rb2MgNbF5,5.4388,0.3291
scn-290,TiTlTeO5,21.9584,1.1587
scn-291,Mg4NbSb,8.4191,0.3131
scn-292,Mg3W,6.1304,0.4087
scn-293,Sr6ZrTiPb2,11.8474,0.4367
scn-294,CaBiCN,39.8738,2.371
scn-295,Na3TaO7,24.3494,2.6783
scn-296,FrRbO3,5.7509,0.1726
scn-297,Ti3Nb2Co(PbO3)6,71.9339,5.9024
scn-298,Na2PbWS4,43.902,109.4384
scn-299,TlSeCl4,13.0568,0.6633
scn-300,Sr5ZrHg4O15,19.1973,1.7278
scn-301,Na4NbBi,7.8254,0.2121
scn-302,Mg4TiGe,11.4911,0.3436
scn-303,Li4Mg4C,24.7739,1.6976
scn-304,BaMg3Ni,16.2854,0.5695
scn-305,HfMg6TiPb2,9.7922,0.4057
scn-306,SrTa2Bi2N9,10.2911,0.4434
scn-307,Zn2O3,5.046,0.3333
scn-308,Fr4Ti3O12,24.8614,1.0672
scn-309,Li4Mg4C,24.3841,1.615
scn-310,Ba3Ta2CrO9,45.1489,2.8371
scn-311,TiNbAl5H,22.0351,1.5355
scn-312,Li2Mg5Ti2,13.6264,0.4397
scn-313,Mg3W,14.486,1.0735
scn-314,ScClO2,25.7273,1.947
scn-315,NaZn2BiO6,8.9788,0.2997
scn-316,Ti2NbBiO6,47.2938,2.5131
scn-317,MgSnCl,10.2955,0.4037
scn-318,Ti2GeBiO6,49.8089,3.3712
scn-319,NaSr3Nb,20.1084,0.7248
scn-320,Ba3CaMg9Ta2,14.0765,0.4646
scn-321,NaCa2Mg10Ta3,12.0449,0.6475
scn-322,Li2Nb2AsO7,69.744,8.7551
scn-323,SrTa2Al7H2,17.7109,0.9523
scn-324,Zr(TlFe3)2,8.6065,0.3616
scn-325,CaMg3Zr,11.5159,0.413
scn-326,Mg4TlBi,7.1175,0.3924
scn-327,TaAl3H,9.1802,1.2477
scn-328,NbBi3RuO9,20.8104,2.7819
scn-329,Ca2Bi4I5O18,12.8197,0.9604
scn-330,CaMg9(TaBi)2,12.3165,0.585
scn-331,NaHfNb2O7,102.1392,52.0071
scn-332,V2WO4,9.0398,0.5569
scn-333,CaMg2Nb2O7,82.0604,7.5933
scn-334,K7(TiBi)2,7.9815,0.2864
scn-335,BaNaMg3,25.6373,1.0204
scn-336,Ba2HfMg4,13.1853,0.459
scn-337,CaZrTa2O8,63.7794,3.7407
scn-338,Mg3W,13.0045,1.7538
scn-339,Mn7Sn3O20,17.6242,0.8611
scn-340,Mg3TaAg,14.8705,0.7175
scn-341,Sr2Mg7Nb2,15.0496,0.5724
scn-342,Zr2Nb2(AtO4)3,19.9104,1.5095
scn-343,TlCu2N,11.4087,0.8217
scn-344,NaTaAl3,9.6881,0.3589
scn-345,Nb2Al9Bi2Pb,24.5898,1.7817
scn-346,LiMg6TaW,7.9067,0.4823
scn-347,Mg6Ta2Pb,13.5377,0.6691
scn-348,NaMg6TaW,10.6537,0.6653
scn-349,Ca(Tl3Te2)3,213.8863,42.6097
scn-350,LiNbCr3,14.7252,0.5115
scn-351,KTaAs6W,5.6364,0.2325
scn-352,Mg4NbBi,12.3745,0.6617
scn-353,Li2Ca4SnPb,11.0631,0.208
scn-354,Mg6Ta2Cd,13.479,0.6987
scn-355,Rb2Li3Sc5,5.3369,0.5598
scn-356,Ba2Mg7Ta2,12.6812,0.5704
scn-357,LiNbAl3,12.6191,0.4817
scn-358,Tl4As2O7,58.7071,17.9553
scn-359,Mg6TaBi,18.5565,1.0205
scn-360,Mg19(Ta3Pb2)2,3.7893,0.3175
scn-361,RbMg5TaTi,9.9094,0.6015
scn-362,NaTiAs2OF5,5.922,0.2602
scn-363,Sr2Mg4Ti,13.2471,0.506
scn-364,ScTcO,18.3444,0.8849
scn-365,Ba4Sr(ClO3)5,16.5113,0.8669
scn-366,Ba3CdCu2O9,17.3891,1.5764
scn-367,Mg7(NbCd)2,9.2765,1.7402
scn-368,Li3Mg4FeO,9.9619,0.2711
scn-369,Ca2Mg8Ti3,13.6839,0.4874
scn-370,Rb2NaTiAl5O,5.2226,0.34
scn-371,Ba8TaBi,19.0228,0.5311
scn-372,ZrMo3F7,5.3856,0.2434
scn-373,MgPbCl,18.1536,0.5615
scn-374,Mg15ZrTi4Pb5,11.7619,0.5953
scn-375,K2Mg5NbO,7.2084,0.3004
scn-376,Ba3Ta3Zn2O14,92.3332,7.7961
scn-377,Rb3MgTiF5,6.2723,0.2923
scn-378,KCa5TaTi,14.1922,0.4902
scn-379,CsHfBr3,5.5978,0.2302
scn-380,Zr2Ti(Zn3Pb)3,12.8784,1.1607
scn-381,NaMg8Nb3,7.0213,0.3319
scn-382,Mg9Nb2ZnPb3,16.38,0.6056
scn-383,SrMg9(TaBi)2,10.9368,0.3124
scn-384,Na4Mg16Ti7,8.2815,0.3538
scn-385,Zr2Al7Bi2,5.6279,0.2619
scn-386,Y2Hf2Mg7,10.5671,0.5047
scn-387,Ta2Mn2Al7,8.9261,0.8144
scn-388,Mg10Nb2Pb3,15.6808,0.5627
scn-389,BaTa2S2O9,46.9864,2.8016
scn-390,Ca5TiTlWF,8.199,0.3133
scn-391,Ba4LiZn3O12,20.1599,0.7926
scn-392,Hf2W2O7,97.2988,9.1371
scn-393,Ti3Ga2O9,74.6565,9.6256
scn-394,RbMg9Ti3Nb,6.2946,0.502
scn-395,ClF2,2.5041,0.3146
scn-396,Li4Mg8Ti3,11.3755,0.415
scn-397,HfSnSb4,28.4237,4.5685
scn-398,Ba4Ta3ZnO12,71.3294,7.3995
scn-399,Ba4Nb2As12W,9.6859,0.4461
scn-400,BaTi2Al5,11.6007,0.4051
scn-401,NaCa2O4,18.9064,0.7483
scn-402,Ba3Al9In2W,8.7586,0.3315
scn-403,TiAl3Pb,16.6871,0.8858
scn-404,Sc3TlGe,10.9966,0.3742
scn-405,Ca7(TaPb)2,6.6378,0.3304
scn-406,Na2MgVFe7,10.9662,0.4292
scn-407,Ba3SrSn2O9,16.5583,0.6383
scn-408,Nb2Co2O7,68.3176,7.006
scn-409,BaMg3Zr,19.4983,0.9277
scn-410,Mg4TiNbTlF2,11.2957,0.386
scn-411,KMg18Nb4Bi5,10.4796,0.4146
scn-412,Mg3Sn2I,23.7441,0.8398
scn-413,Hf2BiO6F,78.0721,10.8577
scn-414,KYMg7Ta2,11.5656,0.6757
scn-415,NaSr3Nb,15.5541,3.2045
scn-416,Na2Al8Zn,7.5713,0.3446
scn-417,Na2Sr5Ti2,23.0905,1.0274
scn-418,Sn(PCl3)2,8.0657,0.3809
scn-419,Cr10Pb9O4,10.8014,0.4415
scn-420,Cs2RbYAl6,4.2205,0.2355
scn-421,NaMg3Nb,11.9325,0.6213
scn-422,SrMg9(TaBi)2,14.1474,0.5217
scn-423,Cs2TiPOF5,5.9217,0.2469
scn-424,Na2FeIF7,14.7127,1.2639
scn-425,Mg4Sb,9.2261,0.3954
scn-426,Ca2Al7CoSi2,10.5764,0.2914
scn-427,KNb(IO3)3,9.688,0.4629
scn-428,Cs5NaNb4O18,36.9988,2.2822
scn-429,Ca2Mg7AlH2O,9.4514,0.3454
scn-430,CuPbF4,13.9641,1.1433
scn-431,Mg6NbTlW,9.5627,0.5483
scn-432,Ca4ZrSn,10.0487,0.2973
scn-433,Ta4Zn11Pb,15.1703,0.9411
scn-434,NiGe7OF7,7.207,0.365
scn-435,Mg4TiSn,9.8157,0.2803
scn-436,K2RbScAl6,4.593,0.26
scn-437,Ta2Ru2O7,77.8554,14.7059
scn-438,Na8TlBr9O4,5.1059,0.2229
scn-439,K3ZrSe5O,6.8343,0.2215
scn-440,Na4I5O12,4.6987,0.2791
scn-441,NaMg18Ta4Bi5,8.9708,0.3951
scn-442,LiMg4Cl,9.9904,0.2895
scn-443,Hf(GaO2)2,26.345,1.8947
scn-444,Sr2CaMg6Mo,13.0432,0.4277
scn-445,FePbF,15.0801,0.6666
scn-446,Cs2TaAsF5,5.4394,0.3123
scn-447,CsK2NaOF5,7.6176,0.3859
scn-448,Nb4V5O15,22.7214,1.4149
scn-449,InPbO3,16.2056,0.5587
scn-450,Sr3Mg9Nb2Zn,13.2546,0.5395
scn-451,K3Mg7Zr,4.5482,0.2891
scn-452,CaPbO2,22.1457,1.8055
scn-453,ZrPoO3,21.1076,1.581
scn-454,Mg2Ta2O7,64.4834,9.8621
scn-455,Ca7(TaCd)2,8.0707,0.4976
scn-456,NaTaCl3,6.6038,0.5018
scn-457,Cs2RbPdOF5,5.3977,0.1991
scn-458,Ca3ZrOF5,13.1759,2.1882
scn-459,Rb2NaHfMg5O,3.0406,0.4211
scn-460,ScCdO,14.5773,1.5321
scn-461,Sr2Mg4Zr,11.8495,0.372
scn-462,Sr2AsWO6,118.6823,24.6395
scn-463,Mn2PbO6,14.0573,0.6064
scn-464,Li2Nb5(PO5)3,98.875,6.9266
scn-465,Cs2NaHfMg5O,3.0538,0.3335
scn-466,KZrV2OF5,7.8322,0.3713
scn-467,LiCaTa2Sn6F,10.2336,1.1101
scn-468,Cs2ZrVOF5,8.0436,0.319
scn-469,KHfAs2OF5,7.2355,0.2474
scn-470,Rb2NaReOF5,5.1903,0.2762
scn-471,KZrP2OF5,5.105,0.2351
scn-472,Cs2RbMgZrF5,6.437,0.2803
scn-473,Rb2ScSeF6,7.864,0.2773
scn-474,Na2CrAsF7,9.8958,0.8861
scn-475,Ba3(Mg5Nb)2,13.1497,0.5428
scn-476,Cs2Mg12TiW3,4.5203,0.3593
scn-477,Sr4Mg9Nb2,15.2226,0.4971
scn-478,Cs2KReF6,4.1919,0.1888
scn-479,Cs3MgF6,9.4251,0.8266
scn-480,Ba3SrHf9Nb2,8.3215,0.3289
scn-481,CsSrTa3,6.5696,0.5663
scn-482,SrLiMn2O6F,11.1892,0.374
scn-483,Sr2CaNi6W,8.4309,0.3278
scn-484,Na2MgAsF7,13.9237,1.5014
scn-485,Se2SO5,4.8199,0.6009
scn-486,NaCaMg2Cr7,19.6317,0.6941
scn-487,Y12Pb7Cl2,11.4419,0.3281
scn-488,Na2Ca7MgAl,16.5777,0.4916
scn-489,Fr7(BrF6)2,9.0699,0.5085
scn-490,Cs3YSc6,13.9651,0.7942
scn-491,Na2ScReF7,25.6342,3.7712
scn-492,Mg6TaTlW,16.0499,0.952
scn-493,SrCuNO2,7.7593,0.2251
scn-494,YSc3O12,11.3072,0.6259
scn-495,K2VF,10.4565,0.3595
scn-496,LiMg6Ta2Cu,15.0206,0.6967
scn-497,Mg4TlBi,13.0826,0.6545
scn-498,MgCr(PbO3)2,17.8317,1.1203
scn-499,Bi3WF10,22.1355,1.0335
scn-500,Ba6Na2Ta2V2Cu17,9.7965,0.3844
scn-501,GaFeCl3,6.5335,0.2671
scn-502,Ta3Al9In,14.7125,0.5831
scn-503,NbTl(VBi4)2,74.9843,5.7382
scn-504,Sr2InNO6,12.7218,1.4012
scn-505,Li4Mg8Ti3,15.1528,0.7588
scn-506,KBa2TaO6,23.8379,1.558
scn-507,Mg2Bi2S,30.7069,2.4685
scn-508,Nb2Al7Pb2,8.1456,1.4812
scn-509,BaNa4W,12.68,0.82
scn-510,ScPbBr,23.0237,0.8238
scn-511,NaMg5TaGe,12.0427,0.5063
scn-512,Ti4In11Bi2,15.5823,1.1802
scn-513,Cs2MgScPbF5,10.2297,0.4402
scn-514,SrTiCd2Bi2PbO12,13.0316,0.6347
scn-515,TaMo3O7,28.2678,1.3491
scn-516,HfCrCdF7,7.5519,0.2656
scn-517,YMg7TaBi2,4.9969,0.2662
scn-518,Mg4TaBi,10.1235,0.3637
scn-519,S3IF5,3.384,0.3514
scn-520,MnGeBr3,15.0272,0.9071
scn-521,CsSr2YO6,12.5308,0.3242
scn-522,Na3PbS4,16.7015,0.6787
scn-523,CuBiO,29.9827,2.4992
scn-524,Ti3Bi2(RuO6)2,13.5551,0.8816
scn-525,BaSr(Mg3Ti)2,24.599,1.0453
scn-526,Ba2YMg6Ta,16.8149,0.6962
scn-527,CsV2InF6,5.5532,0.2143
scn-528,Sr2TaTcO6,15.9535,0.823
scn-529,Ba3HfMg15Nb4,8.6688,0.355
scn-530,Ba2TaPO6,33.8188,2.0239
scn-531,Na2Mg7CrNi,11.8172,0.4459
scn-532,Li2Ti3ZnAs8,4.2294,0.1861
scn-533,Na2Ca13Ti6,13.363,0.5659
scn-534,Ca4Mg9Ta2,11.1243,0.3998
scn-535,KBa6NaNb2,26.1873,0.7188
scn-536,LiTaBrO5,37.548,5.3685
scn-537,Na2Al7W2,10.5091,0.3908
scn-538,Sr2Si2SeO7,6.1545,0.2473
scn-539,BaNb2In2O11,49.6846,12.8035
scn-540,TaCd(PbO3)2,35.6235,4.1908
scn-541,Sr(Mg8Nb3)2,9.7502,0.4274
scn-542,NaScTiMn4,13.5244,0.6632
scn-543,TlInF5,16.7232,2.5286
scn-544,TaPdNO2,27.2386,1.0316
scn-545,Ca2Ti,16.8127,0.8337
scn-546,Na2Al8Ni,7.654,0.2784
scn-547,K2CaTa2Zn7,8.9281,0.5462
scn-548,Nb3Al13Sb3,8.7603,0.2733
scn-549,Mg4AlTl,17.7291,1.3526
scn-550,LiAl(IF3)2,6.8283,0.3813
