material_id,formula,diel_ionic_pred_n0,diel_ionic_ale_n0
scn-19039,Ti2ZnGaO6,53.8062,4.9319
scn-19040,Ba4Fe2W2O11,41.8416,2.1026
scn-19041,BaBiCO,29.5593,1.1254
scn-19042,Mg3Zr2O7,36.8685,3.0201
scn-19043,MgNb2In3(PbO3)6,34.442,1.2706
scn-19044,Pd4CO4,2.1219,0.3971
scn-19045,Li2Ti2In5,11.4378,0.3256
scn-19046,Na3BiO6,6.1675,0.2592
scn-19047,CaTa2Nb3O9,71.1468,13.5176
scn-19048,NaCa2Ta3As10,6.3445,0.4067
scn-19049,TlSF4,5.9119,0.2532
scn-19050,Rb3TiNbO9,15.3484,0.8713
scn-19051,RaF3,5.5976,0.3598
scn-19052,Ca2Ti5(Cu2O9)2,22.3208,1.3626
scn-19053,K3TlSn,7.0498,0.2847
scn-19054,NaCa3Nb,16.3211,1.1377
scn-19055,YV2Ga8Bi,12.631,0.5195
scn-19056,NaMoF3,3.775,0.2206
scn-19057,Ba2HfGe4,10.2435,0.5051
scn-19058,MgPb4F11,35.2723,2.4028
scn-19059,FrCaV2O8,42.4685,2.6954
scn-19060,Nb2AsO6,13.0462,0.9083
scn-19061,Sb(Te2P3)3,4.3194,0.4718
scn-19062,Li2SnSbS4,9.1901,1.7558
scn-19063,In2Pb,19.1825,1.0573
scn-19064,MgTaZn5Bi,15.7481,0.6817
scn-19065,Li2Ta2BrO7,94.9778,5.0845
scn-19066,RbTaTiRe5,19.935,0.7533
scn-19067,ScIBr,6.6612,0.3102
scn-19068,SrHf5Ru4O15,14.5956,0.7687
scn-19069,Ba3Hf9Ta2Cd,6.5324,0.3664
scn-19070,Rb3ReF7,5.5603,0.2477
scn-19071,K2Sr5NbO,17.6313,0.6153
scn-19072,Zr2Ti(AtO3)3,20.3034,1.3248
scn-19073,Na4Ta7O16,64.3661,7.0776
scn-19074,Zr2Bi2Ru7,13.2729,1.4965
scn-19075,Rb7(YHf)2,16.741,0.8392
scn-19076,KCa2TiOF5,43.3737,8.0308
scn-19077,Cs7(TaMn)2,11.941,1.0213
scn-19078,Ta7V(RhO3)8,19.8047,1.1953
scn-19079,BaI2O5,9.9548,0.3677
scn-19080,Ba3WCl2O9,17.2676,0.7041
scn-19081,Ga4Pb3O13,14.6296,0.5705
scn-19082,HfSn2F3,10.7972,0.3413
scn-19083,CsKTa2O7,47.5845,4.8336
scn-19084,NaNbGe3,5.1291,0.2898
scn-19085,At10Pb9O4,11.329,0.6153
scn-19086,NaNbAs3,5.123,0.193
scn-19087,CsSr3Ta,22.3243,1.0345
scn-19088,LiTaWF6,4.9465,0.2348
scn-19089,Ca2CoAs2O7,24.5541,1.5859
scn-19090,RuPbF4,22.8635,2.0945
scn-19091,NbTlVO6,78.9055,12.3271
scn-19092,Cs2KWF6,5.0829,0.2293
scn-19093,Ca2Se2O7,6.9912,0.3889
scn-19094,K3ZrCo5O,6.4445,0.3724
scn-19095,Ca2BrO4,19.4063,0.959
scn-19096,MgClF,7.39,0.3059
scn-19097,Cs2CaTaF5,5.7266,0.2774
scn-19098,AtPb,17.4422,0.9716
scn-19099,Ta2Zn7Cd2,8.144,2.1522
scn-19100,TaIO3,80.7955,12.473
scn-19101,RbHfRu2OF5,8.1121,0.3073
scn-19102,MgCrIrF6,7.2638,0.2673
scn-19103,Cs3TcOF5,5.1253,0.2296
scn-19104,LiCaCu2O6F,10.771,0.8052
scn-19105,Cs2NaZrNi5O,6.5272,0.4681
scn-19106,Rb2NaZrV5O,5.7413,0.5883
scn-19107,NaZrAg2OF5,12.6111,0.7082
scn-19108,Na2MgCrGa7,8.9322,0.2789
scn-19109,Cs2HfCd3O12,9.8877,0.5287
scn-19110,SrHfMg2F7,9.1096,1.2343
scn-19111,Na3ScSe6,6.5784,0.1988
scn-19112,FrSr2CaO6,12.5354,0.7777
scn-19113,HfTa2O4,34.4131,4.2911
scn-19114,Na2MgAlO7,9.0719,0.703
scn-19115,Na2ScNF7,48.5546,16.5472
scn-19116,YAl3O12,6.3266,0.8021
scn-19117,Na2Hf6Ta2V2O17,36.591,1.7715
scn-19118,RbZn2F7,8.0317,0.5249
scn-19119,ZrTaF5,6.9643,0.3193
scn-19120,RaSr2YO6,16.6295,0.505
scn-19121,TlV2PbO8,15.7532,0.6124
scn-19122,GaWO3,16.2806,3.2207
scn-19123,TaGa5As,5.7292,0.4252
scn-19124,MoPbF,14.3973,0.8907
scn-19125,Na2GeO5,5.696,0.2144
scn-19126,Nb3PdO8,66.4524,6.1062
scn-19127,Ba3(Ge4As)2,8.7866,0.2406
scn-19128,SrTiBi2Ir2PbO12,15.0414,1.0104
scn-19129,TaCrBi2O7,41.4094,6.9539
scn-19130,P5Pb3I,46.3257,8.2155
scn-19131,TlGeMo3,29.346,2.0334
scn-19132,Mg3PbS4,29.7124,1.674
scn-19133,Tl2InAsF6,20.1596,1.2646
scn-19134,Na2TlCrF7,35.3026,5.358
scn-19135,BaNaNbTcO6,21.3424,1.0027
scn-19136,Li2Ti3ZnGe8,3.8723,0.2507
scn-19137,Ca2O5,8.8017,0.3673
scn-19138,KRb2NaO6,4.4473,0.3193
scn-19139,Y2W2O7,16.0722,0.6566
scn-19140,Ba3V2O11,27.4712,1.8005
scn-19141,K4Ca34Nb8SiP4,9.8564,0.3615
scn-19142,K2Ta2PtO7,66.8531,11.0174
scn-19143,SrScTaO2,44.8532,5.1368
scn-19144,LiTaGeRu5,19.8787,1.0264
scn-19145,Na2AlGeF7,13.5103,1.8793
scn-19146,Nb3N3O13,47.9406,8.1034
scn-19147,CaAlF4,6.3844,0.3704
scn-19148,Fr3Ta2O8,17.7974,1.3111
scn-19149,KFe5Pb2,16.2824,1.1483
scn-19150,TaGa(ReO3)2,16.4671,0.8937
scn-19151,TaNbCo5,20.0377,1.3826
scn-19152,MgPbCl3,49.438,3.0829
scn-19153,Ba3MgWSeO9,22.0586,0.9216
scn-19154,Na6Ti2Cd,14.6261,0.6846
scn-19155,TiClO3,48.1582,7.2458
scn-19156,Li2Ir2O5,3.8823,0.1964
scn-19157,CaTlP3,17.1311,1.1338
scn-19158,Li2CaTa2W7,10.5407,1.568
scn-19159,BiPO,116.75,17.2205
scn-19160,Mg2NbInO7,25.9172,5.333
scn-19161,NbCo3O7,23.9806,1.5191
scn-19162,Mo8Pb5I2,22.2968,1.9034
scn-19163,GaSb(PbO3)2,25.3638,2.9119
scn-19164,Sr3AlBi,8.411,0.8438
scn-19165,Li2Cd6O13,7.2489,0.2838
scn-19166,Ba3Y15ZrTa4,7.6789,0.3433
scn-19167,Rb2SeO2,6.489,0.2613
scn-19168,Ca2AlFeO6,13.9641,0.6913
scn-19169,NaNb2AlO6,25.7153,2.5172
scn-19170,BaTi2CdO6F,75.6353,14.3886
scn-19171,Sc2Ge2Br7,5.3101,0.7927
scn-19172,Ba2Sr6TaTl,19.0409,1.0478
scn-19173,TaV3O4,14.4324,1.0195
scn-19174,Mn(AuF3)2,3.4101,0.1938
scn-19175,ScTa2O6,37.6869,1.8573
scn-19176,TiBi2SbO6,57.2966,6.2043
scn-19177,Nb4Bi3O13,63.6568,7.7608
scn-19178,K9YTa3,8.9175,0.5513
scn-19179,LiBi4At3O14,14.7164,0.5863
scn-19180,Tl7BiPb2,42.3506,2.2468
scn-19181,NaCaTiCrO6,24.266,2.6061
scn-19182,Ge4IF7,9.2603,0.5574
scn-19183,K2Li2CaO7,15.3426,0.6133
scn-19184,Sr2Zr7P16,5.911,0.2008
scn-19185,Ti3Ga8Ge,10.2417,0.3458
scn-19186,Cu2MoO5,8.807,0.722
scn-19187,Zr2Tc3O7,13.4955,0.9166
scn-19188,Hf4Ta2O9,29.6849,1.6208
scn-19189,TlV2AuO8,11.6573,0.3975
scn-19190,Ca4As2O9,10.5547,0.4525
scn-19191,Ba3Nb4(O6F)2,52.2391,2.6253
scn-19192,SrY3Hf,16.2157,0.661
scn-19193,NaGeWO6,9.7822,1.5362
scn-19194,TaZn2InO6,26.6475,2.0808
scn-19195,Li4Ca11O24,9.8124,0.3122
scn-19196,Cs6Ca2ScTa,22.651,0.8518
scn-19197,Sr5Ta4Sn15,9.2552,0.7677
scn-19198,TiV2CrGe10,10.3815,0.5678
scn-19199,CaNbTlO5,34.4145,1.5552
scn-19200,SrMoF3,6.8894,0.2898
scn-19201,Sr2NbReO6,27.0466,1.8687
scn-19202,Sr11(TaMo)2,10.3348,0.5838
scn-19203,MgTaNO2,37.2391,1.8759
scn-19204,Ca5Ta4Zn15,12.2674,0.4668
scn-19205,SrMg2ZrF8,7.7317,0.737
scn-19206,SrHf4O11,18.6215,1.1154
scn-19207,Ba2Na(NbCo3)5,14.0409,0.7819
scn-19208,K5NbBi2F,7.6506,0.2553
scn-19209,Na3Y4Nb,8.5753,0.7467
scn-19210,BaMgZn4,19.228,2.7835
scn-19211,CsNaTi2(SiO5)2,22.3437,2.038
scn-19212,CsNb2Co7Bi,8.0843,1.1515
