material_id,formula,diel_elec_pred_n0,diel_elec_ale_n0
scn-125,NbAsO3,7.0139,0.2019
scn-126,Sr2Mg6ScTa,29.3408,1.1698
scn-127,Ti4W2O9,6.1098,0.1375
scn-128,Sr3(Mg4Ta)2,29.7503,1.4988
scn-129,Na2Mg2O5,2.9873,0.1361
scn-130,Ca7(ScGe)2,19.5627,1.2246
scn-131,SrCa(Mg3Nb)4,27.668,2.0369
scn-132,TlSb3F10,3.1334,0.1207
scn-133,Mg3GaPb,22.1531,0.9422
scn-134,Na6MnPb2,15.4434,0.7335
scn-135,Sr(TaAl3)2,21.0962,0.7711
scn-136,Mg6TiZnBi2,21.6207,1.093
scn-137,Li2CaMg7Ta2,29.5423,0.8556
scn-138,Ra4Pb3O13,5.0594,0.0928
scn-139,Mg6Tl2Sn,23.4226,0.5272
scn-140,K2O5,2.3785,0.1211
scn-141,CsBa2NbO6,4.2453,0.086
scn-142,RbTl2AsF6,2.9124,0.089
scn-143,Y(Mg3Ta)3,30.1471,1.0316
scn-144,LiBi4Pt3O14,7.0245,0.2129
scn-145,Ta3RhO9,6.3167,0.1513
scn-146,BiW2F7,3.9099,0.0994
scn-147,CsBiBr3,5.4202,0.2064
scn-148,NaCaTaTiCl6,4.1375,0.1514
scn-149,CaMg6Ti2Pb,28.0158,0.7432
scn-150,Ba3Mg9Ta2Zn,32.493,1.3763
scn-151,Mg7Ti3Pb,22.9952,1.0136
scn-152,Mg7Pb4I,14.7139,0.5057
scn-153,Sr2Ca6ScTa,29.1427,0.7267
scn-154,Ba2Mg6TaCr,32.0103,1.1636
scn-155,Li2CaTa2Al7,19.4975,0.6827
scn-156,Ni3SnO4,6.845,0.1711
scn-157,LiNbIn6W,24.8732,0.7254
scn-158,Ca(ReO3)2,5.2892,0.1161
scn-159,Al3PPb3O4,6.0733,0.1543
scn-160,CaMg7ZrSn2,19.2526,0.5618
scn-161,SrTa6Nb2(Bi2O9)3,5.2576,0.1049
scn-162,Sr2Cu7O16,4.9191,0.1814
scn-163,Ca(WO3)2,5.208,0.1153
scn-164,Sr5Cl4O15,2.727,0.1214
scn-165,Mg8Ti3Ge,31.7711,2.2205
scn-166,Ta3GeO9,5.6249,0.1253
scn-167,Mg5MoPb2,21.1074,0.7897
scn-168,Ca5Ta2,38.3463,3.1626
scn-169,Sr3Zr2Sc7,33.9878,0.9412
scn-170,Al6CoPb2W,28.944,0.6252
scn-171,Sr4Sc15Ti3Nb2,36.5631,1.0735
scn-172,Mo(ClO2)2,3.4094,0.0958
scn-173,PbW,32.6726,5.9673
scn-174,SnPF4,3.6055,0.1121
scn-175,Hf6Tl3Cr,25.7463,0.8163
scn-176,Ba5Ir4O15,5.4546,0.2248
scn-177,Nb3PO8,5.1554,0.1109
scn-178,K2Mg3Zr,25.7096,1.6293
scn-179,Ta2Al9Te2,13.173,0.4185
scn-180,CaAgBiCl2,7.4401,0.1482
scn-181,Ca4Mg9Ta2,29.8007,1.3718
scn-182,CaAlIrO5,5.7663,0.2408
scn-183,Mg8ZrSi2,20.6391,0.5607
scn-184,Mg8TaTlV2,28.6053,0.6565
scn-185,Ca16Ti(Bi3P)2,10.8795,0.3705
scn-186,SrLi2Mg7Nb2,27.3542,0.9093
scn-187,Ca4Mg9Ta2,29.842,1.0715
scn-188,Ca3Mg12Nb4F2,14.1496,0.4605
scn-189,SrHfMg3,26.2858,0.6496
scn-190,K6NaNbW,8.5872,0.38
scn-191,Ca2TaInGe6,23.7105,6.534
scn-192,Li4Ti11Pb24,29.1903,0.6769
scn-193,BaTa4W11,12.6368,2.0099
scn-194,Mg5Sn3I,13.512,0.426
scn-195,Ca2Mg6ScTa,29.2501,0.9545
scn-196,Sr5Ta4Al15,27.8585,0.8282
scn-197,Sc4TaSb,26.6243,0.8337
scn-198,Mg10TiV2Cr,24.5885,0.7706
scn-199,Ca5TiNbTl,25.2044,1.1694
scn-200,BaNO3,3.5243,0.1292
scn-201,BaMg3Zr,25.6953,0.7042
scn-202,TiV3OF5,4.4899,0.1236
scn-203,TlRuF3,4.4644,0.128
scn-204,Sr3Ta2InO9,4.738,0.0924
scn-205,TaAsO3,5.7935,0.1412
scn-206,Mg6Nb2Pb,23.9248,1.5979
scn-207,BaMg3Tl,20.5853,0.969
scn-208,Cs2Ba(WO4)3,3.489,0.0916
scn-209,Sr2NbIn7,23.7563,0.7241
scn-210,CaMg3Zr,25.2342,0.6478
scn-211,Mg11(TaMo)2,27.0601,1.1422
scn-212,Na2SrTa2Bi7,21.4662,1.043
scn-213,Rb3YMg6,20.5607,1.4604
scn-214,HfMoO3,6.2011,0.1456
scn-215,Ba2Mg6TaAl,30.6639,0.8615
scn-216,NaMg3Nb,27.7519,1.2743
scn-217,Sr2TaAl6Ga,21.6655,0.8059
scn-218,Mg4TaBi,20.7151,0.9898
scn-219,K3YSc6,27.7481,2.4884
scn-220,CaHfAl3,21.4037,0.6146
scn-221,ZrP2O3,5.6502,0.1816
scn-222,K3TaO7,3.1041,0.1131
scn-223,ScIr3F6,5.2281,0.152
scn-224,NaCaMg12Nb3Bi2,24.2045,1.0616
scn-225,NaNbAl3,24.8548,1.0499
scn-226,SrZrCu2F8,3.0664,0.1157
scn-227,Sr2Ta2Fe7,32.9488,1.0732
scn-228,VSnCl3,5.1425,0.1261
scn-229,TiTl2(RhO3)6,7.4741,0.5196
scn-230,Mg13Zr5Sc2,24.5012,0.8569
scn-231,Rb3ClF6,2.2851,0.0985
scn-232,CaAlHgO5,4.6194,0.1316
scn-233,CaMg11Ta4,31.9646,1.1125
scn-234,BaSr3Ti,38.0982,1.4723
scn-235,Mg5NbBi2F,8.8359,0.2466
scn-236,Y4Mg14Ti3Sn,23.6741,0.4855
scn-237,BaClF4,2.8322,0.1385
