material_id,formula,diel_elec_pred_n0,diel_elec_ale_n0
scn-20873,Ti2ZnPdO6,7.132,0.3475
scn-20874,Ba4Ca2W2O11,4.7076,0.1035
scn-20875,NbCr2OF5,3.8686,0.101
scn-20876,BiSbCO,20.0012,1.4282
scn-20877,SnPb(WS2)2,12.2296,0.4232
scn-20878,MgGeO4,3.2327,0.0825
scn-20879,HfTi(Zn3Pb)2,30.6417,1.5818
scn-20880,SrTa2Cu2O9,5.2689,0.107
scn-20881,Na3GeO4,3.0011,0.0833
scn-20882,LiBi(NO3)2,3.3137,0.1283
scn-20883,CuBiF4,3.9383,0.1386
scn-20884,Ta4Re3(O6F)2,4.751,0.1731
scn-20885,Na3TaH,12.6817,1.3062
scn-20886,TiNb(Zn3Bi)3,25.4536,1.0045
scn-20887,Rb2TiCoOF5,3.0177,0.0789
scn-20888,FeCu4BiPb4O15,6.428,0.1292
scn-20889,MnInCl4,3.3793,0.0994
scn-20890,Ta2Bi2ClO9,5.4014,0.1164
scn-20891,Sr3Zr2(PtO6)2,5.4414,0.1262
scn-20892,NaTaSn3,25.1748,1.2039
scn-20893,Rb2TiZn3O12,3.3463,0.1556
scn-20894,LiTaPtO6,5.6592,0.151
scn-20895,ScTaWO6,5.74,0.1163
scn-20896,FrNbO4,5.0436,0.1023
scn-20897,Li2MoPbS4,6.3828,0.2213
scn-20898,Rb2Ga3F5,3.7143,0.1199
scn-20899,MgBiIO5,4.284,0.1416
scn-20900,As6Pb4O19,4.5129,0.1285
scn-20901,Hf2Ti3(AgO5)2,5.8767,0.1516
scn-20902,NaTl2SF6,2.8492,0.0866
scn-20903,Ba3Ta2OsO9,5.466,0.1074
scn-20904,Cd2I2O7,4.5334,0.1014
scn-20905,NaTa2SnO7,4.7316,0.0982
scn-20906,ZrTi4(Tl3Pb)5,24.7172,0.5428
scn-20907,Rb3CuOF5,2.6659,0.0764
scn-20908,KRbTaO5,3.0533,0.0804
scn-20909,CsNb3Sn,55.5487,11.5251
scn-20910,Ba9Sr(TaBi)2,23.6262,1.1825
scn-20911,Li4Ni3OF8,3.2253,0.1071
scn-20912,Na4Ti7Pb16,28.3685,0.7917
scn-20913,Rb2Y2O7,3.5081,0.0658
scn-20914,SrNb2(PO3)3,3.9667,0.1383
scn-20915,BaTa2Cd2O9,4.7082,0.0857
scn-20916,LiTa3(PbO3)4,5.871,0.1159
scn-20917,Ba4Nb2Al12W,24.1998,0.9989
scn-20918,Pt2Pb2O7,10.2041,0.3963
scn-20919,Nb2Cd9,29.0069,2.1673
scn-20920,KBi5(I2O9)2,5.6208,0.1688
scn-20921,KTa2SO7,4.3364,0.0936
scn-20922,RbTiAt2OF5,3.3338,0.0909
scn-20923,FrNa2AlF7,2.0376,0.0727
scn-20924,Pb9(Br5Cl2)2,5.0397,0.0861
scn-20925,NaRe2F7,2.4746,0.068
scn-20926,Cs2YReF6,2.7912,0.0772
scn-20927,Cs2NaCa5TiO,9.2792,0.4624
scn-20928,Na2MgCdF7,2.2662,0.0747
scn-20929,TcS,14.5959,0.8595
scn-20930,Ca2AlSn7H2O,15.2558,0.4969
scn-20931,FrSrF3,2.2655,0.0646
scn-20932,TlTe8Br9O4,4.8082,0.1214
scn-20933,K3ZrCr5O,18.5482,19.5196
scn-20934,NaTa4At5O18,5.3061,0.1229
scn-20935,SrClO4,2.4439,0.0905
scn-20936,CaBi2MoO6,5.4539,0.1119
scn-20937,Cs2NaTaF5,2.5043,0.0827
scn-20938,Ta5Nb4O15,6.4507,0.1713
scn-20939,HfSO3,5.3053,0.1752
scn-20940,Sr3Ca9Nb2Zn,38.7803,1.8238
scn-20941,K7(TaPb)2,9.6467,0.4959
scn-20942,Cs2Rb6HfO,5.6847,0.1395
scn-20943,ZrBr3OF5,3.3434,0.1207
scn-20944,Ta2Tc6Pb,24.328,1.6067
scn-20945,Rb2CaZrOF5,2.5112,0.0731
scn-20946,LiCaCo2O6F,4.6162,0.1496
scn-20947,CsScNb2F6,4.4593,0.0988
scn-20948,Cs2Cr(WO4)3,4.7649,0.1334
scn-20949,Ba3(NbCr4)2,32.9947,5.4725
scn-20950,Cr5Pb2S,25.3622,1.3444
scn-20951,Sn12Pb7Cl2,18.0615,0.6519
scn-20952,Na2MgAlGa7,14.7017,0.5545
scn-20953,Cs3Rb6Y,15.6985,0.5455
scn-20954,Na2ScInF7,2.4035,0.0681
scn-20955,Ba6TaMnNb,39.7183,13.1415
scn-20956,KHf6F25,2.4024,0.0892
scn-20957,Bi3SF10,3.4593,0.1339
scn-20958,LiS3O8,2.4058,0.119
scn-20959,Cs2NbTlO8,3.3245,0.1227
scn-20960,Fr2Pb2O7,5.6619,0.1607
scn-20961,Cs2ScCu5PbO,7.5755,0.336
scn-20962,InNi(PbO3)2,6.7823,0.1201
scn-20963,Pb(SF4)2,2.4411,0.1073
scn-20964,Ca3PbS4,6.3371,0.1593
scn-20965,KMgNb4O12,6.304,0.1248
scn-20966,Na2GePS4,4.4538,0.0935
scn-20967,Sr2Ta3PO11,4.5,0.0971
scn-20968,CrNiOs2F7,4.6337,0.1371
scn-20969,K3TaO7,3.1041,0.1131
scn-20970,Ca4Zr,28.2287,0.5675
scn-20971,K2Na2O7,2.306,0.1362
scn-20972,Sr2Hf2CoO7,5.5828,0.1842
scn-20973,BaNb2V2N11,11.8806,1.0807
scn-20974,Sr(Nb3Bi8)2,22.5504,0.7177
scn-20975,AlCo3F6,3.3345,0.1115
scn-20976,BaSr2TaO6,4.3603,0.0772
scn-20977,SrTaGe2N,24.9842,0.9129
scn-20978,TaAl(GeO3)2,4.6034,0.1032
scn-20979,BiTe2,25.1611,1.3984
scn-20980,K2Ta2CrO7,4.5086,0.1001
scn-20981,Nb3P3O13,5.0716,0.0818
scn-20982,LiTl2NF6,3.2996,0.1081
scn-20983,Ba3ZrNb4Ru15,28.3334,2.1233
scn-20984,Ca(PdO3)2,4.6804,0.1882
scn-20985,K4Re5O12,3.6487,0.0889
scn-20986,RuPbCl3,5.905,0.126
scn-20987,MgTi3(NO4)2,5.3293,0.1969
scn-20988,SeClO4,3.3944,0.1386
scn-20989,Li2Rh2O5,5.7293,0.1614
scn-20990,KNa10Ca2Ta3,19.4536,1.3878
scn-20991,Cs2Hf(Sc4W)3,32.3152,1.6676
scn-20992,MgTiNb2(TeO3)4,6.3909,0.1442
scn-20993,Ta3Nb3(BO6)2,5.5902,0.1241
scn-20994,Mg3ScF6,2.5162,0.0827
scn-20995,SrGa(PbO3)2,5.5066,0.1308
scn-20996,Sr5Ti7Cr19,36.7071,4.3954
scn-20997,Sr2NbF,7.3518,0.4238
scn-20998,ScZn6SbPb2,27.4074,1.2295
scn-20999,KNb2RhO6,6.7749,0.1972
scn-21000,Rb3YSc,18.2339,1.0038
scn-21001,Mg2NiO6,3.4051,0.2287
scn-21002,Ba2TaAl6Cr,23.5664,1.0816
scn-21003,Ti2S2O5,5.9903,0.2116
scn-21004,Ba2Y6TaTl,27.6251,1.1527
scn-21005,TaSb3O4,6.8714,0.2175
scn-21006,Mn(IF3)2,2.8652,0.0954
scn-21007,CsTi(BiO3)2,4.8917,0.0867
scn-21008,CaTa2S2O7,5.3331,0.1449
scn-21009,RbCa2GaF6,2.325,0.0727
scn-21010,Y(Sc3Ta)3,35.7426,1.398
scn-21011,Ba3Nb4O16,5.4253,0.1218
scn-21012,Tl2CoHg,27.2148,0.9654
scn-21013,NaCaTaPtO6,5.2742,0.1282
scn-21014,TaCr(TcO3)2,6.3226,0.1927
scn-21015,Li2CaSc7Ta2,31.237,1.1718
scn-21016,Ca(TaMn3)2,39.7798,2.2741
scn-21017,GeRh3O8,4.5337,0.2647
scn-21018,Sn2MoO5,5.3031,0.1485
scn-21019,Sr4Nb2Zn3O15,4.5741,0.1074
scn-21020,BaMg2Ta2O7,4.613,0.0999
scn-21021,Sr7O10,3.8237,0.0802
scn-21022,CaAlGaO5,3.2581,0.0831
scn-21023,Ta2Cu4O9,5.727,0.1217
scn-21024,Ca3Au4(O6F)2,5.1081,0.1296
scn-21025,Na18Ta6TiTl2,17.7705,0.9294
scn-21026,Li4Br11O24,3.0515,0.1535
scn-21027,Ga5Sn3I,17.3687,0.799
scn-21028,LiTaTe3,9.3085,0.2038
scn-21029,Nb2IO6,5.1949,0.1144
scn-21030,Ba2ZrTcO6,5.5557,0.1225
scn-21031,BaAsF3,3.3175,0.1074
scn-21032,Mn2Mo2O11,4.5781,0.1838
scn-21033,TaAl(AsO3)2,4.6871,0.1233
scn-21034,Ca2Ti2Re10SiGe,26.6602,2.1753
scn-21035,NaCaMn12Nb3Bi2,30.1201,2.0586
scn-21036,NaTaTiO6,4.6425,0.1386
scn-21037,TiNb6(TlV9)2,89.3961,3.206
scn-21038,Ca2Ti5(P2O9)2,4.5375,0.1289
scn-21039,Y4Ti3FeO14,5.509,0.1537
scn-21040,Na3PtO4,4.3437,0.163
scn-21041,FePb2F8,3.1538,0.0938
scn-21042,BaTi4Pb9,26.4307,1.1427
scn-21043,Ga2Sn,25.1086,1.5326
scn-21044,Na2CaCo4Bi2O15,5.5399,0.2832
scn-21045,TaV2InO6,5.3853,0.1146
scn-21046,Cs2At3F5,4.4983,0.1249
scn-21047,Y2WO5,4.3415,0.0863
scn-21048,Cd4Te16MoW3,11.4717,0.5056
scn-21049,Y8Bi2Pb,23.746,1.723
scn-21050,ZnAs2F6,2.9114,0.111
scn-21051,K6TiTl2,12.3482,0.6088
scn-21052,Ge2Bi2S,25.1913,1.1937
scn-21053,Cs10LiCa2Ta3,6.6551,0.4696
scn-21054,Hf3NbO7,5.6285,0.108
scn-21055,Fr3Mg2Nb3O14,4.8426,0.1229
scn-21056,CuSnO4,5.8343,0.2184
scn-21057,Ta7BiIr19,16.784,0.4621
scn-21058,ScTaW2O7,5.8118,0.1534
scn-21059,BaHfSn3,32.9,1.3388
scn-21060,SrIO3,3.2792,0.1118
scn-21061,Nb2CrO6,6.0509,0.1634
scn-21062,CsNbGe6W,16.9283,1.2099
scn-21063,TaRh3O7,9.1689,0.3222
scn-21064,KScAt2F6,3.0482,0.0916
scn-21065,Al2RhO4,4.8566,0.1392
scn-21066,MgZn(GaO3)2,4.2466,0.0937
scn-21067,FrNbO4,5.3227,0.1183
scn-21068,SrBiNO,7.0441,0.3333
scn-21069,ScSbBr,7.93,0.2088
scn-21070,GeMoO4,4.3337,0.1063
scn-21071,Sr12Ti3Bi4,16.7886,1.0018
scn-21072,Sr4Li4C,22.7832,0.6853
scn-21073,Li2Br2O5,2.9175,0.1585
scn-21074,BiMoF4,4.0021,0.1287
scn-21075,Ca3Ta4(SnO6)2,4.9071,0.1252
scn-21076,VCO3,3.3571,0.1563
scn-21077,AlBiCl4,3.6698,0.1282
scn-21078,CaBi2Sb2O9,5.9201,0.1805
scn-21079,Li2CaCl2O7,2.6815,0.1472
scn-21080,Ba3NaNb,35.6784,1.2939
scn-21081,BaHf9(NbBi)2,23.9906,0.9256
scn-21082,NaTaF3,3.5064,0.1047
scn-21083,Hf(SO2)2,4.4076,0.1501
scn-21084,Rb2CaZrO8,2.803,0.1479
scn-21085,Nb2Ga6Pb,24.0594,1.0879
scn-21086,Ti7Cu20Sn3,23.7223,0.4432
scn-21087,Ba3Nb3WO12,5.5754,0.1043
scn-21088,LiGaO3,3.7563,0.1381
scn-21089,RbTaTiPd5,7.7746,0.2915
scn-21090,K2TiCuOF5,3.0683,0.0809
scn-21091,NaSc(TlIr3)2,18.64,0.894
scn-21092,SrHf5W4O15,4.8997,0.1148
scn-21093,Ta2Cr3CdO9,5.699,0.1324
scn-21094,SrLi3FeF4,2.6315,0.0962
scn-21095,Ba2GeBiO6,5.3173,0.1257
scn-21096,Rb3RhF7,2.7032,0.0861
scn-21097,Ca5ZrTi4O15,4.8216,0.102
scn-21098,K2CdOF5,2.8377,0.1019
scn-21099,RbNbV6W,30.1502,3.7033
scn-21100,ReSnBr3,6.6039,0.1431
scn-21101,Zr2Ti(PoO3)3,4.9062,0.1116
scn-21102,SrTa2Bi2Mo9,23.3081,1.8124
scn-21103,Ti2Nb4(GaO3)7,5.4614,0.1451
scn-21104,SrCa9(NbBi)2,20.4131,1.2216
scn-21105,RbNa8Ta7O24,5.6811,0.1438
scn-21106,RbNb(IO3)3,3.8168,0.1324
scn-21107,Rb5BaTi2,11.9793,0.7255
scn-21108,Zr2Au2O7,7.3449,0.2414
scn-21109,FrMg2TaO6,4.3641,0.0926
scn-21110,Sc3Sn2Cl,10.2848,0.3166
scn-21111,Cs5KNb4O18,3.897,0.09
scn-21112,Fr4Pb3O13,4.2779,0.0907
scn-21113,CaSn2F3,4.3394,0.1302
scn-21114,BiI2O6F,4.5128,0.1637
scn-21115,KYBr2O7,3.3562,0.1054
scn-21116,Ti2I2O5,5.7295,0.1586
scn-21117,Sb9(Br5O2)2,5.1324,0.1741
scn-21118,SrTa2Bi2Mo9,22.7519,0.7661
scn-21119,LiWNO6,2.8046,0.099
scn-21120,BaYF3,2.7605,0.0872
scn-21121,NbTlCuO6,6.2619,0.1541
scn-21122,NiAs7OF7,5.9189,0.2209
scn-21123,Cs2Ta2O7,4.2389,0.122
scn-21124,TlMo8Br9O4,4.9465,0.1477
scn-21125,K3ZrPo5O,8.7178,0.2584
scn-21126,Na4Ca5O12,3.9004,0.1139
scn-21127,NaBi5(P2O9)2,4.1109,0.1064
scn-21128,Sr2CaCr6Mo,35.3234,3.312
scn-21129,Cs2PbOF5,2.6464,0.0813
scn-21130,ZrSO3,5.4379,0.1675
scn-21131,RbHfI2OF5,3.2367,0.0854
scn-21132,Rb2NaRuOF5,2.5116,0.0807
scn-21133,Sr2BiO4,4.6152,0.1008
scn-21134,Cs2NaHfZnF5,2.7945,0.0872
scn-21135,LiCaTa2BrO6,5.0246,0.1355
scn-21136,Sr4Ir2O9,4.6181,0.1551
scn-21137,Cs2Mn(WO4)3,4.7507,0.1388
scn-21138,SrNb5O9,6.4743,0.1269
scn-21139,CsSrCu3,8.5246,0.8323
scn-21140,SrLiCaTa2O6,4.9529,0.1452
scn-21141,Ca2Pb7F12,3.9433,0.0951
scn-21142,Cu2Pb7F12,4.3473,0.104
scn-21143,TaTlHg6W,22.6036,1.1059
scn-21144,SrY2TaN,18.1756,0.567
scn-21145,TaCr3O7,5.6952,0.1344
scn-21146,Hf5ZrTl,33.1876,0.9645
scn-21147,BaWI4,4.9003,0.1017
scn-21148,CuPbF,6.9282,0.1241
scn-21149,Na3(AsO4)2,3.0237,0.0786
scn-21150,Na7HfTlCd,16.9361,0.6775
scn-21151,Cr2NiWO6,5.5243,0.1452
scn-21152,Na2GePbN4,11.8136,4.2763
scn-21153,CaTl2InF6,3.0292,0.0997
scn-21154,HfNb7O15,7.4131,0.1234
scn-21155,K13(NaTi3)2,9.0416,0.485
scn-21156,MnFe(PbO3)2,6.8312,0.1618
scn-21157,K4Nb8Ge(P2O17)2,4.7101,0.1048
scn-21158,NaScBiO4,4.4586,0.0874
scn-21159,SrINO2,3.9117,0.1458
scn-21160,Ni7GeBi4,32.1494,0.859
scn-21161,Na2AlReF7,2.4918,0.074
scn-21162,CaTa2Pb2O7,5.6215,0.0924
scn-21163,KMn5Pb2,27.009,2.9799
scn-21164,Zn3CBr,9.6196,0.1969
scn-21165,CaTa2S2O7,4.9832,0.1448
scn-21166,KCa2Ni3O10,4.7477,0.1958
scn-21167,RbSr6AlTl2,25.366,0.8192
scn-21168,Ta2ZnN6,7.175,0.1473
scn-21169,Cd8Pb5I2,22.1821,0.7509
scn-21170,CaMn3Tl,30.4797,1.0449
scn-21171,Sc(TlZn2)3,23.1829,0.6027
scn-21172,Y3NbF10,3.0561,0.0703
scn-21173,Ba2TaReO6,5.342,0.1042
scn-21174,Pt2PbF8,3.7855,0.1419
scn-21175,Ti7In5O19,6.3149,0.1481
scn-21176,Mg3TaO7,3.8052,0.1154
scn-21177,Y3NO7,3.9451,0.0966
scn-21178,HfTiGe2O7,4.8095,0.0898
scn-21179,Li2Mg5(WO5)3,3.8801,0.1144
scn-21180,ZrSb(PbO3)2,5.6735,0.1086
scn-21181,MgTa3O9,5.2572,0.109
scn-21182,NbI3O7,5.6635,0.1671
scn-21183,Ca2TaZnO6,4.3791,0.0964
scn-21184,FrScO3,4.4328,0.1084
scn-21185,YGa7O19,3.7105,0.1663
scn-21186,Ba3AlZnWO9,4.0528,0.1181
scn-21187,Rb12SrCaNb4,12.4419,2.4094
scn-21188,TaNb2TlO6,6.0007,0.1106
scn-21189,Li3Y4Ta,29.7565,0.8967
scn-21190,Cr4BiP,30.6027,0.8071
scn-21191,SnMo2F6,3.6785,0.1262
scn-21192,Ba2NbBiAs6,21.9891,2.68
scn-21193,Ta3GaO9,5.6429,0.1345
scn-21194,Cs3Li(Bi2O7)2,4.793,0.2033
scn-21195,TiNb4(MoO5)3,7.4636,0.1405
scn-21196,Cr2BiF7,3.3374,0.087
scn-21197,CsNb3Pb,42.7431,9.1801
scn-21198,Tl2HgPt,32.4282,0.6651
scn-21199,Li2CaIr2O7,5.0543,0.256
scn-21200,LiNbTeO6,4.6745,0.1055
scn-21201,NaLiS2,3.2311,0.0871
scn-21202,Ba2SrTa6(Bi2As9)3,15.3632,0.561
scn-21203,Sr2TaTlO6,4.7098,0.0928
scn-21204,Rb2O5,2.1961,0.1033
scn-21205,Zr2P3O7,5.1349,0.1777
scn-21206,TiCd4Pb,27.7939,0.9933
scn-21207,Na2Ta2AsO7,4.5753,0.1058
scn-21208,CaSc5TaAl,31.6167,1.2749
scn-21209,TaV2TeO8,5.9666,0.1496
scn-21210,ZrMn2O3,5.5522,0.1489
scn-21211,BaLiS3,5.2461,0.1649
scn-21212,Li4Os11O24,5.4328,0.1596
scn-21213,V2CrFeO10,4.4984,0.2125
scn-21214,Sc5TiNbTl,37.0789,1.2717
scn-21215,Sr2Nb2PbO9,4.9823,0.0874
scn-21216,Mg3TiOF5,2.8254,0.0782
scn-21217,TlSF3,2.8179,0.0992
scn-21218,Sr3(TaZn5)2,29.4348,0.6304
scn-21219,Nb2PbSe6,9.6757,0.2342
scn-21220,CaTiPt3WO9,8.1845,0.1916
scn-21221,In3BrF5,3.5671,0.109
scn-21222,NaCaSc12Nb3Bi2,25.7734,1.1608
scn-21223,SrZrAt2F8,3.0415,0.0929
scn-21224,TlIn3Sn,30.0076,1.3165
scn-21225,Zr5Sc2Ga13,20.478,0.5941
scn-21226,SrZn4O11,4.3511,0.4465
scn-21227,Ca2Mg4Ti5O18,5.2758,0.151
scn-21228,ZrOs2F8,3.5234,0.1176
scn-21229,CsNa7Nb2Bi,12.614,0.496
scn-21230,KNb4NO12,6.6763,0.1629
scn-21231,Na5Pb2W,16.1526,0.987
scn-21232,AgSb3O8,4.7282,0.1407
scn-21233,HfP2O3,5.949,0.1693
scn-21234,TiNb(GaO3)3,5.147,0.1388
scn-21235,PPbF,6.4345,0.1081
scn-21236,MgTaO3,4.5531,0.0866
scn-21237,Ta5Ag2PO15,5.6346,0.1027
scn-21238,Nb4AgCl5O18,4.4209,0.1043
scn-21239,BaMo4W,35.8592,1.8932
scn-21240,CaTi2AsO6,5.2181,0.1244
scn-21241,Na2Ti3(NO5)2,4.2497,0.198
scn-21242,Ta7Sn19Bi,21.4371,0.7924
scn-21243,Sr3Ta4Zn2O12,5.0121,0.158
scn-21244,CsNbTcO6,4.9595,0.1
scn-21245,TaTe3O7,6.6314,0.2553
scn-21246,Sr2CaTa3O9,4.9585,0.1174
scn-21247,Na2CaH2O7,2.8666,0.0813
scn-21248,Na2TaBiO6,4.5496,0.1002
scn-21249,Y6Tl2Si,31.0674,1.5233
scn-21250,ZrTi(PbW3)2,32.0895,1.1127
scn-21251,CuSBr,6.197,0.1527
scn-21252,LiNb2WO7,5.302,0.0999
scn-21253,Sr2SnPbS4,6.5773,0.1749
scn-21254,HgGeO4,4.4881,0.1234
scn-21255,Sn4CO4,8.4112,0.3145
scn-21256,BaNO3,2.5223,0.0973
scn-21257,Na3(BiO3)4,4.5408,0.1203
scn-21258,V2CrPbO8,5.9566,0.299
scn-21259,BaCa2H2O7,3.3183,0.0821
scn-21260,NaBi(AuO3)2,7.3824,0.1954
scn-21261,Cs2NaBiO6,3.5624,0.082
scn-21262,LiTi2BiRh6,18.852,0.6788
scn-21263,SrCr2H2O7,3.6802,0.0938
scn-21264,ZrRh2F6,3.2119,0.0882
scn-21265,Mn4FeBiPb4O15,5.6123,0.1594
scn-21266,NbClO3,4.5326,0.1088
scn-21267,Sr12MgTa2,38.2186,1.3996
scn-21268,YBi(IrO4)2,6.2982,0.1838
scn-21269,PNO2,2.9854,0.1625
scn-21270,Rb2Ti(CuO4)3,5.0952,0.2817
scn-21271,Ta2Ga6Pb,25.1099,1.0783
scn-21272,Tl9Cd6Sb,25.5652,0.8813
scn-21273,Y5MgTaBi,23.8412,0.9009
scn-21274,K2SrTiOF5,2.6291,0.0749
scn-21275,ScSnBr,10.0071,0.2579
scn-21276,InPbCl,10.2927,0.3126
scn-21277,ZrWO3,6.9667,0.2023
scn-21278,Ta3Bi3(IO7)2,5.6415,0.1559
scn-21279,RbNbSeO6,3.9825,0.0985
scn-21280,Zr2Zn(PbO3)3,5.6317,0.1093
scn-21281,Ba7Ti2V4O21,5.1974,0.1394
scn-21282,Na4Ti7Mn16,37.9503,1.592
scn-21283,Zr2Ge7Bi2,23.2541,0.8175
scn-21284,Cs7TaW,6.9485,0.2214
scn-21285,SrNb2In2O9,5.5894,0.1117
scn-21286,Ti3Mo2O9,6.572,0.1441
scn-21287,RbTi3NbIr9,15.8114,0.5117
scn-21288,Ti3(ReO2)4,6.4958,0.2554
scn-21289,Cs2Hf2O7,3.8882,0.0791
scn-21290,SrTa2(AsO3)3,5.1177,0.1498
scn-21291,Tl4Pb3O13,5.8687,0.1123
scn-21292,YSn2F3,4.6866,0.1382
scn-21293,KYCo2O7,4.6465,0.1653
scn-21294,Cs2RbTiMoF5,3.4316,0.095
scn-21295,RbBaMn3,25.8533,5.6254
scn-21296,KNb(ClO3)3,3.1069,0.1217
scn-21297,NaNb4Bi5F18,4.5388,0.2121
scn-21298,AlCu2H2OF7,3.0422,0.1028
scn-21299,K3RbSr,20.5446,0.5153
scn-21300,ZrIO4,4.3834,0.0785
scn-21301,Ta15Pb,42.2936,2.3447
scn-21302,K2RbSeF6,2.0077,0.0724
scn-21303,Y3ZrOF5,3.2406,0.0894
scn-21304,LiAlO4,2.7641,0.128
scn-21305,Ca2HfGa4,21.8278,1.0003
scn-21306,TaAs2OF5,3.5601,0.1108
scn-21307,K3ZrIn7,27.2279,2.1685
scn-21308,Ba2Ni2O7,4.5005,0.2139
scn-21309,CsBaTa3,27.7481,21.6741
scn-21310,Cs3CoOF5,2.5605,0.0728
scn-21311,Rb2NaHfSn5O,8.6694,0.2371
scn-21312,Sr2Mn6CdW,25.3432,1.9522
scn-21313,CaTa2ReO6F,5.591,0.186
scn-21314,Rb2HfZrOF5,2.9078,0.0745
scn-21315,Ba3SrNb2Fe9,40.7631,2.673
scn-21316,Ba3Hf9Nb2Cd,32.6994,1.4193
scn-21317,Na3ScAg6,13.6485,0.3673
scn-21318,Fr2CaWO6,4.1188,0.0842
scn-21319,Na2MgScCu7,16.9448,0.4352
scn-21320,TlTeWO6,5.0272,0.1161
scn-21321,SrRhNO2,6.5746,0.2383
scn-21322,Sc2VF,12.3214,0.7544
scn-21323,RbCu10Bi3,19.9541,0.6563
scn-21324,LiY8Ta3,40.5586,0.8411
scn-21325,ZrO4,4.2089,0.1106
scn-21326,Rb8NbTlV2,6.5204,0.1755
scn-21327,Ti4Tc2O11,5.6525,0.1463
scn-21328,CaZr(GaO3)2,4.6359,0.0707
scn-21329,SrTiNb2Bi2Ru12Pb,24.0506,2.969
scn-21330,YBi2WO7,6.8103,0.1938
scn-21331,PbWO3,5.7184,0.1242
scn-21332,TaZn4Bi,26.1334,1.0075
scn-21333,Cs3TlGe,8.4181,0.2585
scn-21334,Sr3IrS4,7.7,0.2322
scn-21335,ScAsO2,5.6121,0.1275
scn-21336,Tl2InTcF6,3.3767,0.1037
scn-21337,HfNb2O5,5.2572,0.1125
scn-21338,Zn2HgTe,12.4778,0.6773
scn-21339,Ta2Ge5,33.7178,3.8921
scn-21340,Y9MgV4,30.0643,0.6953
scn-21341,SrCa3Ti,42.23,1.3332
scn-21342,TaV2GaO6,5.5104,0.1038
scn-21343,KNa(SeO3)2,2.8547,0.1012
scn-21344,LiTaTlO5,4.9319,0.1633
scn-21345,OsSO3,4.4692,0.1273
scn-21346,SrZn6O16,3.1655,0.1014
scn-21347,Ru2PbF8,4.0699,0.2512
scn-21348,LiTaV5Ge,29.1968,2.8439
scn-21349,FrO2,3.2087,0.0757
scn-21350,CdSb3O4,6.9487,0.2752
scn-21351,AlNiW2F7,4.1659,0.1202
scn-21352,AlTlTc4,22.2188,1.0385
scn-21353,Mg(TaSe2)2,10.9721,0.2352
scn-21354,Ta2Tc3O8,6.0491,0.1337
scn-21355,KRh2Cl5,4.4441,0.1255
scn-21356,Cs2LiVF6,2.5623,0.0822
scn-21357,TaNbTe5,13.4329,0.423
scn-21358,CsPb4,24.7285,0.8338
scn-21359,Li2MgTi3As8,10.4075,0.2593
scn-21360,K9Ba3MgTiW,13.752,0.8975
scn-21361,TiGe2IrO7,5.5056,0.2051
scn-21362,Ca5Ta2Cl2O9,3.7453,0.0979
scn-21363,CaCF3,1.9441,0.07
scn-21364,KCa2Ta3Br10,5.8405,0.1752
scn-21365,KNaIrOF5,2.8207,0.1079
scn-21366,CaTiTl3,21.7915,0.6386
scn-21367,ScGe3F6,3.9985,0.1374
scn-21368,KHf3F10,2.8007,0.0688
scn-21369,TlSe2Br,6.4544,0.149
scn-21370,Sr5S7O19,2.7847,0.0612
scn-21371,Li2P6O13,2.4141,0.1092
scn-21372,TlSF3,2.6671,0.1
scn-21373,Ti4Ge2O9,5.4714,0.1378
scn-21374,Na2Ti2Nb5,63.369,3.9895
scn-21375,Ni2Ge2O7,5.5601,0.183
scn-21376,Ba2TaTl7,25.2132,1.0463
scn-21377,FrLi3O4,3.24,0.1011
scn-21378,TlCrF3,3.2671,0.1021
scn-21379,SbPb2F6,3.0997,0.0877
scn-21380,Cd3W,26.2831,0.7376
scn-21381,Sr(AuO3)2,4.784,0.1243
scn-21382,Y(TaGe3)3,26.2998,2.2656
scn-21383,NaSr6CaTaTi,40.8019,2.1381
scn-21384,Ba3Ta2ZnTc9,28.9069,0.6731
scn-21385,Li2SnAtO4,4.0512,0.0952
scn-21386,LiIrWO6,5.1096,0.1183
scn-21387,CaMnSn2O7,4.7322,0.1523
scn-21388,Sr3Li6Ta2As11,9.3628,0.2118
scn-21389,Ca(CuO3)2,5.2028,0.1297
scn-21390,Sr2ZrO3,4.4215,0.089
scn-21391,CaAlVO5,4.3181,0.1305
scn-21392,Nb4W3(O6F)2,5.5682,0.2511
scn-21393,BaZrMo3,31.1414,2.1078
scn-21394,BaTeF3,3.0873,0.0957
scn-21395,FrHfO3,4.0984,0.0875
scn-21396,Sn(SF3)2,2.9523,0.0901
scn-21397,ZrPO3,4.3244,0.1341
scn-21398,Ni2Mo2O11,4.0757,0.1594
scn-21399,Na2SrTa2W7,25.0917,1.172
scn-21400,K2TaGaO6,3.5061,0.0763
scn-21401,K3Na6Y,18.0861,0.6998
scn-21402,Ta4V5O15,5.7875,0.1331
scn-21403,NaCaNb3Zn2O12,5.5238,0.1031
scn-21404,Sc2Cr5O13,6.0133,0.1727
scn-21405,Ta4MoO11,5.9193,0.1881
scn-21406,Ba2Nb5GeO15,5.6345,0.1144
scn-21407,HfWO3,6.2863,0.1847
scn-21408,Na7BiO19,2.6019,0.2566
scn-21409,K3NaTi4O12,4.2541,0.104
scn-21410,KTi2NbO6,6.2246,0.1404
